model,scenario,node,variable,unit,sensitivity,output_2020,output_2025,output_2030,output_2035,output_2040,output_2045,output_2050,output_2055,output_2060,output_2065,output_2070,output_2075,output_2080,output_2085,output_2090,output_2095,output_2100,output_2110
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Rail|Aluminum,Mt/yr,high,.0080142962,.008501335,.01243158,.017705793,.022657666,.026962213,.033163149,.040499546,.048869409,.048869409,.048869409,.048869409,.048869409,.048869409,.048869409,.048869409,.048869409,.048869409
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Rail|Concrete,Mt/yr,high,1.4238551,1.5103059,2.2086501,3.1457756,4.0255446,4.7902155,5.8918467,7.1951871,8.6820993,8.6820993,8.6820993,8.6820993,8.6820993,8.6820993,8.6820993,8.6820993,8.6820993,8.6820993
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Rail|Iron_steel,Mt/yr,high,1.2725012,1.3817321,1.9734528,2.7761226,3.5633092,4.2850366,5.2915268,6.4871259,7.8626599,7.8626599,7.8626599,7.8626599,7.8626599,7.8626599,7.8626599,7.8626599,7.8626599,7.8626599
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Roads|Aluminum,Mt/yr,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Roads|Asphalt,Mt/yr,high,459.24686,503.0499,712.16327,997.07263,1281.2971,1547.0239,1913.277,2348.9912,2851.8201,2851.8201,2851.8201,2851.8201,2851.8201,2851.8201,2851.8201,2851.8201,2851.8201,2851.8201
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Roads|Concrete,Mt/yr,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Roads|Iron_steel,Mt/yr,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Runways|Aluminum,Mt/yr,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Runways|Concrete,Mt/yr,high,.0026334999,.0027127101,.0040860851,.0059072832,.0075321048,.0088496413,.010831745,.013164607,.015796926,.015796926,.015796926,.015796926,.015796926,.015796926,.015796926,.015796926,.015796926,.015796926
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Runways|Iron_steel,Mt/yr,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Tunnels|Aluminum,Mt/yr,high,.000038099999,.0000392,.000059099999,.000085400003,.000108933,.00012798799,.00015665501,.000190394,.00022846401,.00022846401,.00022846401,.00022846401,.00022846401,.00022846401,.00022846401,.00022846401,.00022846401,.00022846401
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Tunnels|Asphalt,Mt/yr,high,.03263244,.035754703,.050603651,.070837639,.091033906,.10992723,.13595857,.16692829,.2026718,.2026718,.2026718,.2026718,.2026718,.2026718,.2026718,.2026718,.2026718,.2026718
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Tunnels|Concrete,Mt/yr,high,.86317027,.88913244,1.3392774,1.936203,2.4687636,2.9006064,3.5502717,4.3149033,5.1776862,5.1776862,5.1776862,5.1776862,5.1776862,5.1776862,5.1776862,5.1776862,5.1776862,5.1776862
GLOMIS,CircEUlar-S 2e17,AFR,Material Demand|Infrastructure|Tunnels|Iron_steel,Mt/yr,high,.032962982,.03395443,.051144689,.073940247,.094277821,.11076915,.13557874,.16477869,.19772689,.19772689,.19772689,.19772689,.19772689,.19772689,.19772689,.19772689,.19772689,.19772689
