node_loc,technology,year_act,value,unit,mode,time
R12_EEU,oil_pipe_weu,2000,0.0,km,M1,year
R12_EEU,oil_pipe_weu,2005,0.0,km,M1,year
R12_EEU,oil_pipe_weu,2010,0.0,km,M1,year
R12_EEU,oil_pipe_weu,2015,0.0,km,M1,year
R12_EEU,oil_pipe_weu,2020,0.0,km,M1,year
R12_EEU,oil_pipe_weu,2025,439.0,km,M1,year
R12_FSU,oil_pipe_chn,2000,0.0,km,M1,year
R12_FSU,oil_pipe_chn,2005,965.0,km,M1,year
R12_FSU,oil_pipe_chn,2010,1028.0,km,M1,year
R12_FSU,oil_pipe_chn,2015,1092.0,km,M1,year
R12_FSU,oil_pipe_chn,2020,1092.0,km,M1,year
R12_FSU,oil_pipe_chn,2025,1092.0,km,M1,year
R12_FSU,oil_pipe_eeu,1965,628.0,km,M1,year
R12_FSU,oil_pipe_eeu,2000,1295.0,km,M1,year
R12_FSU,oil_pipe_eeu,2005,1295.0,km,M1,year
R12_FSU,oil_pipe_eeu,2010,1295.0,km,M1,year
R12_FSU,oil_pipe_eeu,2015,1295.0,km,M1,year
R12_FSU,oil_pipe_eeu,2020,1295.0,km,M1,year
R12_FSU,oil_pipe_eeu,2025,1691.0,km,M1,year
R12_FSU,oil_pipe_weu,2000,0.0,km,M1,year
R12_FSU,oil_pipe_weu,2005,1768.0,km,M1,year
R12_FSU,oil_pipe_weu,2010,1768.0,km,M1,year
R12_FSU,oil_pipe_weu,2015,1768.0,km,M1,year
R12_FSU,oil_pipe_weu,2020,1768.0,km,M1,year
R12_FSU,oil_pipe_weu,2025,1768.0,km,M1,year
R12_MEA,oil_pipe_weu,1975,970.0,km,M1,year
R12_MEA,oil_pipe_weu,2000,970.0,km,M1,year
R12_MEA,oil_pipe_weu,2005,970.0,km,M1,year
R12_MEA,oil_pipe_weu,2010,970.0,km,M1,year
R12_MEA,oil_pipe_weu,2015,1866.0,km,M1,year
R12_MEA,oil_pipe_weu,2020,1866.0,km,M1,year
R12_MEA,oil_pipe_weu,2025,1866.0,km,M1,year
R12_PAS,oil_pipe_chn,2000,0.0,km,M1,year
R12_PAS,oil_pipe_chn,2005,0.0,km,M1,year
R12_PAS,oil_pipe_chn,2010,0.0,km,M1,year
R12_PAS,oil_pipe_chn,2015,771.0,km,M1,year
R12_PAS,oil_pipe_chn,2020,771.0,km,M1,year
R12_PAS,oil_pipe_chn,2025,771.0,km,M1,year
R12_SAS,oil_pipe_chn,2000,0.0,km,M1,year
R12_SAS,oil_pipe_chn,2005,0.0,km,M1,year
R12_SAS,oil_pipe_chn,2010,0.0,km,M1,year
R12_SAS,oil_pipe_chn,2015,0.0,km,M1,year
R12_SAS,oil_pipe_chn,2020,0.0,km,M1,year
R12_SAS,oil_pipe_chn,2025,3600.0,km,M1,year
R12_WEU,oil_pipe_eeu,1995,347.0,km,M1,year
R12_WEU,oil_pipe_eeu,2000,347.0,km,M1,year
R12_WEU,oil_pipe_eeu,2005,347.0,km,M1,year
R12_WEU,oil_pipe_eeu,2010,347.0,km,M1,year
R12_WEU,oil_pipe_eeu,2015,347.0,km,M1,year
R12_WEU,oil_pipe_eeu,2020,347.0,km,M1,year
R12_WEU,oil_pipe_eeu,2025,347.0,km,M1,year
