,node_loc,technology,year_act,mode,time,value,unit
92,R12_PAS,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
93,R12_PAS,gas_piped_exp_afr,1993,M1,year,0.0,GWa
94,R12_PAS,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
95,R12_PAS,gas_piped_exp_eeu,1993,M1,year,0.0,GWa
96,R12_PAS,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
97,R12_PAS,gas_piped_exp_lam,1993,M1,year,0.0,GWa
98,R12_PAS,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
99,R12_PAS,gas_piped_exp_mea,1993,M1,year,0.0,GWa
100,R12_PAS,LNG_shipped_exp_pao,1993,M1,year,56.17526219031138,GWa
103,R12_PAS,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
104,R12_PAS,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
105,R12_RCPA,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
106,R12_RCPA,gas_piped_exp_afr,1993,M1,year,0.0,GWa
107,R12_RCPA,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
108,R12_RCPA,gas_piped_exp_eeu,1993,M1,year,0.0,GWa
109,R12_RCPA,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
110,R12_RCPA,gas_piped_exp_lam,1993,M1,year,0.0,GWa
111,R12_RCPA,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
112,R12_RCPA,gas_piped_exp_mea,1993,M1,year,0.0,GWa
115,R12_SAS,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
116,R12_SAS,gas_piped_exp_afr,1993,M1,year,0.0,GWa
117,R12_SAS,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
118,R12_SAS,gas_piped_exp_eeu,1993,M1,year,0.0,GWa
119,R12_SAS,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
120,R12_SAS,gas_piped_exp_lam,1993,M1,year,0.0,GWa
121,R12_SAS,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
122,R12_SAS,gas_piped_exp_mea,1993,M1,year,0.0,GWa
123,R12_SAS,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
124,R12_SAS,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
125,R12_WEU,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
126,R12_WEU,gas_piped_exp_afr,1993,M1,year,0.0,GWa
127,R12_WEU,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
128,R12_WEU,gas_piped_exp_eeu,1993,M1,year,0.03504487393055622,GWa
129,R12_WEU,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
130,R12_WEU,gas_piped_exp_lam,1993,M1,year,0.0,GWa
131,R12_WEU,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
132,R12_WEU,gas_piped_exp_mea,1993,M1,year,0.0,GWa
133,R12_WEU,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
134,R12_WEU,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
138,R12_AFR,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
139,R12_AFR,gas_piped_exp_eeu,1994,M1,year,0.0,GWa
140,R12_AFR,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
141,R12_AFR,gas_piped_exp_lam,1994,M1,year,0.0,GWa
142,R12_AFR,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
143,R12_AFR,gas_piped_exp_mea,1994,M1,year,0.0,GWa
144,R12_AFR,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
145,R12_AFR,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
146,R12_CHN,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
147,R12_CHN,gas_piped_exp_afr,1994,M1,year,0.0,GWa
148,R12_CHN,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
149,R12_CHN,gas_piped_exp_eeu,1994,M1,year,0.0,GWa
150,R12_CHN,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
151,R12_CHN,gas_piped_exp_lam,1994,M1,year,0.0,GWa
152,R12_CHN,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
153,R12_CHN,gas_piped_exp_mea,1994,M1,year,0.0,GWa
154,R12_CHN,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
155,R12_CHN,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
156,R12_EEU,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
157,R12_EEU,gas_piped_exp_afr,1994,M1,year,0.0,GWa
160,R12_EEU,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
161,R12_EEU,gas_piped_exp_lam,1994,M1,year,0.0,GWa
162,R12_EEU,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
163,R12_EEU,gas_piped_exp_mea,1994,M1,year,0.0,GWa
164,R12_EEU,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
165,R12_EEU,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
166,R12_FSU,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
167,R12_FSU,gas_piped_exp_afr,1994,M1,year,0.0,GWa
168,R12_FSU,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
169,R12_FSU,gas_piped_exp_eeu,1994,M1,year,46.85083312,GWa
171,R12_FSU,LNG_shipped_exp_lam,1994,M1,year,0.0,GWa
172,R12_FSU,gas_piped_exp_lam,1994,M1,year,0.0,GWa
173,R12_FSU,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
174,R12_FSU,gas_piped_exp_mea,1994,M1,year,0.0,GWa
175,R12_FSU,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
176,R12_FSU,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
177,R12_FSU,gas_piped_exp_weu,1994,M1,year,81.364144352,GWa
178,R12_LAM,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
179,R12_LAM,gas_piped_exp_afr,1994,M1,year,0.0,GWa
180,R12_LAM,LNG_shipped_exp_eeu,1994,M1,year,0.0,GWa
181,R12_LAM,gas_piped_exp_eeu,1994,M1,year,0.0,GWa
184,R12_LAM,LNG_shipped_exp_mea,1994,M1,year,0.0,GWa
185,R12_LAM,gas_piped_exp_mea,1994,M1,year,0.0,GWa
186,R12_LAM,gas_piped_exp_nam,1994,M1,year,0.23980614399999997,GWa
187,R12_LAM,LNG_shipped_exp_rcpa,1994,M1,year,0.0,GWa
188,R12_LAM,gas_piped_exp_rcpa,1994,M1,year,0.0,GWa
189,R12_MEA,LNG_shipped_exp_afr,1994,M1,year,0.0,GWa
