# Share of population by driver type, census_division, and area_type
#
# Units: dimensionless
#
# Values sum to roughly 1 across 'area_type' for each combination of other
# dimensions.
#
# DLM: from sheet ‘Segmentation’ of the MA3T model, based on the 2001 U.S.
#      National Household Travel Survey.
# PNK: values moved from LDV data workbook, sheet MESSAGE_LDV_nam.
#
census_division,driver_type,area_type,value
1,A,UR,0.254075431557562
1,A,RU,0.396424617499106
1,A,SU,0.340790307645117
1,F,UR,0.389953941611564
1,F,RU,0.368077040610844
1,F,SU,0.307195782639734
1,M,UR,0.355970626830874
1,M,RU,0.23549834189005
1,M,SU,0.352013909715149
2,A,UR,0.347155487468331
2,A,RU,0.26917748939586
2,A,SU,0.334819287409829
2,F,UR,0.245684179824533
2,F,RU,0.485667558147774
2,F,SU,0.266909904716398
2,M,UR,0.407160332707136
2,M,RU,0.245154952456367
2,M,SU,0.398270807873773
3,A,UR,0.392044003944299
3,A,RU,0.3516478090397
3,A,SU,0.307707708493629
3,F,UR,0.26790247684255
3,F,RU,0.349574280033933
3,F,SU,0.323997452989721
3,M,UR,0.340053519213151
3,M,RU,0.298777910926367
3,M,SU,0.368294838516651
4,A,UR,0.387296568610305
4,A,RU,0.330591043939415
4,A,SU,0.356500491214492
4,F,UR,0.248084666841741
4,F,RU,0.379357546064623
4,F,SU,0.281215411771316
4,M,UR,0.364618764547954
4,M,RU,0.290051409995961
4,M,SU,0.362284097014192
5,A,UR,0.346296570836302
5,A,RU,0.343143276698451
5,A,SU,0.322857335948483
5,F,UR,0.233994164215208
5,F,RU,0.415362775065794
5,F,SU,0.308630881906499
5,M,UR,0.41970926494849
5,M,RU,0.241493948235756
5,M,SU,0.368511782145018
6,A,UR,0.245415414977892
6,A,RU,0.349267712401526
6,A,SU,0.346850900357261
6,F,UR,0.20479592089828
6,F,RU,0.437448693385564
6,F,SU,0.24799334284918
6,M,UR,0.549788664123828
6,M,RU,0.21328359421291
6,M,SU,0.405155756793558
7,A,UR,0.295906197410694
7,A,RU,0.263283877760524
7,A,SU,0.245985223416478
7,F,UR,0.296314037247485
7,F,RU,0.556441244819749
7,F,SU,0.391969455432393
7,M,UR,0.407779765341821
7,M,RU,0.180274877419727
7,M,SU,0.362045321151129
8,A,UR,0.370501226319619
8,A,RU,0.452066717657918
8,A,SU,0.302671049770545
8,F,UR,0.281391446949758
8,F,RU,0.358612513853115
8,F,SU,0.185429338924897
8,M,UR,0.348107326730623
8,M,RU,0.189320768488966
8,M,SU,0.511899611304558
9,A,UR,0.31610181733743
9,A,RU,0.31011319043394
9,A,SU,0.298478824004768
9,F,UR,0.272656549148534
9,F,RU,0.285061224590222
9,F,SU,0.395067531068604
9,M,UR,0.411241633514037
9,M,RU,0.404825584975837
9,M,SU,0.306453644926628
