"code","msg_reg","xval","avgIC"
"ensemble_2p6_2030-2070","NAM",0,843.896266561638
"ensemble_2p6_2030-2070","NAM",27.1663,843.896266561638
"ensemble_2p6_2030-2070","NAM",43.2963,2361.7973243589
"ensemble_2p6_2030-2070","NAM",59.4263,4131.14601768072
"ensemble_2p6_2030-2070","NAM",68.7647,6580.73759043097
"ensemble_2p6_2030-2070","NAM",78.1031,10512.3831927734
"ensemble_2p6_2030-2070","NAM",80.65,14931.1268980694
"ensemble_2p6_2030-2070","NAM",83.1968,19836.8931196472
"ensemble_2p6_2030-2070","NAM",84.8947,179993.496705374
"ensemble_2p6_2071-2100","NAM",0,901.856818953498
"ensemble_2p6_2071-2100","NAM",29.7133,901.856818953498
"ensemble_2p6_2071-2100","NAM",44.1455,2483.60563163816
"ensemble_2p6_2071-2100","NAM",58.5777,4152.0700802847
"ensemble_2p6_2071-2100","NAM",67.9162,6437.71357220402
"ensemble_2p6_2071-2100","NAM",77.2547,9901.43901478546
"ensemble_2p6_2071-2100","NAM",81.4995,15001.2501188426
"ensemble_2p6_2071-2100","NAM",83.1974,21289.6312521347
"ensemble_2p6_2071-2100","NAM",84.8953,94107.2847148885
"ensemble_6p0_2030-2070","NAM",0,922.851599031019
"ensemble_6p0_2030-2070","NAM",31.1127,922.851599031019
"ensemble_6p0_2030-2070","NAM",46.669,2553.56769086529
"ensemble_6p0_2030-2070","NAM",60.4969,4282.48381241922
"ensemble_6p0_2030-2070","NAM",69.1393,6544.65913118889
"ensemble_6p0_2030-2070","NAM",75.189,8842.00782110849
"ensemble_6p0_2030-2070","NAM",80.3744,12032.5179002494
"ensemble_6p0_2030-2070","NAM",84.6956,18710.8312544014
"ensemble_6p0_2030-2070","NAM",86.4241,88237.4899938404
"ensemble_6p0_2071-2100","NAM",0,1327.33169268488
"ensemble_6p0_2071-2100","NAM",43.7246,1327.33169268488
"ensemble_6p0_2071-2100","NAM",58.591,3785.35086989591
"ensemble_6p0_2071-2100","NAM",68.2104,5811.69697375807
"ensemble_6p0_2071-2100","NAM",73.4573,7937.08065849127
"ensemble_6p0_2071-2100","NAM",80.4533,10923.8831722017
"ensemble_6p0_2071-2100","NAM",84.8257,15481.7929015559
"ensemble_6p0_2071-2100","NAM",85.7002,20756.9448245245
"ensemble_6p0_2071-2100","NAM",87.4492,94430.9733757361
"ensemble_hist_historical","NAM",0,918.992965891397
"ensemble_hist_historical","NAM",29.9266,918.992965891397
"ensemble_hist_historical","NAM",46.5526,2617.92115430333
"ensemble_hist_historical","NAM",55.6968,4113.71678562092
"ensemble_hist_historical","NAM",66.5037,6267.25596441266
"ensemble_hist_historical","NAM",69.8288,8776.00760946353
"ensemble_hist_historical","NAM",76.4792,11634.023697322
"ensemble_hist_historical","NAM",81.467,18327.0258216869
"ensemble_hist_historical","NAM",83.1296,143644.360772335
"GFDL-ESM2M_2p6_2030-2070","NAM",0,1223.08411313094
"GFDL-ESM2M_2p6_2030-2070","NAM",40.5686,1223.08411313094
