"code","msg_reg","xval","avgIC"
"GFDL-ESM2M_6p0_2071-2100","WEU",39.9154,45054.4732194676
"GFDL-ESM2M_hist_historical","WEU",0,1632.78399965233
"GFDL-ESM2M_hist_historical","WEU",18.9097,1632.78399965233
"GFDL-ESM2M_hist_historical","WEU",29.9037,3890.57465258005
"GFDL-ESM2M_hist_historical","WEU",35.6206,7242.19021387977
"GFDL-ESM2M_hist_historical","WEU",37.8194,9958.26194098909
"GFDL-ESM2M_hist_historical","WEU",39.5785,12261.6100431289
"GFDL-ESM2M_hist_historical","WEU",41.7773,16257.7936811291
"GFDL-ESM2M_hist_historical","WEU",43.0965,23273.8464977529
"GFDL-ESM2M_hist_historical","WEU",43.9761,41203.2767454189
"HadGEM2-ES_2p6_2030-2070","WEU",0,1543.93316773577
"HadGEM2-ES_2p6_2030-2070","WEU",17.3126,1543.93316773577
"HadGEM2-ES_2p6_2030-2070","WEU",28.8544,3564.09709379965
"HadGEM2-ES_2p6_2030-2070","WEU",33.7374,6197.27794794143
"HadGEM2-ES_2p6_2030-2070","WEU",38.6205,9550.14397664413
"HadGEM2-ES_2p6_2030-2070","WEU",41.2839,14142.2737076289
"HadGEM2-ES_2p6_2030-2070","WEU",42.6157,19015.8617517065
"HadGEM2-ES_2p6_2030-2070","WEU",43.5035,24523.5181727595
"HadGEM2-ES_2p6_2030-2070","WEU",44.3913,33629.0286064699
"HadGEM2-ES_2p6_2071-2100","WEU",0,1519.33334338081
"HadGEM2-ES_2p6_2071-2100","WEU",17.1339,1519.33334338081
"HadGEM2-ES_2p6_2071-2100","WEU",29.7589,3530.45012326473
"HadGEM2-ES_2p6_2071-2100","WEU",35.1696,6546.31204888757
"HadGEM2-ES_2p6_2071-2100","WEU",39.2276,9948.00303686329
"HadGEM2-ES_2p6_2071-2100","WEU",41.0311,13000.4542876651
"HadGEM2-ES_2p6_2071-2100","WEU",43.2856,17256.2777418347
"HadGEM2-ES_2p6_2071-2100","WEU",44.1874,25146.8272752887
"HadGEM2-ES_2p6_2071-2100","WEU",45.0892,33612.8207132112
"HadGEM2-ES_6p0_2030-2070","WEU",0,1558.79403093192
"HadGEM2-ES_6p0_2030-2070","WEU",17.5512,1558.79403093192
"HadGEM2-ES_6p0_2030-2070","WEU",29.3983,3734.702851968
"HadGEM2-ES_6p0_2030-2070","WEU",35.5412,7250.57239065964
"HadGEM2-ES_6p0_2030-2070","WEU",39.0515,10682.5629411379
"HadGEM2-ES_6p0_2030-2070","WEU",40.8066,15304.6103858078
"HadGEM2-ES_6p0_2030-2070","WEU",42.5617,21113.7159858452
"HadGEM2-ES_6p0_2030-2070","WEU",43.0005,26383.4769550236
"HadGEM2-ES_6p0_2030-2070","WEU",43.8781,33123.7628792231
"HadGEM2-ES_6p0_2071-2100","WEU",0,1667.78800871219
"HadGEM2-ES_6p0_2071-2100","WEU",19.011,1667.78800871219
"HadGEM2-ES_6p0_2071-2100","WEU",29.1502,4033.87341101638
"HadGEM2-ES_6p0_2071-2100","WEU",32.9524,7059.95781844982
"HadGEM2-ES_6p0_2071-2100","WEU",37.177,10370.1940504528
"HadGEM2-ES_6p0_2071-2100","WEU",39.7118,15519.5378196909
"HadGEM2-ES_6p0_2071-2100","WEU",40.9792,21182.129417377
"HadGEM2-ES_6p0_2071-2100","WEU",41.4017,27112.9517475206
"HadGEM2-ES_6p0_2071-2100","WEU",42.2466,38095.1994850625
"HadGEM2-ES_hist_historical","WEU",0,1605.52854331621
"HadGEM2-ES_hist_historical","WEU",18.4521,1605.52854331621
"HadGEM2-ES_hist_historical","WEU",27.6782,3541.83253011987
"HadGEM2-ES_hist_historical","WEU",32.0715,5644.04467715688
"HadGEM2-ES_hist_historical","WEU",36.4649,8448.30173643724
"HadGEM2-ES_hist_historical","WEU",40.8582,12935.4872227805
"HadGEM2-ES_hist_historical","WEU",42.1762,19424.1919610026
"HadGEM2-ES_hist_historical","WEU",43.0549,23752.99155772
"HadGEM2-ES_hist_historical","WEU",43.9336,36264.7083208269
"IPSL-CM5A-LR_2p6_2030-2070","WEU",0,1492.82920127497
"IPSL-CM5A-LR_2p6_2030-2070","WEU",16.7774,1492.82920127497
"IPSL-CM5A-LR_2p6_2030-2070","WEU",29.0204,3322.22050767095
"IPSL-CM5A-LR_2p6_2030-2070","WEU",34.4617,5896.42275872258
"IPSL-CM5A-LR_2p6_2030-2070","WEU",37.6358,8882.33929592294
"IPSL-CM5A-LR_2p6_2030-2070","WEU",41.2634,12054.9455631215
"IPSL-CM5A-LR_2p6_2030-2070","WEU",43.5306,17417.0424553823
"IPSL-CM5A-LR_2p6_2030-2070","WEU",44.4375,24906.4709229311
"IPSL-CM5A-LR_2p6_2030-2070","WEU",45.3444,32802.3595414548
"IPSL-CM5A-LR_2p6_2071-2100","WEU",0,1441.32683594813
"IPSL-CM5A-LR_2p6_2071-2100","WEU",18.085,1441.32683594813
"IPSL-CM5A-LR_2p6_2071-2100","WEU",31.2822,3211.5423940886
"IPSL-CM5A-LR_2p6_2071-2100","WEU",37.1476,5630.7953290277
"IPSL-CM5A-LR_2p6_2071-2100","WEU",42.5242,8835.93796496451
"IPSL-CM5A-LR_2p6_2071-2100","WEU",45.9457,13012.2150313199
"IPSL-CM5A-LR_2p6_2071-2100","WEU",47.412,19227.4688528219
