"code","msg_reg","xval","avgIC"
"ensemble_2p6_2030-2070","PAS",0,1021.45049075082
"ensemble_2p6_2030-2070","PAS",37.9188,1021.45049075082
"ensemble_2p6_2030-2070","PAS",62.1868,2217.03295798434
"ensemble_2p6_2030-2070","PAS",97.072,4073.51903794455
"ensemble_2p6_2030-2070","PAS",121.34,7377.1218689685
"ensemble_2p6_2030-2070","PAS",134.9908,11526.9203392338
"ensemble_2p6_2030-2070","PAS",144.0913,16623.9096513504
"ensemble_2p6_2030-2070","PAS",148.6415,22396.5242887974
"ensemble_2p6_2030-2070","PAS",151.675,43602.5403946144
"ensemble_2p6_2071-2100","PAS",0,1179.09785132399
"ensemble_2p6_2071-2100","PAS",47.8235,1179.09785132399
"ensemble_2p6_2071-2100","PAS",83.3054,2957.56540832906
"ensemble_2p6_2071-2100","PAS",117.2447,5872.69923370167
"ensemble_2p6_2071-2100","PAS",129.5862,9343.57697284877
"ensemble_2p6_2071-2100","PAS",138.8424,12718.6632876899
"ensemble_2p6_2071-2100","PAS",148.0985,16811.7114320874
"ensemble_2p6_2071-2100","PAS",151.1839,23008.45998663
"ensemble_2p6_2071-2100","PAS",154.2693,57253.4891073607
"ensemble_6p0_2030-2070","PAS",0,1438.45152511242
"ensemble_6p0_2030-2070","PAS",58.5826,1438.45152511242
"ensemble_6p0_2030-2070","PAS",96.1355,3995.97309325394
"ensemble_6p0_2030-2070","PAS",115.663,7182.66687827094
"ensemble_6p0_2030-2070","PAS",129.1821,10272.506948091
"ensemble_6p0_2030-2070","PAS",133.6884,12948.3414896901
"ensemble_6p0_2030-2070","PAS",141.199,16609.143900442
"ensemble_6p0_2030-2070","PAS",147.2075,21698.8659808762
"ensemble_6p0_2030-2070","PAS",150.2117,45902.0635216725
"ensemble_6p0_2071-2100","PAS",0,1352.54279016231
"ensemble_6p0_2071-2100","PAS",64.5421,1352.54279016231
"ensemble_6p0_2071-2100","PAS",102.6055,3648.37918923452
"ensemble_6p0_2071-2100","PAS",129.0843,6454.24888660137
"ensemble_6p0_2071-2100","PAS",143.9786,10043.5715014624
"ensemble_6p0_2071-2100","PAS",157.218,14002.2472972455
"ensemble_6p0_2071-2100","PAS",160.5279,19708.7682022161
"ensemble_6p0_2071-2100","PAS",162.1828,23996.618322027
"ensemble_6p0_2071-2100","PAS",165.4927,42223.926057363
"ensemble_hist_historical","PAS",0,1470.50773141995
"ensemble_hist_historical","PAS",53.7716,1470.50773141995
"ensemble_hist_historical","PAS",87.7326,3974.78748994597
"ensemble_hist_historical","PAS",107.5432,7113.18738221886
"ensemble_hist_historical","PAS",123.1086,11082.8362226209
"ensemble_hist_historical","PAS",131.5989,15613.9597927054
"ensemble_hist_historical","PAS",134.429,19014.8167966239
"ensemble_hist_historical","PAS",138.6741,23052.6920310968
"ensemble_hist_historical","PAS",141.5042,48150.2907466823
"GFDL-ESM2M_2p6_2030-2070","PAS",0,990.918973073184
"GFDL-ESM2M_2p6_2030-2070","PAS",36.8356,990.918973073184
"GFDL-ESM2M_2p6_2030-2070","PAS",61.3927,2172.60270277555
"GFDL-ESM2M_2p6_2030-2070","PAS",99.7632,3993.09214563581
"GFDL-ESM2M_2p6_2030-2070","PAS",124.3202,7691.92582383394
"GFDL-ESM2M_2p6_2030-2070","PAS",136.5988,11293.2499145917
"GFDL-ESM2M_2p6_2030-2070","PAS",144.2729,15581.2117408875
"GFDL-ESM2M_2p6_2030-2070","PAS",150.4121,21389.6701150416
"GFDL-ESM2M_2p6_2030-2070","PAS",153.4818,40684.3074258886
"GFDL-ESM2M_2p6_2071-2100","PAS",0,1118.82484987805
"GFDL-ESM2M_2p6_2071-2100","PAS",43.349,1118.82484987805
"GFDL-ESM2M_2p6_2071-2100","PAS",78.9572,2699.3711719875
"GFDL-ESM2M_2p6_2071-2100","PAS",103.728,4873.66848427107
"GFDL-ESM2M_2p6_2071-2100","PAS",123.8544,7370.44769843906
"GFDL-ESM2M_2p6_2071-2100","PAS",140.8844,11680.932702907
"GFDL-ESM2M_2p6_2071-2100","PAS",150.1734,18242.0727441619
"GFDL-ESM2M_2p6_2071-2100","PAS",151.7216,25044.6626340904
"GFDL-ESM2M_2p6_2071-2100","PAS",154.818,57803.2938845215
"GFDL-ESM2M_6p0_2030-2070","PAS",0,1537.30009409028
"GFDL-ESM2M_6p0_2030-2070","PAS",65.0489,1537.30009409028
"GFDL-ESM2M_6p0_2030-2070","PAS",104.7128,4144.85368749372
"GFDL-ESM2M_6p0_2030-2070","PAS",122.1649,7111.51576350623
"GFDL-ESM2M_6p0_2030-2070","PAS",138.0305,10307.1316120741
"GFDL-ESM2M_6p0_2030-2070","PAS",144.3768,13874.1137527736
"GFDL-ESM2M_6p0_2030-2070","PAS",149.1364,16912.1324918267
"GFDL-ESM2M_6p0_2030-2070","PAS",155.4827,19897.9019714291
"GFDL-ESM2M_6p0_2030-2070","PAS",158.6558,43283.9925761615
"GFDL-ESM2M_6p0_2071-2100","PAS",0,1171.61451974355
"GFDL-ESM2M_6p0_2071-2100","PAS",54.6893,1171.61451974355
"GFDL-ESM2M_6p0_2071-2100","PAS",83.743,2744.83681839881
"GFDL-ESM2M_6p0_2071-2100","PAS",107.6696,4209.77073502013
"GFDL-ESM2M_6p0_2071-2100","PAS",133.3052,6534.42997433801
"GFDL-ESM2M_6p0_2071-2100","PAS",145.2685,9619.51604449392
"GFDL-ESM2M_6p0_2071-2100","PAS",162.3589,12819.0574014135
"GFDL-ESM2M_6p0_2071-2100","PAS",167.4861,21543.3794317764
"GFDL-ESM2M_6p0_2071-2100","PAS",170.9042,54130.1871575566
"GFDL-ESM2M_hist_historical","PAS",0,1484.84708926796
"GFDL-ESM2M_hist_historical","PAS",60.9391,1484.84708926796
"GFDL-ESM2M_hist_historical","PAS",92.9321,3925.8336820769
"GFDL-ESM2M_hist_historical","PAS",115.7842,6740.18341186464
"GFDL-ESM2M_hist_historical","PAS",127.972,10125.7018142333
"GFDL-ESM2M_hist_historical","PAS",135.5894,13028.6892915137
