"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",3.476,7.259,0.426,3.627,2.141,2.651,6.333,3.594,4.062,0.244,0.784,0.314,8.599,1.684,5.05,4.238,3.231,0.534,0.081,2.003,1.528,1.859,0.796,0.199
"2020",8.073,15.545,0.849,5.332,4.671,5.839,13.631,7.824,9.052,0.544,2.451,0.703,15.714,3.487,7.24,10.754,6.509,1.118,0.473,4.325,1.659,2.43,1.787,0.408
"2030",14.273,27.012,1.357,5.544,7.953,8.495,21.171,12.3,16.163,0.971,4.54,1.241,25.095,5.63,13.08,19.64,11.794,1.928,0.961,6.238,2.582,2.871,3.208,0.198
"2040",25.237,41.483,1.958,8.811,14.691,13.797,34.32,16.007,25.853,1.617,7.398,1.286,37.199,3.657,20.393,31.305,18.86,2.947,1.626,5.021,3.997,1.683,0.144,0.35
"2050",39.392,48.361,2.672,12.765,23.438,20.323,44.414,20.913,37.666,2.426,10.843,1.336,47.813,4.118,25.847,42.403,27.713,4.158,2.357,6.826,5.683,2.179,0.037,0.542
"2060",52.534,61.728,3.416,16.673,21.787,27.089,59.018,25.225,42.024,3.322,14.577,1.156,60.989,4.495,31.345,35.059,33.388,5.439,2.99,8.781,7.545,2.561,0.02,0.698
"2070",67.366,76.985,4.175,20.839,27.164,34.273,74.844,31.159,31.575,4.236,12.545,1.251,78.357,5.31,33.36,34.648,41.686,6.738,3.816,10.843,9.436,3.028,0.025,0.846
"2080",56.701,91.524,4.884,24.741,32.063,41.014,59.876,36.57,31.347,5.113,14.151,1.229,94.064,5.86,35.219,39.588,48.83,8.023,4.424,12.749,11.208,3.487,0.03,0.993
"2090",64.085,104.699,5.534,27.794,36.23,36.695,50.42,40.063,33.296,5.902,9.349,1.135,107.836,5.684,30.398,42.882,54.746,9.241,4.65,14.515,12.827,3.704,0,1.01
"2100",111.862,122.756,6.452,33.337,43.295,55.825,122.322,48.961,0.228000000000044,6.978,6.449,1.536,130.461,7.755,39.405,33.415,66.58,10.635,6.294,17.029,15.109,4.429,0.04,1.29
"2110",126.694,138.013,7.211,37.503,48.672,63.009,138.148,54.895,0,7.89199999999999,4.417,1.631,147.829,8.56999999999999,41.42,33.004,74.8779999999999,11.934,7.12,19.091,17,4.896,0.045,1.438
