"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.011,0.403,0,5.37,2.039,43.085,4.437,5.919,0.097,0,0,0,7.265,4.574,6.422,0.058,0.117,0,0,0.005,2.632,0.157,32.407,0.002
"2020",0.015,0.539,0,15.711,3.282,65.344,7.666,9.39,0.135,0,0,0,16.525,6.627,18.283,0.15,0.171,0,0,0.007,8.93,5.08,45.321,0.003
"2030",0.022,0.771,0,34.35,7.527,107.254,19.64,18.814,0.276,0,0.15,0,34.776,10.535,29.471,0.602,0.305,0,0,3.338,15.011,11.714,67.095,1.189
"2040",0.032,1.116,0,52.524,13.573,163.537,32.625,37.257,0.409,0,0.229,1.545,60.242,28.348,45.555,1.019,0.507,0,0,16.274,22.939,24.73,110.434,1.819
"2050",0.047,27.507,0,78.925,23.215,245.099,67.172,61.649,0.606,0,0.405,3.542,109.396,45.338,75.607,2.517,0.82,0,0.023,24.895,34.355,37.573,163.286,2.786
"2060",2.362,42.352,0.027,110.988,46.153,343.024,99.471,93.438,23.976,0,0.725,6.512,162.596,65.559,108.931,36.245,12.696,0.037,0.106,35.056,47.724,53.114,226.654,4.025
"2070",3.963,47.889,0.051,123.542,67.192,383.662,112.642,105.353,77.587,0,14.686,7.626,182.134,73.342,128.979,66.865,16.917,0.075,0.215,38.963,52.954,59.375,253.17,4.551
"2080",25.717,49.784,0.075,126.042,84.371,393.601,176.401,108.71,92.374,0,16.711,8.22,188.168,75.265,143.293,81.852,19.99,0.084,0.596,39.774,53.937,60.667,260.348,4.637
"2090",29.5,58.948,0.08,145.439,94.332,474.434,239.601,128.456,111.266,0,27.419,9.873,219.477,87.898,182.524,106.069,25.949,0.089,1.269,45.817,62.069,70.221,302.72,5.433
"2100",8.76599999999999,64.5,0.123,161.204,130.309,505.576,152.155,141.098,238.42,0,56.569,10.968,240.748,96.6909999999999,189.123,158.725,29.58,0.189,0.541999999999999,50.684,68.644,78.1579999999999,332.718,6.129
"2110",10.367,70.037,0.147,173.758,151.348,546.213999999999,165.326,153.013,292.031,0,70.5299999999999,12.082,260.286,104.474,209.171,189.345,33.801,0.227,0.650999999999999,54.591,73.874,84.4189999999999,359.234,6.655
