"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.245,0.218,0,0.288,0.514,0.562,0.26,0.354,0.241,0,0,0,0.245,0.332,0.272,0.252,0.4,0,0,0.241,0.249,0.332,0.539,0.441
"2020",0.257,0.231,0,0.295,0.541,0.591,0.273,0.37,0.253,0,0,0,0.261,0.35,0.275,0.266,0.412,0,0,0.253,0.261,0.326,0.568,0.464
"2030",0.424,0.477,0,0.442,0.502,0.615,0.428,0.483,0.424,0,0.402,0,0.427,0.477,0.429,0.424,0.454,0,0,0.422,0.426,0.463,0.61,0.421
"2040",0.599,0.66,0,0.597,0.536,0.71,0.599,0.633,0.599,0,0.575,0.592,0.599,0.638,0.595,0.596,0.535,0,0,0.601,0.6,0.639,0.708,0.551
"2050",0.766,0.769,0,0.75,0.638,0.83,0.765,0.784,0.766,0,0.745,0.762,0.764,0.786,0.751,0.739,0.655,0,0.724,0.767,0.767,0.788,0.831,0.694
"2060",0.761,0.883,0.898,0.862,0.781,0.919,0.88,0.892,0.881,0,0.87,0.879,0.878,0.891,0.866,0.868,0.859,0.898,0.855,0.882,0.882,0.894,0.92,0.815
"2070",0.895,0.939,0.939,0.923,0.906,0.962,0.939,0.945,0.939,0,0.938,0.938,0.938,0.945,0.935,0.936,0.933,0.939,0.93,0.939,0.939,0.947,0.962,0.903
"2080",0.958,0.965,0.963,0.958,0.966,0.98,0.966,0.969,0.965,0,0.965,0.964,0.966,0.97,0.968,0.965,0.966,0.963,0.964,0.965,0.965,0.97,0.979,0.955
"2090",0.98,0.979,0.978,0.977,0.985,0.988,0.98,0.981,0.979,0,0.979,0.979,0.98,0.983,0.983,0.98,0.981,0.978,0.979,0.979,0.979,0.983,0.988,0.978
"2100",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"2110",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
