"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.011,1.008,0,5.495,7.393,44.074,4.557,5.99,0.098,0,0,0,7.384,4.629,7.012,0.059,0.317,0,0,0.005,2.664,0.159,32.798,0.015
"2020",0.015,1.272,0,16.2,44.816,71.082,8.455,9.612,0.138,0,0,0,17.077,6.784,19.992,0.167,0.52,0,0,0.007,9.141,5.2,46.389,0.029
"2030",0.021,1.577,0,33.182,87.019,111.484,20.187,18.018,0.264,0,0.191,0,33.734,10.088,30.303,0.657,0.882,0,0,3.197,14.375,11.218,64.252,1.177
"2040",0.027,1.894,0,45.785,119.728,153.74,30.083,32.189,0.353,0,0.274,1.335,53.19,24.484,43.336,1.097,1.342,0,0,14.062,19.816,21.362,95.378,1.625
"2050",0.035,22.034,0,59.559,145.844,198.749,52.826,46.183,0.454,0,0.412,2.646,83.532,33.988,64.694,5.996,2.006,0,0.123,18.673,25.71,28.105,122.052,2.148
"2060",10.592,30.604,0.046,73.729,206.088,244.958,68.685,61.989,15.871,0,0.617,4.261,111.273,43.159,86.888,41.857,10.275,0.064,0.48,23.459,31.587,35.013,148.765,2.708
"2070",13.199,36.432,0.071,85.559,224.646,289.903,81.407,74.541,54.084,0,9.999,5.083,131.703,49.826,113.468,65.03,13.499,0.103,0.581,28.558,37.234,40.978,171.344,3.103
"2080",73.582,42.137,0.092,94.103,240.893,332.221,141.662,86.632,71.894,0,11.869,5.81,152.344,54.931,138.996,75.149,16.806,0.104,0.826,33.534,41.68,45.506,188.137,3.272
"2090",80.453,48.179,0.089,102.82,258.777,383.014,184.372,98.583,83.235,0,20.029,6.473,167.982,60.656,168.276,84.665,19.546,0.1,1.224,37.875,46.425,50.439,204.51,3.586
"2100",21.02,53.916,0.146,121.049,280.32,424.738,119.573,112.197,168.723,0,38.145,7.549,192.993,69.827,193.208,134.549,23.171,0.22,0.883999999999999,43.855,54.175,58.873,239.081,4.288
"2110",23.6269999999999,59.744,0.171,132.879,298.878,469.683,132.295,124.749,206.936,0,47.527,8.371,213.423,76.494,219.788,157.722,26.395,0.259,0.984999999999999,48.954,59.8219999999999,64.838,261.66,4.683
