"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.264,0.241,0.238,0.29,0.332,0.392,0.267,0.274,0.242,0.249,0.229,0.227,0.391,0.431,0.408,0.262,0.4,0.24,0.257,0.245,0.245,0.352,0.462,0.295
"2020",0.278,0.254,0.251,0.313,0.35,0.41,0.281,0.289,0.255,0.262,0.241,0.239,0.437,0.447,0.522,0.276,0.426,0.253,0.271,0.258,0.256,0.404,0.486,0.309
"2030",0.362,0.351,0.342,0.371,0.393,0.443,0.358,0.363,0.343,0.345,0.343,0.335,0.464,0.452,0.498,0.361,0.442,0.345,0.367,0.348,0.345,0.46,0.484,0.36
"2040",0.44,0.444,0.422,0.442,0.451,0.49,0.438,0.442,0.434,0.431,0.447,0.429,0.495,0.488,0.505,0.45,0.48,0.437,0.473,0.436,0.437,0.467,0.468,0.417
"2050",0.537,0.553,0.51,0.536,0.537,0.572,0.537,0.547,0.542,0.536,0.568,0.539,0.554,0.553,0.553,0.557,0.549,0.547,0.598,0.546,0.546,0.563,0.546,0.504
"2060",0.664,0.681,0.61,0.657,0.675,0.688,0.662,0.675,0.672,0.664,0.706,0.67,0.643,0.655,0.642,0.675,0.65,0.678,0.738,0.678,0.678,0.686,0.678,0.631
"2070",0.796,0.812,0.714,0.785,0.806,0.814,0.795,0.807,0.802,0.799,0.847,0.807,0.767,0.786,0.769,0.806,0.776,0.81,0.86,0.81,0.81,0.814,0.81,0.781
"2080",0.91,0.908,0.799,0.887,0.907,0.911,0.894,0.907,0.903,0.902,0.931,0.91,0.887,0.896,0.89,0.906,0.891,0.909,0.937,0.909,0.909,0.911,0.909,0.901
"2090",0.962,0.96,0.855,0.948,0.962,0.964,0.954,0.961,0.959,0.959,0.969,0.963,0.96,0.957,0.961,0.961,0.959,0.961,0.972,0.961,0.961,0.963,0,0.962
"2100",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"2110",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
