"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.444,0.494,0.495,0.525,0.539,0.613,0.462,0.512,0.485,0.456,0.494,0.486,0.624,0.653,0.647,0.515,0.634,0.494,0.527,0.494,0.494,0.585,0.679,0.527
"2020",0.467,0.52,0.519,0.558,0.566,0.643,0.487,0.539,0.511,0.48,0.52,0.512,0.68,0.681,0.76,0.542,0.671,0.52,0.555,0.52,0.518,0.644,0.715,0.554
"2030",0.571,0.618,0.605,0.618,0.617,0.685,0.581,0.62,0.604,0.579,0.623,0.607,0.705,0.694,0.734,0.63,0.687,0.613,0.655,0.614,0.611,0.71,0.73,0.589
"2040",0.689,0.733,0.694,0.714,0.708,0.765,0.698,0.725,0.72,0.699,0.746,0.723,0.761,0.749,0.766,0.742,0.751,0.729,0.776,0.727,0.728,0.753,0.755,0.671
"2050",0.811,0.845,0.782,0.821,0.821,0.861,0.819,0.839,0.837,0.822,0.856,0.839,0.845,0.838,0.845,0.849,0.842,0.843,0.877,0.842,0.843,0.857,0.842,0.795
"2060",0.906,0.921,0.852,0.905,0.925,0.934,0.909,0.92,0.918,0.91,0.927,0.919,0.927,0.922,0.927,0.921,0.924,0.922,0.936,0.921,0.921,0.929,0.921,0.906
"2070",0.954,0.959,0.9,0.953,0.964,0.969,0.956,0.96,0.958,0.956,0.962,0.959,0.974,0.969,0.974,0.961,0.97,0.96,0.965,0.96,0.96,0.964,0.96,0.96
"2080",0.976,0.977,0.936,0.977,0.981,0.984,0.975,0.978,0.976,0.976,0.978,0.977,0.99,0.986,0.989,0.978,0.986,0.977,0.979,0.977,0.977,0.98,0.977,0.979
"2090",0.986,0.986,0.963,0.987,0.989,0.991,0.986,0.987,0.986,0.986,0.987,0.986,0.994,0.992,0.993,0.987,0.992,0.987,0.988,0.987,0.987,0.988,0,0.987
"2100",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"2110",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
