year,13|North-Western,9|Western,12|Western,11|Southern,8|North-Western,5|Copperbelt,15|Luapula,4|Central,17|Northern,19|Central,18|Northern,6|Lusaka,21|Eastern,3|Lusaka,1|Eastern,16|Muchinga,23|Muchinga,14|Southern,20|Northern,24|Central,22|Southern,7|Lusaka,2|Central,10|Lusaka
2010,0.196,0.1744,0,0.2304,0.4112,0.4496,0.208,0.2832,0.1928,0,0,0,0.196,0.2656,0.2176,0.2016,0.32,0,0,0.1928,0.1992,0.2656,0.4312,0.3528
2020,0.2056,0.1848,0,0.236,0.4328,0.4728,0.2184,0.296,0.2024,0,0,0,0.2088,0.28,0.22,0.2128,0.3296,0,0,0.2024,0.2088,0.2608,0.4544,0.3712
2030,0.3392,0.3816,0,0.3536,0.4016,0.492,0.3424,0.3864,0.3392,0,0.3216,0,0.3416,0.3816,0.3432,0.3392,0.3632,0,0,0.3376,0.3408,0.3704,0.488,0.3368
2040,0.4792,0.528,0,0.4776,0.4288,0.568,0.4792,0.5064,0.4792,0,0.46,0.4736,0.4792,0.5104,0.476,0.4768,0.428,0,0,0.4808,0.48,0.5112,0.5664,0.4408
2050,0.6128,0.6152,0,0.6,0.5104,0.664,0.612,0.6272,0.6128,0,0.596,0.6096,0.6112,0.6288,0.6008,0.5912,0.524,0,0.5792,0.6136,0.6136,0.6304,0.6648,0.5552
2060,0.6088,0.7064,0.7184,0.6896,0.6248,0.7352,0.704,0.7136,0.7048,0,0.696,0.7032,0.7024,0.7128,0.6928,0.6944,0.6872,0.7184,0.684,0.7056,0.7056,0.7152,0.736,0.652
2070,0.716,0.7512,0.7512,0.7384,0.7248,0.7696,0.7512,0.756,0.7512,0,0.7504,0.7504,0.7504,0.756,0.748,0.7488,0.7464,0.7512,0.744,0.7512,0.7512,0.7576,0.7696,0.7224
2080,0.7664,0.772,0.7704,0.7664,0.7728,0.784,0.7728,0.7752,0.772,0,0.772,0.7712,0.7728,0.776,0.7744,0.772,0.7728,0.7704,0.7712,0.772,0.772,0.776,0.7832,0.764
2090,0.784,0.7832,0.7824,0.7816,0.788,0.7904,0.784,0.7848,0.7832,0,0.7832,0.7832,0.784,0.7864,0.7864,0.784,0.7848,0.7824,0.7832,0.7832,0.7832,0.7864,0.7904,0.7824
2100,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
2110,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
