"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.021,1.411,0,10.865,9.432,87.159,8.994,11.909,0.195,0,0,0,14.649,9.204,13.434,0.116,0.433,0,0,0.01,5.297,0.316,65.205,0.017
"2020",0.03,1.811,0,31.911,48.099,136.427,16.121,19.002,0.274,0,0,0,33.602,13.411,38.275,0.317,0.69,0,0,0.014,18.071,10.281,91.71,0.032
"2030",0.043,2.348,0,67.532,94.546,218.738,39.827,36.831,0.54,0,0.341,0,68.51,20.623,59.774,1.258,1.187,0,0,6.536,29.386,22.932,131.347,2.366
"2040",0.059,3.009,0,98.31,133.301,317.277,62.708,69.446,0.763,0,0.503,2.88,113.431,52.832,88.891,2.116,1.848,0,0,30.336,42.755,46.092,205.812,3.444
"2050",0.081,49.541,0,138.484,169.059,443.848,119.998,107.832,1.059,0,0.817,6.189,192.928,79.326,140.301,8.513,2.826,0,0.146,43.568,60.065,65.678,285.338,4.935
"2060",12.954,72.956,0.073,184.717,252.241,587.983,168.156,155.427,39.847,0,1.342,10.773,273.869,108.718,195.819,78.102,22.971,0.101,0.586,58.515,79.311,88.128,375.419,6.733
"2070",17.163,84.321,0.122,209.101,291.838,673.564,194.049,179.894,131.672,0,24.685,12.709,313.837,123.168,242.447,131.894,30.416,0.178,0.797,67.521,90.188,100.352,424.515,7.654
"2080",99.3,91.921,0.167,220.146,325.264,725.822,318.063,195.342,164.268,0,28.58,14.03,340.513,130.196,282.289,157,36.797,0.187,1.422,73.308,95.617,106.172,448.485,7.909
"2090",109.952,107.127,0.169,248.259,353.109,857.447,423.973,227.039,194.501,0,47.448,16.346,387.46,148.555,350.8,190.734,45.495,0.189,2.493,83.693,108.495,120.659,507.23,9.019
"2100",29.79,118.416,0.269,282.253,410.629,930.306999999999,271.728,253.295,407.147,0,94.7139999999999,18.517,433.741,166.518,382.331,293.27,52.751,0.409,1.43,94.5389999999999,122.819,137.024,571.803,10.417
"2110",33.999,129.781,0.318,306.637,450.226,1015.888,297.621,277.762,498.972,0,118.057,20.453,473.709,180.968,428.959,347.062,60.196,0.486,1.641,103.545,133.696,149.248,620.899,11.338
