"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.453,0.654,0,0.523,0.782,0.766,0.428,0.588,0.49,0,0,0,0.494,0.569,0.525,0.5,0.648,0,0,0.49,0.497,0.569,0.746,0.627
"2020",0.477,0.685,0,0.546,0.824,0.805,0.451,0.616,0.516,0,0,0,0.523,0.599,0.545,0.531,0.673,0,0,0.516,0.522,0.578,0.785,0.66
"2030",0.67,0.802,0,0.701,0.768,0.858,0.664,0.746,0.697,0,0.694,0,0.698,0.74,0.706,0.7,0.731,0,0,0.693,0.697,0.727,0.855,0.672
"2040",0.806,0.882,0,0.815,0.831,0.917,0.803,0.85,0.822,0,0.82,0.819,0.823,0.855,0.828,0.83,0.825,0,0,0.823,0.822,0.856,0.914,0.78
"2050",0.887,0.899,0,0.888,0.923,0.954,0.884,0.911,0.896,0,0.896,0.894,0.897,0.916,0.903,0.913,0.909,0,0.901,0.897,0.896,0.917,0.951,0.872
"2060",0.922,0.94,0.968,0.935,0.963,0.973,0.931,0.947,0.938,0,0.939,0.937,0.939,0.951,0.946,0.943,0.943,0.968,0.942,0.938,0.938,0.951,0.971,0.934
"2070",0.956,0.964,0.981,0.964,0.98,0.984,0.959,0.968,0.963,0,0.963,0.962,0.964,0.971,0.97,0.965,0.966,0.981,0.966,0.963,0.963,0.971,0.983,0.964
"2080",0.972,0.978,0.987,0.979,0.988,0.99,0.976,0.981,0.978,0,0.978,0.977,0.978,0.983,0.983,0.979,0.98,0.988,0.979,0.978,0.978,0.983,0.99,0.979
"2090",0.983,0.987,0.992,0.987,0.993,0.994,0.986,0.988,0.987,0,0.987,0.986,0.987,0.99,0.99,0.987,0.988,0.993,0.988,0.987,0.987,0.99,0.994,0.987
"2100",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"2110",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
