"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.009,0.35,0,4.671,1.774,37.484,3.86,5.149,0.084,0,0,0,6.321,3.98,5.587,0.05,0.101,0,0,0.004,2.29,0.137,28.194,0.002
"2020",0.013,0.472,0,13.768,2.877,57.265,6.718,8.229,0.118,0,0,0,14.481,5.808,16.023,0.132,0.15,0,0,0.006,7.826,4.452,39.717,0.002
"2030",0.019,0.68,0,30.31,6.642,94.641,17.331,16.601,0.243,0,0.132,0,30.687,9.296,26.005,0.531,0.269,0,0,2.946,13.245,10.337,59.204,1.049
"2040",0.028,0.991,0,46.65,12.055,145.246,28.976,33.09,0.363,0,0.203,1.372,53.504,25.177,40.46,0.904,0.45,0,0,14.454,20.373,21.964,98.082,1.615
"2050",0.042,24.581,0,70.529,20.745,219.025,60.026,55.09,0.541,0,0.362,3.165,97.758,40.515,67.563,2.242,0.733,0,0.02,22.246,30.7,33.576,145.915,2.49
"2060",2.123,38.067,0.024,99.758,41.484,308.317,89.407,83.984,21.55,0,0.651,5.853,146.144,58.925,97.91,32.542,11.411,0.033,0.094,31.509,42.895,47.74,203.721,3.618
"2070",3.582,43.281,0.046,111.653,60.726,346.74,101.802,95.215,70.121,0,13.272,6.892,164.606,66.284,116.567,60.362,15.289,0.068,0.193,35.214,47.858,53.661,228.807,4.113
"2080",23.364,45.227,0.068,114.506,76.649,357.575,160.255,98.76,83.919,0,15.18,7.468,170.946,68.376,130.177,74.217,18.161,0.076,0.538,36.133,49,55.114,236.519,4.212
"2090",26.932,53.816,0.073,132.778,86.12,433.132,218.743,117.274,101.58,0,24.984,9.014,200.371,80.247,166.635,96.627,23.69,0.081,1.15,41.829,56.666,64.108,276.367,4.96
"2100",7.95899999999997,58.923,0.112,147.338,118.452,462.009,138.987,128.908,215.834,0,51.1349999999999,10.009,219.992,88.361,172.538,143.822,26.923,0.173,0.489999999999999,46.329,62.747,71.424,304.065,5.598
"2110",9.41799999999997,64.137,0.134,159.233,137.694,500.432,151.382,140.139,264.405,0,63.7559999999999,11.048,238.454,95.72,191.195,171.642,30.801,0.208,0.588999999999999,50.034,67.71,77.345,329.151,6.093
