"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",4.104,8.623,0.501,4.324,2.531,3.158,7.539,4.29,4.847,0.291,0.935,0.374,10.265,2.002,6.023,5.06,3.857,0.636,0.097,2.393,1.825,2.221,0.951,0.236
"2020",9.473,18.401,0.996,6.327,5.498,6.925,16.148,9.294,10.749,0.645,2.906,0.834,18.667,4.13,8.588,12.772,7.733,1.327,0.559,5.143,1.972,2.89,2.124,0.482
"2030",16.685,31.86,1.588,6.548,9.314,10.024,24.95,14.541,19.106,1.145,5.358,1.467,29.67,6.647,15.446,23.214,13.947,2.279,1.131,7.383,3.056,3.398,3.796,0.232
"2040",29.26,48.744,2.286,10.353,17.026,16.172,40.133,18.814,30.392,1.893,8.689,1.513,43.781,4.275,23.976,36.835,22.203,3.469,1.907,5.915,4.709,1.983,0.17,0.406
"2050",45.377,56.596,3.109,14.925,26.964,23.684,51.536,24.448,44.056,2.823,12.678,1.564,56.019,4.77,30.254,49.686,32.483,4.874,2.752,8.007,6.666,2.556,0.043,0.624
"2060",60.283,71.992,3.961,19.408,25.231,31.408,68.084,29.337,48.892,3.846,16.971,1.346,71.151,5.166,36.534,40.938,38.965,6.351,3.477,10.256,8.812,2.991,0.024,0.797
"2070",76.972,89.419,4.825,24.157,31.333,39.56,85.926,36.076,36.471,4.881,14.524,1.451,91.037,6.073,38.722,40.288,48.447,7.837,4.419,12.612,10.976,3.522,0.029,0.962
"2080",65.218,105.884,5.624,28.567,36.851,47.151,67.996,42.16,36.003,5.866,16.314,1.419,108.851,6.674,40.715,45.849,56.521,9.294,5.103,14.769,12.984,4.04,0.035,1.125
"2090",73.458,120.654,6.35,31.972,41.481,41.935,56.65,45.992,38.072,6.745,10.728,1.305,124.302,6.443,35,49.471,63.122,10.663,5.343,16.749,14.801,4.274,0,1.14
"2100",127.039,141.7,7.417,38.404,49.639,64.016,139.452,56.293,0,7.98599999999999,7.183,1.766,150.695,8.794,45.286,38.338,76.893,12.295,7.245,19.68,17.468,5.115,0.044,1.457
"2110",143.728,159.127,8.28100000000001,43.1529999999999,55.741,72.168,157.294,63.032,0,9.02099999999999,4.736,1.871,170.581,9.701,47.474,37.688,86.3749999999999,13.781,8.187,22.036,19.632,5.646,0.049,1.622
