"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.009,0.874,0,4.602,6.523,36.92,3.819,5.014,0.082,0,0,0,6.181,3.875,5.871,0.049,0.266,0,0,0.004,2.23,0.133,27.453,0.013
"2020",0.013,1.105,0,13.63,39.679,59.985,7.14,8.084,0.116,0,0,0,14.363,5.705,16.819,0.14,0.438,0,0,0.006,7.688,4.374,39.016,0.025
"2030",0.018,1.375,0,28.049,77.258,94.612,17.122,15.225,0.223,0,0.161,0,28.505,8.525,25.614,0.555,0.746,0,0,2.702,12.147,9.479,54.292,0.996
"2040",0.023,1.656,0,38.88,106.628,131.075,25.623,27.323,0.3,0,0.233,1.133,45.151,20.783,36.799,0.932,1.14,0,0,11.937,16.821,18.132,80.96,1.381
"2050",0.03,18.866,0,50.801,130.274,170.151,45.158,39.377,0.387,0,0.352,2.256,71.223,28.982,55.181,5.13,1.712,0,0.105,15.921,21.921,23.963,104.064,1.834
"2060",9.489,26.356,0.042,63.166,184.613,210.567,58.958,53.088,13.592,0,0.529,3.649,95.3,36.966,74.442,35.924,8.802,0.057,0.413,20.09,27.051,29.986,127.403,2.322
"2070",11.857,31.49,0.064,73.633,201.805,250.248,70.179,64.128,46.529,0,8.603,4.373,113.31,42.871,97.651,56.031,11.615,0.093,0.502,24.568,32.033,35.254,147.409,2.672
"2080",66.287,36.574,0.083,81.376,217.006,288.094,122.627,74.891,62.151,0,10.261,5.022,131.698,47.495,120.169,65.044,14.528,0.093,0.716,28.989,36.031,39.338,162.639,2.831
"2090",72.669,42.007,0.081,89.374,233.752,333.777,160.439,85.663,72.336,0,17.418,5.625,145.96,52.723,146.17,73.631,16.979,0.09,1.066,32.912,40.341,43.828,177.709,3.121
"2100",18.9609999999999,46.892,0.13,105.034,253.381,369.291,103.842,97.2479999999999,145.34,0,32.825,6.545,167.34,60.586,167.278,116.352,20.054,0.201,0.769,38.002,46.979,51.058,207.427,3.722
"2110",21.3289999999999,52.026,0.152,115.501,270.573,408.972,115.063,108.288,178.277,0,40.899,7.269,185.35,66.491,190.487,136.459,22.867,0.237,0.858,42.48,51.961,56.326,227.433,4.072
