"year","1|Eastern","10|Lusaka","11|Southern","12|Western","13|North-Western","14|Southern","15|Luapula","16|Muchinga","17|Northern","18|Northern","19|Central","2|Central","20|Northern","21|Eastern","22|Southern","23|Muchinga","24|Central","3|Lusaka","4|Central","5|Copperbelt","6|Lusaka","7|Lusaka","8|North-Western","9|Western"
2010,0.272,0.441,0.288,0,0.245,0,0.26,0.252,0.241,0,0,0.539,0,0.245,0.249,0.4,0.241,0.332,0.354,0.562,0,0.332,0.514,0.218
2020,0.275,0.464,0.295,0,0.257,0,0.273,0.266,0.253,0,0,0.568,0,0.261,0.261,0.412,0.253,0.35,0.37,0.591,0,0.326,0.541,0.231
2030,0.7095,0.7055,0.716,0,0.707,0,0.709,0.707,0.707,0.696,0,0.8,0,0.7085,0.708,0.722,0.706,0.7335,0.7365,0.8025,0,0.7265,0.746,0.7335
2040,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2050,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2060,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2070,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2080,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2090,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2100,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
2110,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
