"","13|North-Western","9|Western","12|Western","11|Southern","8|North-Western","5|Copperbelt","15|Luapula","4|Central","17|Northern","19|Central","18|Northern","6|Lusaka","21|Eastern","3|Lusaka","1|Eastern","16|Muchinga","23|Muchinga","14|Southern","20|Northern","24|Central","22|Southern","7|Lusaka","2|Central","10|Lusaka"
"2010",0.018,1.224,0,9.274,8.297,74.404,7.678,10.163,0.166,0,0,0,12.501,7.854,11.458,0.099,0.367,0,0,0.009,4.52,0.269,55.647,0.015
"2020",0.026,1.578,0,27.398,42.555,117.25,13.859,16.313,0.235,0,0,0,28.845,11.513,32.842,0.272,0.587,0,0,0.012,15.513,8.826,78.733,0.028
"2030",0.037,2.055,0,58.36,83.899,189.253,34.452,31.826,0.467,0,0.294,0,59.192,17.82,51.62,1.086,1.016,0,0,5.647,25.392,19.816,113.497,2.045
"2040",0.051,2.646,0,85.529,118.683,276.321,54.599,60.413,0.663,0,0.436,2.505,98.654,45.96,77.258,1.837,1.59,0,0,26.39,37.194,40.097,179.042,2.996
"2050",0.071,43.447,0,121.33,151.019,389.177,105.184,94.467,0.928,0,0.714,5.422,168.981,69.497,122.745,7.373,2.445,0,0.125,38.168,52.621,57.539,249.979,4.324
"2060",11.612,64.423,0.066,162.924,226.097,518.885,148.364,137.072,35.142,0,1.18,9.502,241.444,95.891,172.351,68.466,20.213,0.09,0.507,51.599,69.947,77.726,331.125,5.94
"2070",15.439,74.771,0.11,185.286,262.531,596.988,171.98,159.343,116.65,0,21.875,11.265,277.917,109.155,214.218,116.393,26.904,0.161,0.695,59.782,79.891,88.915,376.216,6.785
"2080",89.651,81.802,0.151,195.882,293.655,645.669,282.882,173.651,146.07,0,25.441,12.49,302.644,115.872,250.347,139.261,32.689,0.17,1.254,65.123,85.031,94.453,399.158,7.044
"2090",99.601,95.824,0.154,222.152,319.872,766.909,379.182,202.937,173.916,0,42.403,14.638,346.331,132.97,312.805,170.257,40.669,0.171,2.216,74.74,97.007,107.936,454.075,8.082
"2100",26.9199999999999,105.815,0.242,252.372,371.833,831.297,242.828,226.156,361.174,0,83.9599999999999,16.554,387.336,148.947,339.819,260.174,46.977,0.374,1.259,84.3309999999999,109.723,122.482,511.489,9.31999999999999
"2110",30.7469999999999,116.163,0.286,274.734,408.267,909.4,266.444,248.427,442.682,0,104.655,18.317,423.809,162.211,381.686,308.101,53.6679999999999,0.445,1.447,92.5139999999999,119.667,133.671,556.58,10.165
