# Exported 2021-06-09T23:52:41.824251 from
# ixmp://cloned-2021-06-09/ENGAGE_SSP2_v4.1.7/baseline
relation,node_rel,year_rel,node_loc,technology,year_act,mode,value,unit
UE_transport,R11_AFR,1990,R11_AFR,Trans_1,1990,M1,-1.0,???
demp_limit,R11_AFR,1990,R11_AFR,Trans_1,1990,M1,1.0,???
UE_transport,R11_AFR,1995,R11_AFR,Trans_1,1995,M1,-1.0,???
demp_limit,R11_AFR,1995,R11_AFR,Trans_1,1995,M1,1.0,???
UE_transport,R11_AFR,2000,R11_AFR,Trans_1,2000,M1,-1.0,???
demp_limit,R11_AFR,2000,R11_AFR,Trans_1,2000,M1,1.0,???
UE_transport,R11_AFR,2005,R11_AFR,Trans_1,2005,M1,-1.0,???
demp_limit,R11_AFR,2005,R11_AFR,Trans_1,2005,M1,1.0,???
UE_transport,R11_AFR,2010,R11_AFR,Trans_1,2010,M1,-1.0,???
demp_limit,R11_AFR,2010,R11_AFR,Trans_1,2010,M1,1.0,???
UE_transport,R11_AFR,2015,R11_AFR,Trans_1,2015,M1,-1.0,???
demp_limit,R11_AFR,2015,R11_AFR,Trans_1,2015,M1,1.0,???
UE_transport,R11_AFR,2020,R11_AFR,Trans_1,2020,M1,-1.0,???
demp_limit,R11_AFR,2020,R11_AFR,Trans_1,2020,M1,1.0,???
UE_transport,R11_AFR,2025,R11_AFR,Trans_1,2025,M1,-1.0,???
demp_limit,R11_AFR,2025,R11_AFR,Trans_1,2025,M1,1.0,???
UE_transport,R11_AFR,2030,R11_AFR,Trans_1,2030,M1,-1.0,???
demp_limit,R11_AFR,2030,R11_AFR,Trans_1,2030,M1,1.0,???
UE_transport,R11_AFR,2035,R11_AFR,Trans_1,2035,M1,-1.0,???
demp_limit,R11_AFR,2035,R11_AFR,Trans_1,2035,M1,1.0,???
UE_transport,R11_AFR,2040,R11_AFR,Trans_1,2040,M1,-1.0,???
demp_limit,R11_AFR,2040,R11_AFR,Trans_1,2040,M1,1.0,???
UE_transport,R11_AFR,2045,R11_AFR,Trans_1,2045,M1,-1.0,???
demp_limit,R11_AFR,2045,R11_AFR,Trans_1,2045,M1,1.0,???
UE_transport,R11_AFR,2050,R11_AFR,Trans_1,2050,M1,-1.0,???
demp_limit,R11_AFR,2050,R11_AFR,Trans_1,2050,M1,1.0,???
UE_transport,R11_AFR,2055,R11_AFR,Trans_1,2055,M1,-1.0,???
demp_limit,R11_AFR,2055,R11_AFR,Trans_1,2055,M1,1.0,???
UE_transport,R11_AFR,2060,R11_AFR,Trans_1,2060,M1,-1.0,???
demp_limit,R11_AFR,2060,R11_AFR,Trans_1,2060,M1,1.0,???
UE_transport,R11_AFR,2070,R11_AFR,Trans_1,2070,M1,-1.0,???
demp_limit,R11_AFR,2070,R11_AFR,Trans_1,2070,M1,1.0,???
UE_transport,R11_AFR,2080,R11_AFR,Trans_1,2080,M1,-1.0,???
demp_limit,R11_AFR,2080,R11_AFR,Trans_1,2080,M1,1.0,???
UE_transport,R11_AFR,2090,R11_AFR,Trans_1,2090,M1,-1.0,???
demp_limit,R11_AFR,2090,R11_AFR,Trans_1,2090,M1,1.0,???
UE_transport,R11_AFR,2100,R11_AFR,Trans_1,2100,M1,-1.0,???
demp_limit,R11_AFR,2100,R11_AFR,Trans_1,2100,M1,1.0,???
UE_transport,R11_AFR,2110,R11_AFR,Trans_1,2110,M1,-1.0,???
demp_limit,R11_AFR,2110,R11_AFR,Trans_1,2110,M1,1.0,???
UE_transport,R11_AFR,1990,R11_AFR,Trans_2,1990,M1,-1.0,???
demp_limit,R11_AFR,1990,R11_AFR,Trans_2,1990,M1,1.0,???
UE_transport,R11_AFR,1995,R11_AFR,Trans_2,1995,M1,-1.0,???
demp_limit,R11_AFR,1995,R11_AFR,Trans_2,1995,M1,1.0,???
UE_transport,R11_AFR,2000,R11_AFR,Trans_2,2000,M1,-1.0,???
demp_limit,R11_AFR,2000,R11_AFR,Trans_2,2000,M1,1.0,???
UE_transport,R11_AFR,2005,R11_AFR,Trans_2,2005,M1,-1.0,???
demp_limit,R11_AFR,2005,R11_AFR,Trans_2,2005,M1,1.0,???
UE_transport,R11_AFR,2010,R11_AFR,Trans_2,2010,M1,-1.0,???
demp_limit,R11_AFR,2010,R11_AFR,Trans_2,2010,M1,1.0,???
UE_transport,R11_AFR,2015,R11_AFR,Trans_2,2015,M1,-1.0,???
demp_limit,R11_AFR,2015,R11_AFR,Trans_2,2015,M1,1.0,???
UE_transport,R11_AFR,2020,R11_AFR,Trans_2,2020,M1,-1.0,???
demp_limit,R11_AFR,2020,R11_AFR,Trans_2,2020,M1,1.0,???
UE_transport,R11_AFR,2025,R11_AFR,Trans_2,2025,M1,-1.0,???
demp_limit,R11_AFR,2025,R11_AFR,Trans_2,2025,M1,1.0,???
UE_transport,R11_AFR,2030,R11_AFR,Trans_2,2030,M1,-1.0,???
demp_limit,R11_AFR,2030,R11_AFR,Trans_2,2030,M1,1.0,???
UE_transport,R11_AFR,2035,R11_AFR,Trans_2,2035,M1,-1.0,???
demp_limit,R11_AFR,2035,R11_AFR,Trans_2,2035,M1,1.0,???
UE_transport,R11_AFR,2040,R11_AFR,Trans_2,2040,M1,-1.0,???
demp_limit,R11_AFR,2040,R11_AFR,Trans_2,2040,M1,1.0,???
