# Hydrogen Technology Time-Series Parameters,,,,,,,,
# This file contains time-varying parameters (e.g.  efficiency improvements  variable costs over time),,,,,,,,
# Years represent model years where parameter values change,,,,,,,,
parameter,node_loc,technology,year_act,mode,time,value,unit,year_vtg
historical_new_capacity,R12_AFR,h2_elec_alk,,,,0.007127434,GW,2020
historical_new_capacity,R12_AFR,h2_elec_alk,,,,0.004751622,GW,2025
historical_new_capacity,R12_AFR,h2_elec_pem,,,,0.003002399,GW,2020
historical_new_capacity,R12_AFR,h2_elec_pem,,,,0.012009595,GW,2025
historical_new_capacity,R12_CHN,h2_elec_alk,,,,0.002902562,GW,2015
historical_new_capacity,R12_CHN,h2_elec_alk,,,,0.997205455,GW,2020
historical_new_capacity,R12_CHN,h2_elec_alk,,,,0.845359778,GW,2025
historical_new_capacity,R12_CHN,h2_elec_pem,,,,0.002401919,GW,2015
historical_new_capacity,R12_CHN,h2_elec_pem,,,,0.049819788,GW,2020
historical_new_capacity,R12_CHN,h2_elec_pem,,,,0.029488119,GW,2025
historical_new_capacity,R12_EEU,h2_elec_alk,,,,0.000678803,GW,2015
historical_new_capacity,R12_EEU,h2_elec_alk,,,,0.002715213,GW,2020
historical_new_capacity,R12_EEU,h2_elec_pem,,,,0.000437149,GW,2015
historical_new_capacity,R12_EEU,h2_elec_pem,,,,0.010155314,GW,2020
historical_new_capacity,R12_EEU,h2_elec_pem,,,,0.027622069,GW,2025
historical_new_capacity,R12_FSU,h2_elec_pem,,,,0.001801439,GW,2020
historical_new_capacity,R12_FSU,h2_elec_pem,,,,0.00120096,GW,2025
historical_new_capacity,R12_LAM,h2_elec_alk,,,,0.0848504,GW,1965
historical_new_capacity,R12_LAM,h2_elec_alk,,,,0.000562049,GW,2005
historical_new_capacity,R12_LAM,h2_elec_alk,,,,0.002248196,GW,2010
historical_new_capacity,R12_LAM,h2_elec_pem,,,,9.37E-06,GW,2015
historical_new_capacity,R12_LAM,h2_elec_pem,,,,0.008272134,GW,2020
historical_new_capacity,R12_LAM,h2_elec_pem,,,,0.006271332,GW,2025
historical_new_capacity,R12_MEA,h2_elec_alk,,,,0.000154767,GW,2015
historical_new_capacity,R12_MEA,h2_elec_alk,,,,0.000232151,GW,2020
historical_new_capacity,R12_MEA,h2_elec_pem,,,,0.030023988,GW,2020
historical_new_capacity,R12_MEA,h2_elec_pem,,,,0.018764992,GW,2025
historical_new_capacity,R12_NAM,h2_elec_alk,,,,0.001355434,GW,2010
historical_new_capacity,R12_NAM,h2_elec_alk,,,,0.000423709,GW,2015
historical_new_capacity,R12_NAM,h2_elec_alk,,,,0.001357606,GW,2020
historical_new_capacity,R12_NAM,h2_elec_pem,,,,0.026811421,GW,2000
historical_new_capacity,R12_NAM,h2_elec_pem,,,,0.019003947,GW,2005
historical_new_capacity,R12_NAM,h2_elec_pem,,,,0.028505921,GW,2010
historical_new_capacity,R12_NAM,h2_elec_pem,,,,0.005704558,GW,2015
historical_new_capacity,R12_NAM,h2_elec_pem,,,,0.160978053,GW,2020
historical_new_capacity,R12_NAM,h2_elec_pem,,,,0.168146701,GW,2025
historical_new_capacity,R12_PAO,h2_elec_alk,,,,0.000271521,GW,2010
historical_new_capacity,R12_PAO,h2_elec_alk,,,,0.000407282,GW,2015
historical_new_capacity,R12_PAO,h2_elec_alk,,,,0.040809649,GW,2020
historical_new_capacity,R12_PAO,h2_elec_pem,,,,0.002287347,GW,2015
historical_new_capacity,R12_PAO,h2_elec_pem,,,,0.016765275,GW,2020
historical_new_capacity,R12_PAO,h2_elec_pem,,,,0.010533616,GW,2025
historical_new_capacity,R12_PAS,h2_elec_alk,,,,0.00018735,GW,2015
historical_new_capacity,R12_PAS,h2_elec_alk,,,,0.000749399,GW,2020
historical_new_capacity,R12_PAS,h2_elec_pem,,,,0.001207205,GW,2015
historical_new_capacity,R12_PAS,h2_elec_pem,,,,0.001826419,GW,2020
historical_new_capacity,R12_SAS,h2_elec_alk,,,,0.001386388,GW,2010
historical_new_capacity,R12_SAS,h2_elec_alk,,,,0.005545551,GW,2015
historical_new_capacity,R12_SAS,h2_elec_alk,,,,0.002443692,GW,2020
historical_new_capacity,R12_SAS,h2_elec_alk,,,,0.009774766,GW,2025
historical_new_capacity,R12_SAS,h2_elec_pem,,,,1.87E-05,GW,2010
historical_new_capacity,R12_SAS,h2_elec_pem,,,,1.25E-05,GW,2015
historical_new_capacity,R12_SAS,h2_elec_pem,,,,0.006817247,GW,2020
historical_new_capacity,R12_SAS,h2_elec_pem,,,,0.027249471,GW,2025
historical_new_capacity,R12_WEU,h2_elec_alk,,,,0.001425487,GW,1990
historical_new_capacity,R12_WEU,h2_elec_alk,,,,0.000950324,GW,1995
historical_new_capacity,R12_WEU,h2_elec_alk,,,,0.00019278,GW,2000
historical_new_capacity,R12_WEU,h2_elec_alk,,,,0.00020975,GW,2005
historical_new_capacity,R12_WEU,h2_elec_alk,,,,0.028192421,GW,2010
historical_new_capacity,R12_WEU,h2_elec_alk,,,,0.069384818,GW,2015
historical_new_capacity,R12_WEU,h2_elec_alk,,,,0.123339462,GW,2020
historical_new_capacity,R12_WEU,h2_elec_alk,,,,0.155659757,GW,2025
historical_new_capacity,R12_WEU,h2_elec_pem,,,,0.00150168,GW,2010
historical_new_capacity,R12_WEU,h2_elec_pem,,,,0.035854646,GW,2015
historical_new_capacity,R12_WEU,h2_elec_pem,,,,0.253813893,GW,2020
historical_new_capacity,R12_WEU,h2_elec_pem,,,,0.211117327,GW,2025
historical_new_capacity,R12_WEU,h2_elec_soe,,,,0.000117406,GW,2015
historical_new_capacity,R12_WEU,h2_elec_soe,,,,0.011310268,GW,2020
historical_new_capacity,R12_WEU,h2_elec_soe,,,,0.006984528,GW,2025
historical_activity,R12_LAM,h2_elec_alk,1965,M1,year,0.08060788,GWa,
historical_activity,R12_LAM,h2_elec_alk,1970,M1,year,0.08060788,GWa,
historical_activity,R12_LAM,h2_elec_alk,1975,M1,year,0.08060788,GWa,
historical_activity,R12_LAM,h2_elec_alk,1980,M1,year,0.08060788,GWa,
historical_activity,R12_LAM,h2_elec_alk,1985,M1,year,0.08060788,GWa,
historical_activity,R12_LAM,h2_elec_alk,1990,M1,year,0.08060788,GWa,
