Type of Technology,Description,Type ,Input ,Output,Vintage Tracking,Sector,LCA mapping
adipic_thermal,Thermal destruction tech for adipic acid sector,Dummy,-,Dummy Primary,,Non-CO2,
ammonia_secloop,Ammonia Secondary Loop Systems,Dummy,-,Dummy Primary,,Non-CO2,
back_bio_ind,Backstop for diagnosing model infeasibility,Final,-,Biomass Useful,,Industry,
back_fs,Backstop for diagnosing model infeasibility,Useful,-,Industry FS Useful,,Industry,
back_I,Backstop for diagnosing model infeasibility,Useful,-,Industry Useful,,Industry,
back_RC,Backstop for diagnosing model infeasibility,Useful,-,RC useful,,Residential/Commercial,
back_trp,Backstop for diagnosing model infeasibility,Useful,-,Transport Useful,,Transport,
bco2_tr_dis,Technology for co2 transportation and disposal from biomass technologies,Secondary,-,Exports Secondary,,Other Conversion,
bio_extr_1,Biomass Extraction,Primary,-,Biomass Primary,,Extraction,
bio_extr_2,Biomass Extraction,Primary,-,Biomass Primary,,Extraction,
bio_extr_3,Biomass Extraction,Primary,-,Biomass Primary,,Extraction,
bio_extr_4,Biomass Extraction,Primary,-,Biomass Primary,,Extraction,
bio_extr_5,Biomass Extraction,Primary,-,Biomass Primary,,Extraction,
bio_extr_6,Biomass Extraction,Primary,-,Biomass Primary,,Extraction,
bio_extr_chp,"Supply of biomass without net C emissions;  defined here as agricultural wastes, and other crops with cycle of 1 year or less",Primary,-,Biomass Primary,,Solids,
bio_extr_mpen,Slack primary biomass created with new implementation of non commercial biomass,Secondary,-,Exports Secondary,,Land,
bio_hpl,Biomass heating plant,Secondary,Biomass Primary,D_Heat Secondary,yes,Heat,
bio_istig,Advanced biomass power plant- gasified biomass is burned in gas turbine plant - modes with and without net carbon release,Secondary,Biomass Primary,Electricity Secondary,yes,Electricity,Biomass|w/o CCS
bio_istig_ccs,Advanced biomass power plant with carbon capture and storage- gasified biomass is burned in gas turbine plant - modes with and without net carbon release,Secondary,Biomass Primary,Electricity Secondary,yes,Electricity,Biomass|w/ CCS
bio_ppl,Bio powerplant,Secondary,Biomass Primary,Electricity Secondary,yes,Electricity,Biomass|w/o CCS
bio_ppl_co2scr,New coal scrubber for power plants,Secondary,-,Exports Secondary,yes,Solids,
biomass_i,Biomass with C in industry,Useful,Biomass Final,Biomass Useful,yes,Solids,
biomass_nc,Non-commercial biomass with C,Useful,Biomass Final,Biomass Useful,yes,Solids,
biomass_rc,Biomass with C for heating in residential/commercial sector,Useful,Biomass Final,Biomass Useful,,Residential/Commercial,
biomass_t/d,Transmission/Distribution of biomass with C,Useful,Biomass Primary,Biomass Final,,Solids,
c_ppl_co2scr,New coal scrubber for coal power plants,Secondary,-,Exports Secondary,yes,Solids,
cement_CO2,Co2 emissions from cement production,Secondary,-,Exports Secondary,,Industry,
cement_co2scr,cement CO2 scrubber (CCS),Secondary,-,Exports Secondary,yes,Industry,
CF4_TCE,Tetrafluoromethane (CF4) Total Carbon Emissions,Primary,-,Dummy Primary,,Dummy,
cfc_co2scr,co2 scrubber for coal fuel cells (CCS),Secondary,-,Exports Secondary,yes,Solids,
CH4_TCE,Methane total carbon equivalent emissions,Dummy,-,Dummy Primary,,Dummy,
CH4g_TCE,CH4 emissions from animals directly in Total Carbon Equivalent emissions,Dummy,-,Dummy Agriculture Primary ,,Dummy,
CH4n_TCE,CH4 emissions from anaerobic waste decompostion in Total Carbon Equivalent emissions,Dummy,-,Dummy Primary,,Dummy,
CH4o_TCE,"Dummy technology converting CH4 emissions from indutrial and domestic wastewater, non energy biomassburning and other CH4 emissions,  to total carbon eqivalent emissions (TCE)",Dummy,-,Dummy Primary,,Dummy,
CO2_TCE,CO2 total carbon equivalent emissions,Dummy,-,Dummy Primary,,Dummy,
co2_tr_dis,Technology for co2 transportation and disposal,Secondary,-,Exports Secondary,,Other Conversion,
coal_adv,Advanced coal power plant,Secondary,Coal Secondary,Electricity Secondary,yes,Electricity,Coal|w/o CCS
coal_adv_ccs,Advanced coal power plant with carbon capture and storage,Secondary,Coal Secondary,Electricity Secondary,yes,Electricity,Coal|w/ CCS
coal_bal,Link technology to stabilize coal production,Secondary,Coal Primary ,Coal Secondary,,Solids,
coal_exp,Net exports of coal at fixed price of about US$ 42/tce,Exports,Coal Primary ,Coal Exports,,Solids,
coal_extr,"Hard coal extraction, world average grade A",Primary,Coal Resource ,Coal Primary ,,Extraction,
coal_extr_ch4,Describes efforts in CH4-reduction from coal mining,Primary,Coal Resource ,Coal Primary ,yes,Extraction,
coal_gas,Hard coal gasification,Secondary,Coal Secondary,Gas Secondary,yes,Gas,
coal_hpl,Coal heating plant,Secondary,Coal Secondary,D_Heat Secondary,yes,Heat,
coal_i,Coal in industry thermal,Useful,Coal Final ,Industry TH Useful,yes,Industry,
coal_imp,Net imports of coal,Secondary,Coal Imports,Coal Secondary,,Solids,
coal_ppl,Coal power-plant,Secondary,Coal Secondary,Electricity Secondary,yes,Electricity,Coal|w/o CCS
coal_ppl_u,Coal power plant without abatement measures,Secondary,Coal Secondary,Electricity Secondary,yes,Electricity,Coal|w/o CCS
coal_rc,Coal heating in residential/commercial sector,Useful,Coal Final ,RC useful,,Residential/Commercial,
coal_t/d,Transmission/Distribution of coal,Final,Coal Secondary,Coal Final,,Solids,
coal_t/d-in-06%,Transmission/Distribution of coal industry like coal_t/d but imported coal  with 0.6% S content,Final,Coal Secondary,Coal Final,,Solids,
coal_t/d-in-SO2,Transmission/Distribution of coal industry like coal_t/d but processed coal,Final,Coal Secondary,Coal Final,,Solids,
coal_t/d-rc-06%,Transmission/Distribution of coal residential/commercial like coal_t/d but imported coal with 0.6% S content,Final,Coal Secondary,Coal Final,,Solids,
coal_t/d-rc-SO2,Transmission/Distribution of coal like coal_t/d but processed coal,Final,Coal Secondary,Coal Final,,Solids,
coal_trp,Coal-based transport,Useful,Coal Final ,Transport Useful,,Transport,
dom_total,Used in balance equation for domestic energy supply and in the equation for constraining net imports,Secondary,-,Exports Secondary,,Dummy,
dummy_producer,Technology added to produce dummy energy to avoid infeasibility if needed (e.g. when CO2_TCE needs to go negative),Primary,-,Dummy Primary,,Dummy,
elec_exp,Net export of electricity,Exports,Electricity Secondary,Electricity Exports,,Electricity,
elec_i,Electricity in industry thermal,Useful,Electricity Final,Industry TH Useful,yes,Industry,
elec_imp,Net import of electricity,Secondary,Electricity Imports,Electricity Secondary,,Electricity,
