value,node_loc,technology,year_vtg,year_act,mode,node_dest,commodity,level,time,time_dest,unit
,R12_AFR,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_RCPA,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_CHN,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_EEU,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_FSU,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_LAM,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_MEA,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_NAM,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_PAO,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_PAS,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_SAS,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_WEU,energy_bulk_carrier_loil,broadcast,broadcast,M1,R12_GLB,energy_bulk_carrier_capacity,shipped,year,year,Mt-km
,R12_AFR,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_RCPA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_CHN,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_EEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_FSU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_LAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_MEA,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_NAM,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_PAO,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_PAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_SAS,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
,R12_WEU,bunker_global_lightoil,broadcast,broadcast,M1,R12_GLB,lightoil,bunker,year,year,GWa
