region,year,quantity,type,unit
CHN,2015,0.040090949,import,tonnes
FSU,2015,0.048647049,import,tonnes
MEA,2015,1.038630716,import,tonnes
RCPA,2015,1.987466739,import,tonnes
EEU,2015,2.332849083,import,tonnes
PAO,2015,3.11464387,import,tonnes
AFR,2015,3.146577057,import,tonnes
PAS,2015,6.389801973999999,import,tonnes
WEU,2015,10.904276053,import,tonnes
NAM,2015,11.317208383,import,tonnes
SAS,2015,13.231133429,import,tonnes
LAM,2015,13.572039414,import,tonnes
RCPA,2015,0.041194274,export,tonnes
SAS,2015,0.0431523469999999,export,tonnes
AFR,2015,0.170843328,export,tonnes
PAO,2015,0.651182954,export,tonnes
NAM,2015,1.559223155,export,tonnes
PAS,2015,1.568890801,export,tonnes
LAM,2015,1.726970326,export,tonnes
WEU,2015,2.993103208,export,tonnes
EEU,2015,3.634241104,export,tonnes
FSU,2015,13.927422077,export,tonnes
CHN,2015,20.080370553,export,tonnes
MEA,2015,20.653766607,export,tonnes
FSU,2010,0.025430451,import,tonnes
CHN,2010,0.037754491,import,tonnes
MEA,2010,0.6505773419999998,import,tonnes
EEU,2010,1.187122346,import,tonnes
RCPA,2010,1.989698359,import,tonnes
PAO,2010,2.366246042,import,tonnes
AFR,2010,3.036178937,import,tonnes
PAS,2010,5.750862419999999,import,tonnes
NAM,2010,6.970120427,import,tonnes
WEU,2010,9.865374254000002,import,tonnes
SAS,2010,9.964832019,import,tonnes
LAM,2010,11.603620257,import,tonnes
RCPA,2010,0.007290667,export,tonnes
AFR,2010,0.051784164,export,tonnes
SAS,2010,0.1415135629999999,export,tonnes
LAM,2010,0.679941357,export,tonnes
PAO,2010,1.146610627,export,tonnes
PAS,2010,1.333336405000001,export,tonnes
NAM,2010,1.515890557,export,tonnes
WEU,2010,2.491204337,export,tonnes
EEU,2010,4.599019213999999,export,tonnes
CHN,2010,8.41827237,export,tonnes
FSU,2010,15.26463868,export,tonnes
MEA,2010,17.835349099,export,tonnes
FSU,2005,0.008208045,import,tonnes
CHN,2005,0.144874753,import,tonnes
EEU,2005,1.002418364,import,tonnes
RCPA,2005,1.669109766,import,tonnes
AFR,2005,2.068724697,import,tonnes
PAO,2005,2.173348003000001,import,tonnes
MEA,2005,2.258691399,import,tonnes
SAS,2005,3.847824451999999,import,tonnes
PAS,2005,4.300493658,import,tonnes
NAM,2005,7.056432124,import,tonnes
LAM,2005,7.442066721999999,import,tonnes
WEU,2005,9.109408199,import,tonnes
RCPA,2005,0.03820867,export,tonnes
AFR,2005,0.0962021659999999,export,tonnes
SAS,2005,0.3526454029999999,export,tonnes
LAM,2005,0.936173077,export,tonnes
PAO,2005,1.065446872,export,tonnes
PAS,2005,1.214680828,export,tonnes
NAM,2005,1.530053904,export,tonnes
WEU,2005,2.13944887,export,tonnes
CHN,2005,2.209080231,export,tonnes
EEU,2005,6.773978249000001,export,tonnes
MEA,2005,8.773519449,export,tonnes
FSU,2005,16.19914891300001,export,tonnes
