region,year,quantity,type,unit
FSU,2005,0.0007407129999999,import,tonnes
RCPA,2005,0.040004786,import,tonnes
LAM,2005,0.077192259,import,tonnes
AFR,2005,0.087592825,import,tonnes
CHN,2005,0.2014869269999999,import,tonnes
PAO,2005,0.300324295,import,tonnes
MEA,2005,0.5040812789999999,import,tonnes
EEU,2005,0.568015166,import,tonnes
PAS,2005,0.935422467,import,tonnes
SAS,2005,1.392005946,import,tonnes
WEU,2005,3.096630491,import,tonnes
NAM,2005,4.979077401000001,import,tonnes
AFR,2005,8.267399999999999e-05,export,tonnes
CHN,2005,0.000645703,export,tonnes
PAO,2005,0.024958155,export,tonnes
SAS,2005,0.036071147,export,tonnes
WEU,2005,0.143076573,export,tonnes
EEU,2005,0.5231354579999999,export,tonnes
NAM,2005,0.636832754,export,tonnes
PAS,2005,1.296038934,export,tonnes
MEA,2005,1.59256127,export,tonnes
LAM,2005,3.223202768,export,tonnes
FSU,2005,5.237320711,export,tonnes
FSU,2010,0.000152247,import,tonnes
LAM,2010,0.062802907,import,tonnes
AFR,2010,0.082609424,import,tonnes
RCPA,2010,0.097365045,import,tonnes
CHN,2010,0.259825418,import,tonnes
PAO,2010,0.3462584059999999,import,tonnes
EEU,2010,0.6619234820000001,import,tonnes
MEA,2010,0.7711307930000001,import,tonnes
PAS,2010,1.002430039,import,tonnes
SAS,2010,2.026076902,import,tonnes
WEU,2010,2.423936514,import,tonnes
NAM,2010,4.165918461,import,tonnes
CHN,2010,0.001695895,export,tonnes
NAM,2010,0.032279532,export,tonnes
SAS,2010,0.0434210669999999,export,tonnes
WEU,2010,0.138862287,export,tonnes
AFR,2010,0.195415476,export,tonnes
EEU,2010,0.21178479,export,tonnes
PAO,2010,0.602837132,export,tonnes
PAS,2010,1.005676596,export,tonnes
FSU,2010,3.295417817,export,tonnes
MEA,2010,3.361121394,export,tonnes
LAM,2010,3.616628525,export,tonnes
FSU,2015,0.000467636,import,tonnes
RCPA,2015,0.132020086,import,tonnes
EEU,2015,0.21483847,import,tonnes
PAO,2015,0.301331495,import,tonnes
LAM,2015,0.37658627,import,tonnes
CHN,2015,0.398736123,import,tonnes
AFR,2015,0.4077593349999999,import,tonnes
MEA,2015,0.472000807,import,tonnes
PAS,2015,0.8865571969999999,import,tonnes
WEU,2015,2.92490156,import,tonnes
SAS,2015,3.455965019,import,tonnes
NAM,2015,3.761579488,import,tonnes
SAS,2015,0.015044097,export,tonnes
AFR,2015,0.016278884,export,tonnes
CHN,2015,0.0329955029999999,export,tonnes
NAM,2015,0.132293356,export,tonnes
EEU,2015,0.1601802719999999,export,tonnes
WEU,2015,0.178622616,export,tonnes
PAO,2015,0.523903076,export,tonnes
PAS,2015,0.7918858360000001,export,tonnes
FSU,2015,2.753150378,export,tonnes
LAM,2015,3.492273071,export,tonnes
MEA,2015,5.834105542,export,tonnes
RCPA,2015,0.0,export,tonnes
RCPA,2015,0.0,export,tonnes
RCPA,2015,0.0,export,tonnes
CHN,2000,72.509,import,tonnes
FSU,2000,16608.889,import,tonnes
RCPA,2000,65948.994,import,tonnes
AFR,2000,133186.171,import,tonnes
PAO,2000,139648.714,import,tonnes
EEU,2000,524927.3960000001,import,tonnes
MEA,2000,661141.2210000001,import,tonnes
LAM,2000,741179.0299999999,import,tonnes
PAS,2000,1129696.867,import,tonnes
SAS,2000,1143680.974,import,tonnes
NAM,2000,4758488.805,import,tonnes
WEU,2000,5040067.791,import,tonnes
CHN,1995,219.779,import,tonnes
RCPA,1995,11887.513,import,tonnes
FSU,1995,16920.836,import,tonnes
AFR,1995,88809.371,import,tonnes
PAO,1995,92078.024,import,tonnes
LAM,1995,406368.973,import,tonnes
EEU,1995,528948.287,import,tonnes
MEA,1995,600775.986,import,tonnes
PAS,1995,686814.7750000001,import,tonnes
SAS,1995,765721.085,import,tonnes
NAM,1995,2796762.101,import,tonnes
WEU,1995,3982358.98,import,tonnes
