parameter,technology,mode,commodity,level,time,time_origin,value,unit,node_loc,time_dest,emission
input,residual_NH3,M1,NH3,secondary_material,year,year,1.0,-,default,,
output,residual_NH3,M1,NH3,final_material,year,,1.0,-,default,year,
input,biomass_NH3,M1,biomass,primary,year,year,1.590976626297578,-,default,,
input,biomass_NH3,M1,electr,secondary,year,year,0.007870132379356602,-,default,,
input,biomass_NH3,M1,freshwater_supply,water_supply,year,year,2.104529616724739,-,default,,
output,biomass_NH3,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,biomass_NH3,M1,wastewater,wastewater,year,,2.045296167247387,-,default,year,
output,biomass_NH3,M1,d_heat,secondary,year,,0.5368712,-,default,year,
input,biomass_NH3_ccs,M1,biomass,primary,year,year,1.590976626297578,-,default,,
input,biomass_NH3_ccs,M1,electr,secondary,year,year,0.008028681429356602,-,default,,
input,biomass_NH3_ccs,M1,freshwater_supply,water_supply,year,year,2.104529616724739,-,default,,
output,biomass_NH3_ccs,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,biomass_NH3_ccs,M1,wastewater,wastewater,year,,2.045296167247387,-,default,year,
output,biomass_NH3_ccs,M1,d_heat,secondary,year,,0.5368712,-,default,year,
input,coal_NH3,M1,coal,secondary,year,year,1.7086093454141265,-,default,,
input,coal_NH3,M1,electr,secondary,year,year,0.117326297,-,default,,
input,coal_NH3,M1,freshwater_supply,water_supply,year,year,2.104529616724739,-,default,,
output,coal_NH3,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,coal_NH3,M1,wastewater,wastewater,year,,2.045296167247387,-,default,year,
output,coal_NH3,M1,d_heat,secondary,year,,0.041210000000000004,-,default,year,
input,coal_NH3_ccs,M1,coal,secondary,year,year,1.7086043178538752,-,default,,
input,coal_NH3_ccs,M1,electr,secondary,year,year,0.11748484605,-,default,,
input,coal_NH3_ccs,M1,freshwater_supply,water_supply,year,year,2.104529616724739,-,default,,
output,coal_NH3_ccs,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,coal_NH3_ccs,M1,wastewater,wastewater,year,,2.045296167247387,-,default,year,
output,coal_NH3_ccs,M1,d_heat,secondary,year,,0.041210000000000004,-,default,year,
input,electr_NH3,M1,electr,secondary,year,year,1.350837906,-,default,,
input,electr_NH3,M1,freshwater_supply,water_supply,year,year,1.982248520710059,-,default,,
output,electr_NH3,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,electr_NH3,M1,wastewater,wastewater,year,,0.0,-,default,year,
output,electr_NH3,M1,d_heat,secondary,year,,0.20526384,-,default,year,
input,export_NFert,M1,Fertilizer Use|Nitrogen,final_material,year,year,1.0,-,default,,
output,export_NFert,M1,Fertilizer Use|Nitrogen,export,year,,1.0,-,default,year,
input,export_NH3,M1,NH3,secondary_material,year,year,1.0,-,default,,
output,export_NH3,M1,NH3,export,year,,1.0,-,default,year,
input,fueloil_NH3,M1,fueloil,secondary,year,year,1.3311081615648348,-,default,,
input,fueloil_NH3,M1,electr,secondary,year,year,0.022196867,-,default,,
input,fueloil_NH3,M1,freshwater_supply,water_supply,year,year,2.104529616724739,-,default,,
output,fueloil_NH3,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,fueloil_NH3,M1,wastewater,wastewater,year,,2.045296167247387,-,default,year,
output,fueloil_NH3,M1,d_heat,secondary,year,,0.047549999999999995,-,default,year,
input,fueloil_NH3_ccs,M1,fueloil,secondary,year,year,1.3311031340045836,-,default,,
input,fueloil_NH3_ccs,M1,electr,secondary,year,year,0.022355416049999997,-,default,,
input,fueloil_NH3_ccs,M1,freshwater_supply,water_supply,year,year,2.104529616724739,-,default,,
output,fueloil_NH3_ccs,M1,NH3,secondary_material,year,,1.0,-,default,year,
output,fueloil_NH3_ccs,M1,wastewater,wastewater,year,,2.045296167247387,-,default,year,
output,fueloil_NH3_ccs,M1,d_heat,secondary,year,,0.047549999999999995,-,default,year,
input,gas_NH3,M1,gas,secondary,year,year,1.1095517515054314,-,default,,
input,gas_NH3,M1,electr,secondary,year,year,0.009195844899999998,-,default,,
