Unnamed: 0,node,commodity,level,year,time,value,unit
0,R12_AFR,i_feed,useful,2020,year,3.084,GWa
1,R12_AFR,i_feed,useful,2030,year,4.056,GWa
2,R12_AFR,i_feed,useful,2040,year,5.934000000000001,GWa
3,R12_AFR,i_feed,useful,2050,year,10.866,GWa
4,R12_AFR,i_feed,useful,2060,year,22.506,GWa
5,R12_AFR,i_feed,useful,2070,year,41.78700000000001,GWa
6,R12_AFR,i_feed,useful,2080,year,56.98500000000001,GWa
7,R12_AFR,i_feed,useful,2090,year,70.37700000000001,GWa
8,R12_AFR,i_feed,useful,2100,year,85.977,GWa
9,R12_AFR,i_feed,useful,2110,year,105.084,GWa
10,R12_AFR,i_feed,useful,2025,year,3.570000000000001,GWa
11,R12_AFR,i_feed,useful,2035,year,4.995,GWa
12,R12_AFR,i_feed,useful,2045,year,8.400000000000002,GWa
13,R12_AFR,i_feed,useful,2055,year,16.686,GWa
98,R12_RCPA,i_feed,useful,2020,year,6.080700000000004,GWa
99,R12_RCPA,i_feed,useful,2030,year,7.381499999999998,GWa
100,R12_RCPA,i_feed,useful,2040,year,8.168399999999995,GWa
101,R12_RCPA,i_feed,useful,2050,year,8.791199999999993,GWa
102,R12_RCPA,i_feed,useful,2060,year,9.065099999999996,GWa
103,R12_RCPA,i_feed,useful,2070,year,9.064200000000001,GWa
104,R12_RCPA,i_feed,useful,2080,year,9.018,GWa
105,R12_RCPA,i_feed,useful,2090,year,8.852399999999996,GWa
106,R12_RCPA,i_feed,useful,2100,year,8.567100000000007,GWa
107,R12_RCPA,i_feed,useful,2110,year,8.2947,GWa
108,R12_RCPA,i_feed,useful,2025,year,6.731099999999995,GWa
109,R12_RCPA,i_feed,useful,2035,year,7.775100000000002,GWa
110,R12_RCPA,i_feed,useful,2045,year,8.4798,GWa
111,R12_RCPA,i_feed,useful,2055,year,8.928299999999993,GWa
196,R12_EEU,i_feed,useful,2020,year,6.207000000000002,GWa
197,R12_EEU,i_feed,useful,2030,year,6.462000000000001,GWa
198,R12_EEU,i_feed,useful,2040,year,6.738000000000001,GWa
199,R12_EEU,i_feed,useful,2050,year,7.062000000000001,GWa
200,R12_EEU,i_feed,useful,2060,year,7.305000000000001,GWa
201,R12_EEU,i_feed,useful,2070,year,7.479000000000001,GWa
202,R12_EEU,i_feed,useful,2080,year,7.596000000000001,GWa
203,R12_EEU,i_feed,useful,2090,year,7.740000000000001,GWa
204,R12_EEU,i_feed,useful,2100,year,7.890000000000001,GWa
205,R12_EEU,i_feed,useful,2110,year,8.043000000000001,GWa
206,R12_EEU,i_feed,useful,2025,year,6.336000000000001,GWa
207,R12_EEU,i_feed,useful,2035,year,6.600000000000001,GWa
208,R12_EEU,i_feed,useful,2045,year,6.900000000000001,GWa
209,R12_EEU,i_feed,useful,2055,year,7.185,GWa
294,R12_FSU,i_feed,useful,2020,year,38.892,GWa
295,R12_FSU,i_feed,useful,2030,year,39.70200000000001,GWa
296,R12_FSU,i_feed,useful,2040,year,39.117,GWa
297,R12_FSU,i_feed,useful,2050,year,38.151,GWa
298,R12_FSU,i_feed,useful,2060,year,37.13100000000001,GWa
299,R12_FSU,i_feed,useful,2070,year,35.95200000000001,GWa
300,R12_FSU,i_feed,useful,2080,year,34.71600000000001,GWa
301,R12_FSU,i_feed,useful,2090,year,33.462,GWa
302,R12_FSU,i_feed,useful,2100,year,31.75800000000001,GWa
303,R12_FSU,i_feed,useful,2110,year,30.08700000000001,GWa
304,R12_FSU,i_feed,useful,2025,year,39.29700000000001,GWa
305,R12_FSU,i_feed,useful,2035,year,39.41100000000001,GWa
306,R12_FSU,i_feed,useful,2045,year,38.63400000000001,GWa
307,R12_FSU,i_feed,useful,2055,year,37.64100000000001,GWa
412,R12_LAM,i_feed,useful,2020,year,17.166,GWa
413,R12_LAM,i_feed,useful,2030,year,21.69,GWa
414,R12_LAM,i_feed,useful,2040,year,25.38600000000001,GWa
415,R12_LAM,i_feed,useful,2050,year,28.50300000000001,GWa
416,R12_LAM,i_feed,useful,2060,year,31.18500000000001,GWa
417,R12_LAM,i_feed,useful,2070,year,33.75600000000001,GWa
418,R12_LAM,i_feed,useful,2080,year,36.081,GWa
419,R12_LAM,i_feed,useful,2090,year,38.72400000000001,GWa
420,R12_LAM,i_feed,useful,2100,year,40.89300000000001,GWa
421,R12_LAM,i_feed,useful,2110,year,43.13100000000001,GWa
422,R12_LAM,i_feed,useful,2025,year,19.428,GWa
423,R12_LAM,i_feed,useful,2035,year,23.538,GWa
424,R12_LAM,i_feed,useful,2045,year,26.943,GWa
425,R12_LAM,i_feed,useful,2055,year,29.844,GWa
510,R12_MEA,i_feed,useful,2020,year,37.797,GWa
511,R12_MEA,i_feed,useful,2030,year,51.50700000000001,GWa
512,R12_MEA,i_feed,useful,2040,year,62.94900000000001,GWa
513,R12_MEA,i_feed,useful,2050,year,71.73600000000002,GWa
514,R12_MEA,i_feed,useful,2060,year,78.32400000000001,GWa
515,R12_MEA,i_feed,useful,2070,year,83.29800000000002,GWa
516,R12_MEA,i_feed,useful,2080,year,86.46000000000001,GWa
517,R12_MEA,i_feed,useful,2090,year,88.87500000000001,GWa
518,R12_MEA,i_feed,useful,2100,year,90.65400000000001,GWa
519,R12_MEA,i_feed,useful,2110,year,92.46000000000001,GWa
520,R12_MEA,i_feed,useful,2025,year,44.65200000000001,GWa
521,R12_MEA,i_feed,useful,2035,year,57.22800000000001,GWa
522,R12_MEA,i_feed,useful,2045,year,67.34100000000001,GWa
523,R12_MEA,i_feed,useful,2055,year,75.03000000000002,GWa
608,R12_NAM,i_feed,useful,2020,year,54.35100000000001,GWa
609,R12_NAM,i_feed,useful,2030,year,60.05400000000001,GWa
610,R12_NAM,i_feed,useful,2040,year,65.799,GWa
611,R12_NAM,i_feed,useful,2050,year,71.20500000000001,GWa
612,R12_NAM,i_feed,useful,2060,year,76.617,GWa
613,R12_NAM,i_feed,useful,2070,year,81.909,GWa
614,R12_NAM,i_feed,useful,2080,year,86.45400000000002,GWa
615,R12_NAM,i_feed,useful,2090,year,90.07200000000002,GWa
616,R12_NAM,i_feed,useful,2100,year,92.85600000000001,GWa
617,R12_NAM,i_feed,useful,2110,year,95.66400000000002,GWa
618,R12_NAM,i_feed,useful,2025,year,57.20100000000001,GWa
619,R12_NAM,i_feed,useful,2035,year,62.92500000000001,GWa
620,R12_NAM,i_feed,useful,2045,year,68.50200000000001,GWa
621,R12_NAM,i_feed,useful,2055,year,73.91100000000002,GWa
706,R12_PAO,i_feed,useful,2020,year,18.054,GWa
707,R12_PAO,i_feed,useful,2030,year,17.82,GWa
708,R12_PAO,i_feed,useful,2040,year,17.616,GWa
709,R12_PAO,i_feed,useful,2050,year,17.484,GWa
710,R12_PAO,i_feed,useful,2060,year,17.439,GWa
711,R12_PAO,i_feed,useful,2070,year,17.271,GWa
712,R12_PAO,i_feed,useful,2080,year,16.857,GWa
713,R12_PAO,i_feed,useful,2090,year,16.338,GWa
714,R12_PAO,i_feed,useful,2100,year,15.753,GWa
715,R12_PAO,i_feed,useful,2110,year,15.192,GWa
716,R12_PAO,i_feed,useful,2025,year,17.937,GWa
717,R12_PAO,i_feed,useful,2035,year,17.718,GWa
718,R12_PAO,i_feed,useful,2045,year,17.55,GWa
719,R12_PAO,i_feed,useful,2055,year,17.463,GWa
804,R12_PAS,i_feed,useful,2020,year,53.03700000000001,GWa
805,R12_PAS,i_feed,useful,2030,year,66.99000000000001,GWa
806,R12_PAS,i_feed,useful,2040,year,76.08000000000001,GWa
807,R12_PAS,i_feed,useful,2050,year,81.26400000000001,GWa
