parameter,node_loc,technology,year_act,mode,time,value,unit,year_vtg
historical_activity,R12_WEU,NH3_to_N_fertil,2010.0,M1,year,6.494128227233887,t,
historical_new_capacity,R12_WEU,NH3_to_N_fertil,,,,0.4740713605880738,t,2010.0
historical_activity,R12_GLB,trade_NFert,2005.0,M1,year,41.328587,t,
historical_activity,R12_GLB,trade_NFert,2010.0,M1,year,53.484851,t,
historical_activity,R12_GLB,trade_NFert,2015.0,M1,year,67.050361,t,
historical_activity,R12_GLB,trade_NH3,2015.0,M1,year,13.930733,t,
historical_activity,R12_GLB,trade_NH3,2005.0,M1,year,12.713926,t,
historical_activity,R12_GLB,trade_NH3,2010.0,M1,year,12.505141,t,
bound_activity_lo,R12_CHN,coal_NH3,2020.0,M1,year,35.0,t,
bound_activity_up,R12_AFR,export_NFert,2020.0,M1,year,0.222021,t,
bound_activity_up,R12_CHN,export_NFert,2020.0,M1,year,4.502884,t,
bound_activity_up,R12_EEU,export_NFert,2020.0,M1,year,0.979276,t,
bound_activity_up,R12_FSU,export_NFert,2020.0,M1,year,5.562225,t,
bound_activity_up,R12_LAM,export_NFert,2020.0,M1,year,0.093757,t,
bound_activity_up,R12_MEA,export_NFert,2020.0,M1,year,11.823833,t,
bound_activity_up,R12_NAM,export_NFert,2020.0,M1,year,0.357235,t,
bound_activity_up,R12_PAO,export_NFert,2020.0,M1,year,0.085988,t,
bound_activity_up,R12_PAS,export_NFert,2020.0,M1,year,1.403527,t,
bound_activity_up,R12_RCPA,export_NFert,2020.0,M1,year,0.123106,t,
bound_activity_up,R12_SAS,export_NFert,2020.0,M1,year,0.031006,t,
bound_activity_up,R12_WEU,export_NFert,2020.0,M1,year,1.515072,t,
bound_activity_lo,R12_AFR,export_NFert,2020.0,M1,year,0.21091995,t,
bound_activity_lo,R12_CHN,export_NFert,2020.0,M1,year,4.2777398,t,
bound_activity_lo,R12_EEU,export_NFert,2020.0,M1,year,0.9303122,t,
bound_activity_lo,R12_FSU,export_NFert,2020.0,M1,year,5.2841137499999995,t,
bound_activity_lo,R12_LAM,export_NFert,2020.0,M1,year,0.08906914999999999,t,
bound_activity_lo,R12_MEA,export_NFert,2020.0,M1,year,11.23264135,t,
bound_activity_lo,R12_NAM,export_NFert,2020.0,M1,year,0.33937325,t,
bound_activity_lo,R12_PAO,export_NFert,2020.0,M1,year,0.08168859999999999,t,
bound_activity_lo,R12_PAS,export_NFert,2020.0,M1,year,1.3333506499999999,t,
bound_activity_lo,R12_RCPA,export_NFert,2020.0,M1,year,0.11695069999999999,t,
bound_activity_lo,R12_SAS,export_NFert,2020.0,M1,year,0.029455699999999998,t,
bound_activity_lo,R12_WEU,export_NFert,2020.0,M1,year,1.4393183999999999,t,
bound_activity_up,R12_FSU,export_NH3,2020.0,M1,year,3.305324,t,
bound_activity_up,R12_MEA,export_NH3,2020.0,M1,year,2.875784,t,
bound_activity_up,R12_LAM,export_NH3,2020.0,M1,year,2.006687,t,
bound_activity_up,R12_PAS,export_NH3,2020.0,M1,year,0.792834,t,
bound_activity_up,R12_NAM,export_NH3,2020.0,M1,year,0.337627,t,
bound_activity_up,R12_WEU,export_NH3,2020.0,M1,year,0.257643,t,
bound_activity_up,R12_PAO,export_NH3,2020.0,M1,year,0.128081,t,
bound_activity_up,R12_EEU,export_NH3,2020.0,M1,year,0.066914,t,
