Model,Scenario,Region,Variable,Unit,Note,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100,Description,Source
MESSAGEix-GLOBIOM_1.0,,WEU,Lifetime|Ammonia|Gas,year,,,15.0,,,,,,,,,,,,,,"50 MW biomass gasification plant, economic lifetime",
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Gas|Mode1|Gas,GJ/tNH3,,,34.71,,,,,,,,,,,,,,average efficiency of gas-based fertilizer production in Western Europe,"IEA (2007), Table 4.15, https://www.iea.org/publications/freepublications/publication/tracking_emissions.pdf"
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Gas|Mode1|Electricity,GJ/tNH3,,,0.29,,,,,,,,,,,,,,best practice energy use,http://ietd.iipnetwork.org/content/ammonia#benchmarks
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Gas|Mode1|Water,t/tNH3,,,2.1045296167247387,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Gas|Mode1|Ammonia,tNH3,,,1.0,,,,,,,,,,,,,,,
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Gas|Mode1|Wastewater,t/tNH3,,,2.0452961672473866,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Gas|Mode1|Heat,GJ/tNH3,,,3.87,,,,,,,,,,,,,,best practice energy use,http://ietd.iipnetwork.org/content/ammonia#benchmarks
MESSAGEix-GLOBIOM_1.0,,WEU,Emission Factor|Ammonia|Gas|Mode1|CO2,tCO2/tNH3,,,1.9437600000000002,,,,,,,,,,,,,,carbon emissions calculated from feedstock,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,Capacity Factor|Ammonia|Gas|Mode1,-,,,0.91324200913242,,,,,,,,,,,,,,8000 hours per year,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Capital Cost|Ammonia|Coal,USD2005/tNH3/yr,China only,,2917.565864890021,,,,,,,,,,,,,,"50 MW biomass gasification plant, original data provided in 2011 prices corrected with World Bank GDP deflator for USA to 2005 USD (https://data.worldbank.org/indicator/NY.GDP.DEFL.ZS.AD?locations=US)",
MESSAGEix-GLOBIOM_1.0,,WEU,OM Cost|Fixed|Ammonia|Coal,USD2005/(tNH3/yr)/yr,,,116.70263459560086,,,,,,,,,,,,,,4% of capital costs,own calculation
MESSAGEix-GLOBIOM_1.0,,WEU,OM Cost|Variable|Ammonia|Coal,USD2005/tNH3,,,0.0,,,,,,,,,,,,,,,
MESSAGEix-GLOBIOM_1.0,,WEU,Lifetime|Ammonia|Coal,year,,,15.0,,,,,,,,,,,,,,"50 MW biomass gasification plant, economic lifetime",
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Coal|Mode1|Coal,GJ/tNH3,,,50.3,,,,,,,,,,,,,,average efficiency of coal-based fertilizer production in China,"IEA (2007), Table 4.15, https://www.iea.org/publications/freepublications/publication/tracking_emissions.pdf"
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Coal|Mode1|Electricity,GJ/tNH3,,,3.7,,,,,,,,,,,,,,best practice energy use,http://ietd.iipnetwork.org/content/ammonia#benchmarks
MESSAGEix-GLOBIOM_1.0,,WEU,Input|Ammonia|Coal|Mode1|Water,t/tNH3,,,2.1045296167247387,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Coal|Mode1|Ammonia,tNH3,,,1.0,,,,,,,,,,,,,,,
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Coal|Mode1|Wastewater,t/tNH3,,,2.0452961672473866,,,,,,,,,,,,,,50 MW biomass gasification plant,"Tuna et al. (2013), https://doi.org/10.1002/ep.11886"
MESSAGEix-GLOBIOM_1.0,,WEU,Output|Ammonia|Coal|Mode1|Heat,GJ/tNH3,,,1.3,,,,,,,,,,,,,,best practice energy use,http://ietd.iipnetwork.org/content/ammonia#benchmarks
