Region,gas_pct,coal_pct,oil_pct
R12_WEU,90,0,10
R12_NAM,100,0,0
R12_FSU,100,0,0
R12_EEU,95,0,5
R12_RCPA,24,75,1
R12_CHN,24,75,1
R12_SAS,80,0,20
R12_PAS,100,0,0
R12_LAM,100,0,0
R12_AFR,100,0,0
R12_MEA,100,0,0
R12_PAO,100,0,0
R12_GLB,72.4,22.4,4.3
Region,gas_pct,coal_pct,oil_pct
R12_WEU,0.9,0,0.1
R12_NAM,1,0,0
R12_FSU,1,0,0
R12_EEU,0.95,0,0.05
R12_RCPA,0.24,0.75,0.01
R12_CHN,0.24,0.75,0.01
R12_SAS,0.8,0,0.2
R12_PAS,1,0,0
R12_LAM,1,0,0
R12_AFR,1,0,0
R12_MEA,1,0,0
R12_PAO,1,0,0
R12_GLB,0.7240000000000001,0.22399999999999998,0.043
