model,scenario,node,variable,unit,sensitivity,output_2020,output_2025,output_2030,output_2035,output_2040,output_2045,output_2050,output_2055,output_2060,output_2065,output_2070,output_2075,output_2080,output_2085,output_2090,output_2095,output_2100,output_2110
GLOMIS,CircEular-A,AFR,Infrastructure|Bridges|Area,bn m2/yr,high,0.036841597,0.044769291,0.05138132,0.062378924,0.075171061,0.088614628,0.10958357,0.14110911,0.17885713,0.17885713,0.17885713,0.17885713,0.17885713,0.17885713,0.17885713,0.17885713,0.17885713,0.17885713
GLOMIS,CircEular-A,AFR,Infrastructure|Buildings|Area,bn m2/yr,high,0.003290078,0.003998048,0.004588525,0.005570648,0.006713029,0.007913584,0.009786182,0.012601517,0.015972544,0.015972544,0.015972544,0.015972544,0.015972544,0.015972544,0.015972544,0.015972544,0.015972544,0.015972544
GLOMIS,CircEular-A,AFR,Infrastructure|Charging stations|Area,bn m2/yr,high,1.19E-07,1.45E-07,1.67E-07,2.02E-07,2.44E-07,2.87E-07,3.55E-07,4.58E-07,5.80E-07,5.80E-07,5.80E-07,5.80E-07,5.80E-07,5.80E-07,5.80E-07,5.80E-07,5.80E-07,5.80E-07
GLOMIS,CircEular-A,AFR,Infrastructure|Fuel stations|Area,bn m2/yr,high,0.006765547,0.00822138,0.009435605,0.011455192,0.013804325,0.016273083,0.020123797,0.025913108,0.032845113,0.032845113,0.032845113,0.032845113,0.032845113,0.032845113,0.032845113,0.032845113,0.032845113,0.032845113
GLOMIS,CircEular-A,AFR,Infrastructure|Parking|Area,bn m2/yr,high,0.076428391,0.092874512,0.10659125,0.12940593,0.15594339,0.18383223,0.22733261,0.29273275,0.37104151,0.37104151,0.37104151,0.37104151,0.37104151,0.37104151,0.37104151,0.37104151,0.37104151,0.37104151
GLOMIS,CircEular-A,AFR,Infrastructure|Rail|Area,bn m2/yr,high,0.76701915,0.932069,1.0697273,1.2986906,1.5650151,1.8449013,2.281462,2.937804,3.7236946,3.7236946,3.7236946,3.7236946,3.7236946,3.7236946,3.7236946,3.7236946,3.7236946,3.7236946
GLOMIS,CircEular-A,AFR,Infrastructure|Roads|Area,bn m2/yr,high,38.070324,46.262428,53.094978,64.459373,77.678146,91.570068,113.23837,145.81534,184.82233,184.82233,184.82233,184.82233,184.82233,184.82233,184.82233,184.82233,184.82233,184.82233
GLOMIS,CircEular-A,AFR,Infrastructure|Runways|Area,bn m2/yr,high,0.021315292,0.025901984,0.029727479,0.036090322,0.043491416,0.051269401,0.063401319,0.081640914,0.10348063,0.10348063,0.10348063,0.10348063,0.10348063,0.10348063,0.10348063,0.10348063,0.10348063,0.10348063
GLOMIS,CircEular-A,AFR,Infrastructure|Tunnels|Area,bn m2/yr,high,0.00382689,0.004650373,0.005337192,0.006479559,0.007808331,0.00920477,0.011382901,0.01465759,0.018578636,0.018578636,0.018578636,0.018578636,0.018578636,0.018578636,0.018578636,0.018578636,0.018578636,0.018578636
GLOMIS,CircEular-A,CHN,Infrastructure|Bridges|Area,bn m2/yr,high,1.8563676,2.2723894,2.5534971,2.7651646,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397,2.779397
GLOMIS,CircEular-A,CHN,Infrastructure|Buildings|Area,bn m2/yr,high,0.040448833,0.049513634,0.055638753,0.060250822,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942,0.060560942
GLOMIS,CircEular-A,CHN,Infrastructure|Charging stations|Area,bn m2/yr,high,8.71E-07,1.07E-06,1.20E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06,1.30E-06
GLOMIS,CircEular-A,CHN,Infrastructure|Fuel stations|Area,bn m2/yr,high,0.017828083,0.021823451,0.024523135,0.026555937,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621,0.026692621
GLOMIS,CircEular-A,CHN,Infrastructure|Parking|Area,bn m2/yr,high,0.20702997,0.25342649,0.28477681,0.30838284,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011,0.30997011
GLOMIS,CircEular-A,CHN,Infrastructure|Rail|Area,bn m2/yr,high,1.9375566,2.3717735,2.665175,2.8861003,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552,2.9009552
