node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_AFR,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,227.0,USD/GWa
R12_AFR,LNG_shipped_exp_eeu,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_AFR,LNG_shipped_exp_fsu,broadcast,broadcast,M1,year,620.0,USD/GWa
R12_AFR,LNG_shipped_exp_lam,broadcast,broadcast,M1,year,137.0,USD/GWa
R12_AFR,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_AFR,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,221.0,USD/GWa
R12_AFR,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,306.0,USD/GWa
R12_AFR,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,223.0,USD/GWa
R12_AFR,LNG_shipped_exp_sas,broadcast,broadcast,M1,year,118.0,USD/GWa
R12_AFR,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,151.0,USD/GWa
R12_CHN,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,394.0,USD/GWa
R12_CHN,LNG_shipped_exp_lam,broadcast,broadcast,M1,year,620.0,USD/GWa
R12_CHN,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,558.0,USD/GWa
R12_CHN,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,231.0,USD/GWa
R12_CHN,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,369.0,USD/GWa
R12_CHN,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,620.0,USD/GWa
R12_CHN,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,year,218.0,USD/GWa
R12_CHN,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,620.0,USD/GWa
R12_EEU,LNG_shipped_exp_fsu,broadcast,broadcast,M1,year,620.0,USD/GWa
R12_EEU,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,620.0,USD/GWa
R12_EEU,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,214.0,USD/GWa
R12_FSU,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,244.0,USD/GWa
R12_FSU,LNG_shipped_exp_eeu,broadcast,broadcast,M1,year,175.0,USD/GWa
R12_FSU,LNG_shipped_exp_lam,broadcast,broadcast,M1,year,105.0,USD/GWa
R12_FSU,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,94.0,USD/GWa
R12_FSU,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,203.0,USD/GWa
R12_FSU,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,209.0,USD/GWa
R12_FSU,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,159.0,USD/GWa
R12_FSU,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,year,275.0,USD/GWa
R12_FSU,LNG_shipped_exp_sas,broadcast,broadcast,M1,year,161.0,USD/GWa
R12_FSU,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,211.0,USD/GWa
R12_LAM,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_LAM,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,218.0,USD/GWa
R12_LAM,LNG_shipped_exp_eeu,broadcast,broadcast,M1,year,324.0,USD/GWa
R12_LAM,LNG_shipped_exp_fsu,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_LAM,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_LAM,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,169.0,USD/GWa
R12_LAM,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,211.0,USD/GWa
R12_LAM,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,207.0,USD/GWa
R12_LAM,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,year,104.0,USD/GWa
R12_LAM,LNG_shipped_exp_sas,broadcast,broadcast,M1,year,159.0,USD/GWa
R12_LAM,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,143.0,USD/GWa
R12_MEA,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,197.0,USD/GWa
R12_MEA,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,244.0,USD/GWa
R12_MEA,LNG_shipped_exp_eeu,broadcast,broadcast,M1,year,255.0,USD/GWa
R12_MEA,LNG_shipped_exp_fsu,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_MEA,LNG_shipped_exp_lam,broadcast,broadcast,M1,year,199.0,USD/GWa
R12_MEA,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,165.0,USD/GWa
R12_MEA,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,222.0,USD/GWa
R12_MEA,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,246.0,USD/GWa
R12_MEA,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,year,209.0,USD/GWa
R12_MEA,LNG_shipped_exp_sas,broadcast,broadcast,M1,year,199.0,USD/GWa
R12_MEA,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,177.0,USD/GWa
R12_NAM,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,308.0,USD/GWa
R12_NAM,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,204.0,USD/GWa
R12_NAM,LNG_shipped_exp_eeu,broadcast,broadcast,M1,year,481.0,USD/GWa
R12_NAM,LNG_shipped_exp_fsu,broadcast,broadcast,M1,year,328.0,USD/GWa
R12_NAM,LNG_shipped_exp_lam,broadcast,broadcast,M1,year,226.0,USD/GWa
R12_NAM,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,198.0,USD/GWa
R12_NAM,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,219.0,USD/GWa
R12_NAM,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,235.0,USD/GWa
R12_NAM,LNG_shipped_exp_sas,broadcast,broadcast,M1,year,211.0,USD/GWa
R12_NAM,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,331.0,USD/GWa
R12_PAO,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,310.0,USD/GWa
R12_PAO,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,163.0,USD/GWa
R12_PAO,LNG_shipped_exp_fsu,broadcast,broadcast,M1,year,238.0,USD/GWa
R12_PAO,LNG_shipped_exp_lam,broadcast,broadcast,M1,year,167.0,USD/GWa
R12_PAO,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,137.0,USD/GWa
R12_PAO,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,119.0,USD/GWa
R12_PAO,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,233.0,USD/GWa
R12_PAO,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,year,229.0,USD/GWa
R12_PAO,LNG_shipped_exp_sas,broadcast,broadcast,M1,year,189.0,USD/GWa
R12_PAO,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,376.0,USD/GWa
R12_PAS,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_PAS,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_PAS,LNG_shipped_exp_eeu,broadcast,broadcast,M1,year,219.0,USD/GWa
R12_PAS,LNG_shipped_exp_fsu,broadcast,broadcast,M1,year,252.0,USD/GWa
R12_PAS,LNG_shipped_exp_lam,broadcast,broadcast,M1,year,108.0,USD/GWa
R12_PAS,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,175.0,USD/GWa
R12_PAS,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,138.0,USD/GWa
R12_PAS,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,233.0,USD/GWa
R12_PAS,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,year,143.0,USD/GWa
R12_PAS,LNG_shipped_exp_sas,broadcast,broadcast,M1,year,184.0,USD/GWa
R12_PAS,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,274.0,USD/GWa
R12_RCPA,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,612.0,USD/GWa
R12_RCPA,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,158.0,USD/GWa
R12_RCPA,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,297.0,USD/GWa
R12_SAS,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,301.0,USD/GWa
R12_SAS,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,391.0,USD/GWa
R12_SAS,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,213.0,USD/GWa
R12_SAS,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,351.0,USD/GWa
R12_SAS,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,241.0,USD/GWa
R12_SAS,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,year,159.0,USD/GWa
R12_SAS,LNG_shipped_exp_weu,broadcast,broadcast,M1,year,360.0,USD/GWa
R12_WEU,LNG_shipped_exp_afr,broadcast,broadcast,M1,year,620.0,USD/GWa
R12_WEU,LNG_shipped_exp_chn,broadcast,broadcast,M1,year,254.0,USD/GWa
R12_WEU,LNG_shipped_exp_eeu,broadcast,broadcast,M1,year,197.0,USD/GWa
R12_WEU,LNG_shipped_exp_fsu,broadcast,broadcast,M1,year,503.0,USD/GWa
R12_WEU,LNG_shipped_exp_lam,broadcast,broadcast,M1,year,239.0,USD/GWa
R12_WEU,LNG_shipped_exp_mea,broadcast,broadcast,M1,year,174.0,USD/GWa
R12_WEU,LNG_shipped_exp_nam,broadcast,broadcast,M1,year,178.0,USD/GWa
R12_WEU,LNG_shipped_exp_pao,broadcast,broadcast,M1,year,273.0,USD/GWa
R12_WEU,LNG_shipped_exp_pas,broadcast,broadcast,M1,year,271.0,USD/GWa
R12_WEU,LNG_shipped_exp_rcpa,broadcast,broadcast,M1,year,218.0,USD/GWa
R12_WEU,LNG_shipped_exp_sas,broadcast,broadcast,M1,year,235.0,USD/GWa
