node_loc,technology,year_act,mode,time,value,unit
R12_AFR,biomass_i,1990,M1,year,5.291,-
R12_AFR,biomass_i,2000,M1,year,7.68,-
R12_AFR,biomass_i,2005,M1,year,10.21,-
R12_AFR,biomass_i,2010,M1,year,13.829,-
R12_AFR,biomass_i,2015,M1,year,12.204,-
R12_AFR,biomass_i,2020,M1,year,10.864,-
R12_AFR,biomass_i,2025,M1,year,10.753,-
R12_AFR,coal_i,1990,M1,year,2.347,-
R12_AFR,coal_i,2000,M1,year,3.039,-
R12_AFR,coal_i,2005,M1,year,5.201,-
R12_AFR,coal_i,2010,M1,year,3.712,-
R12_AFR,coal_i,2015,M1,year,3.738,-
R12_AFR,coal_i,2020,M1,year,3.798,-
R12_AFR,coal_i,2025,M1,year,4.132,-
R12_AFR,foil_i,1990,M1,year,1.638,-
R12_AFR,foil_i,2000,M1,year,1.47,-
R12_AFR,foil_i,2005,M1,year,1.567,-
R12_AFR,foil_i,2010,M1,year,1.461,-
R12_AFR,foil_i,2015,M1,year,1.538,-
R12_AFR,foil_i,2020,M1,year,1.08,-
R12_AFR,foil_i,2025,M1,year,1.054,-
R12_AFR,gas_i,1990,M1,year,0.827,-
R12_AFR,gas_i,2000,M1,year,1.084,-
R12_AFR,gas_i,2005,M1,year,2.013,-
R12_AFR,gas_i,2010,M1,year,1.797,-
R12_AFR,gas_i,2015,M1,year,2.502,-
R12_AFR,gas_i,2020,M1,year,2.126,-
R12_AFR,gas_i,2025,M1,year,2.937,-
R12_AFR,loil_i,1990,M1,year,0.54,-
R12_AFR,loil_i,2000,M1,year,0.329,-
R12_AFR,loil_i,2005,M1,year,0.187,-
R12_AFR,loil_i,2010,M1,year,0.249,-
R12_AFR,loil_i,2015,M1,year,0.267,-
R12_AFR,loil_i,2020,M1,year,0.234,-
R12_AFR,loil_i,2025,M1,year,0.271,-
R12_CHN,coal_i,1990,M1,year,68.614,-
R12_CHN,coal_i,2000,M1,year,56.815,-
R12_CHN,coal_i,2005,M1,year,134.602,-
R12_CHN,coal_i,2010,M1,year,172.49,-
R12_CHN,coal_i,2015,M1,year,147.51,-
R12_CHN,coal_i,2020,M1,year,93.827,-
R12_CHN,coal_i,2025,M1,year,45.845,-
R12_CHN,eth_i,2020,M1,year,0.003,-
R12_CHN,eth_i,2025,M1,year,0.0,-
R12_CHN,foil_i,1990,M1,year,4.805,-
R12_CHN,foil_i,2000,M1,year,4.435,-
R12_CHN,foil_i,2005,M1,year,6.437,-
R12_CHN,foil_i,2010,M1,year,5.653,-
R12_CHN,foil_i,2015,M1,year,7.218,-
R12_CHN,foil_i,2020,M1,year,6.993,-
R12_CHN,foil_i,2025,M1,year,5.011,-
R12_CHN,gas_i,1990,M1,year,1.455,-
R12_CHN,gas_i,2000,M1,year,1.979,-
R12_CHN,gas_i,2005,M1,year,5.167,-
R12_CHN,gas_i,2010,M1,year,22.719,-
R12_CHN,gas_i,2015,M1,year,18.131,-
R12_CHN,gas_i,2020,M1,year,53.783,-
R12_CHN,gas_i,2025,M1,year,87.882,-
R12_CHN,heat_i,1990,M1,year,7.231,-
R12_CHN,heat_i,2000,M1,year,12.06,-
R12_CHN,heat_i,2005,M1,year,19.819,-
R12_CHN,heat_i,2010,M1,year,28.95,-
R12_CHN,heat_i,2015,M1,year,37.646,-
R12_CHN,heat_i,2020,M1,year,50.637,-
R12_CHN,heat_i,2025,M1,year,93.333,-
R12_CHN,loil_i,1990,M1,year,0.558,-
R12_CHN,loil_i,2000,M1,year,2.484,-
R12_CHN,loil_i,2005,M1,year,9.499,-
R12_CHN,loil_i,2010,M1,year,11.8,-
R12_CHN,loil_i,2015,M1,year,12.856,-
R12_CHN,loil_i,2020,M1,year,42.68,-
R12_CHN,loil_i,2025,M1,year,62.32,-
R12_EEU,biomass_i,1990,M1,year,0.447,-
R12_EEU,biomass_i,2000,M1,year,1.231,-
R12_EEU,biomass_i,2005,M1,year,1.839,-
R12_EEU,biomass_i,2010,M1,year,2.205,-
R12_EEU,biomass_i,2015,M1,year,2.938,-
R12_EEU,biomass_i,2020,M1,year,3.401,-
R12_EEU,biomass_i,2025,M1,year,3.209,-
R12_EEU,coal_i,1990,M1,year,10.553,-
R12_EEU,coal_i,2000,M1,year,4.71,-
R12_EEU,coal_i,2005,M1,year,3.153,-
R12_EEU,coal_i,2010,M1,year,2.35,-
R12_EEU,coal_i,2015,M1,year,2.157,-
R12_EEU,coal_i,2020,M1,year,2.233,-
R12_EEU,coal_i,2025,M1,year,2.207,-
R12_EEU,eth_i,2010,M1,year,0.0,-
R12_EEU,eth_i,2020,M1,year,0.0,-
R12_EEU,eth_i,2025,M1,year,0.0,-
R12_EEU,foil_i,1990,M1,year,7.411,-
R12_EEU,foil_i,2000,M1,year,1.432,-
R12_EEU,foil_i,2005,M1,year,1.092,-
R12_EEU,foil_i,2010,M1,year,0.523,-
R12_EEU,foil_i,2015,M1,year,0.309,-
R12_EEU,foil_i,2020,M1,year,0.384,-
R12_EEU,foil_i,2025,M1,year,0.402,-
R12_EEU,gas_i,1990,M1,year,19.753,-
R12_EEU,gas_i,2000,M1,year,7.016,-
R12_EEU,gas_i,2005,M1,year,7.402,-
R12_EEU,gas_i,2010,M1,year,6.653,-
R12_EEU,gas_i,2015,M1,year,6.499,-
R12_EEU,gas_i,2020,M1,year,7.118,-
R12_EEU,gas_i,2025,M1,year,7.086,-
R12_EEU,heat_i,1990,M1,year,17.358,-
R12_EEU,heat_i,2000,M1,year,2.731,-
R12_EEU,heat_i,2005,M1,year,2.492,-
R12_EEU,heat_i,2010,M1,year,2.069,-
R12_EEU,heat_i,2015,M1,year,1.989,-
R12_EEU,heat_i,2020,M1,year,1.874,-
R12_EEU,heat_i,2025,M1,year,1.845,-
R12_EEU,loil_i,1990,M1,year,0.604,-
R12_EEU,loil_i,2000,M1,year,0.516,-
R12_EEU,loil_i,2005,M1,year,0.547,-
R12_EEU,loil_i,2010,M1,year,0.55,-
R12_EEU,loil_i,2015,M1,year,0.697,-
R12_EEU,loil_i,2020,M1,year,0.73,-
R12_EEU,loil_i,2025,M1,year,0.717,-
R12_FSU,biomass_i,1990,M1,year,0.0,-
R12_FSU,biomass_i,2000,M1,year,0.212,-
R12_FSU,biomass_i,2005,M1,year,0.258,-
R12_FSU,biomass_i,2010,M1,year,0.14,-
R12_FSU,biomass_i,2015,M1,year,0.178,-
R12_FSU,biomass_i,2020,M1,year,0.304,-
R12_FSU,biomass_i,2025,M1,year,0.358,-
R12_FSU,coal_i,1990,M1,year,25.121,-
R12_FSU,coal_i,2000,M1,year,4.843,-
