R12,Year,MESSAGEix,Flow,Statistical Yearbook
R12_AFR,2005,10.530725687,Export,
R12_AFR,2005,7.052503957,Import,
R12_AFR,2010,9.083764758000001,Export,
R12_AFR,2010,11.193485437,Import,
R12_AFR,2015,9.704413447,Export,2.21
R12_AFR,2015,16.894123623,Import,7.685
R12_AFR,2020,5.57334244,Export,1.506
R12_AFR,2020,17.523429421,Import,8.096
R12_AFR,2024,,Export,2.412
R12_AFR,2024,,Import,6.922
R12_AFR,2025,6.495466628,Export,
R12_AFR,2025,15.875997756,Import,
R12_CHN,2005,36.510904905,Export,
R12_CHN,2005,37.031545567,Import,
R12_CHN,2010,56.900622328,Export,
R12_CHN,2010,28.033906782,Import,
R12_CHN,2015,125.314186611,Export,111.724
R12_CHN,2015,19.581779548,Import,16.872
R12_CHN,2020,73.13928411100001,Export,53.674
R12_CHN,2020,53.525043883,Import,41.376
R12_CHN,2024,,Export,117.343
R12_CHN,2024,,Import,11.308
R12_CHN,2025,115.386964355,Export,
R12_CHN,2025,28.104001738,Import,
R12_EEU,2005,27.641687197,Export,
R12_EEU,2005,18.881177812,Import,
R12_EEU,2010,28.213572922,Export,
R12_EEU,2010,21.247874367,Import,
R12_EEU,2015,23.608258751,Export,23.959
R12_EEU,2015,27.252355752,Import,31.664
R12_EEU,2020,24.460093533,Export,23.407
R12_EEU,2020,30.347388341,Import,37.901
R12_EEU,2024,,Export,20.416
R12_EEU,2024,,Import,39.234
R12_EEU,2025,24.330814558,Export,
R12_EEU,2025,34.24271857,Import,
R12_FSU,2005,85.94696680999999,Export,
R12_FSU,2005,3.6527822629999998,Import,
R12_FSU,2010,68.366380523,Export,
R12_FSU,2010,6.688453430999999,Import,
R12_FSU,2015,61.245168269000004,Export,51.691
R12_FSU,2015,6.518176966,Import,11.266
R12_FSU,2020,57.138969108,Export,48.221
R12_FSU,2020,6.512115922,Import,13.583
R12_FSU,2024,,Export,18.799
R12_FSU,2024,,Import,8.9
R12_FSU,2025,28.770704859,Export,
R12_FSU,2025,6.739006769,Import,
R12_LAM,2005,24.139145337,Export,
R12_LAM,2005,14.235072566,Import,
R12_LAM,2010,22.065655098,Export,
R12_LAM,2010,26.524416025,Import,
R12_LAM,2015,24.209016385,Export,18.8
R12_LAM,2015,36.330375324,Import,28.439
R12_LAM,2020,23.951376131,Export,16.678
R12_LAM,2020,29.070019238,Import,25.327
R12_LAM,2024,,Export,14.963
R12_LAM,2024,,Import,40.923
R12_LAM,2025,22.579908949,Export,
R12_LAM,2025,37.003759293,Import,
R12_MEA,2005,9.13046012,Export,
R12_MEA,2005,46.969125743,Import,
R12_MEA,2010,8.506663261,Export,
R12_MEA,2010,69.86211024900001,Import,
R12_MEA,2015,8.73383476,Export,6.826
R12_MEA,2015,59.238247295,Import,46.752
R12_MEA,2020,21.296379454,Export,12.912
R12_MEA,2020,44.485116512000005,Import,29.493
R12_MEA,2024,,Export,25.284
R12_MEA,2024,,Import,40.122
R12_MEA,2025,21.390852743,Export,
R12_MEA,2025,34.957386178,Import,
R12_NAM,2005,17.760353332999998,Export,
R12_NAM,2005,39.708385697,Import,
R12_NAM,2010,27.475196482999998,Export,
R12_NAM,2010,32.832637542,Import,
R12_NAM,2015,23.551947536,Export,16.038
R12_NAM,2015,48.455456036,Import,44.506
R12_NAM,2020,23.523075742,Export,11.733
R12_NAM,2020,36.719152643,Import,27.103
R12_NAM,2024,,Export,15.178
R12_NAM,2024,,Import,35.8
R12_NAM,2025,23.729085004,Export,
R12_NAM,2025,42.251343112,Import,
R12_PAO,2005,41.402202227000004,Export,
R12_PAO,2005,11.877698167999998,Import,
R12_PAO,2010,52.779082018,Export,
R12_PAO,2010,11.692923454,Import,
R12_PAO,2015,51.102071986,Export,41.992
R12_PAO,2015,12.729940947,Import,9.18
R12_PAO,2020,43.765511023,Export,32.162
R12_PAO,2020,11.371920858000001,Import,7.334
R12_PAO,2024,,Export,32.411
R12_PAO,2024,,Import,9.74
R12_PAO,2025,41.779390573,Export,
R12_PAO,2025,12.571903162,Import,
R12_PAS,2005,22.551224103,Export,
R12_PAS,2005,62.145582637000004,Import,
R12_PAS,2010,29.4205818,Export,
R12_PAS,2010,69.732268208,Import,
R12_PAS,2015,36.431101283,Export,49.182
R12_PAS,2015,71.939466535,Import,77.923
R12_PAS,2020,43.375603988,Export,56.48
R12_PAS,2020,62.960933944,Import,60.537
R12_PAS,2024,,Export,60.659
R12_PAS,2024,,Import,69.606
R12_PAS,2025,46.830253485,Export,
R12_PAS,2025,67.782962834,Import,
R12_RCPA,2005,0.9227826429999999,Export,
R12_RCPA,2005,5.9843619530000005,Import,
R12_RCPA,2010,1.824992534,Export,
R12_RCPA,2010,14.744257927,Import,
R12_RCPA,2015,6.632217146,Export,1.512
R12_RCPA,2015,20.255462306,Import,16.343
R12_RCPA,2020,9.096070223,Export,7.87
R12_RCPA,2020,20.128414482,Import,13.928
R12_RCPA,2024,,Export,13.362
R12_RCPA,2024,,Import,17.211
R12_RCPA,2025,8.898108950000001,Export,
R12_RCPA,2025,18.964211590999998,Import,
R12_SAS,2005,8.463474868,Export,
R12_SAS,2005,19.555761249,Import,
R12_SAS,2010,11.84845544,Export,
R12_SAS,2010,23.616444402,Import,
R12_SAS,2015,10.279109459,Export,7.622
R12_SAS,2015,42.64740344,Import,21.676
R12_SAS,2020,20.084528715,Export,17.476
R12_SAS,2020,28.503798183,Import,11.132
R12_SAS,2024,,Export,9.777
