technology,parameter,region,mode,commodity,level,units,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
atm_distillation_ref,historical_activity,R12_RCPA,M1,,,Gwa,,,12.971238472499998,25.942476944999996,38.913715417499986,51.88495388999999,61.28397098999999,68.690158515,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_AFR,M1,,,Gwa,,,46.41508286249999,92.83016572499999,139.2452485875,185.66033144999997,188.87265374999998,197.67679635,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_NAM,M1,,,Gwa,,,313.15680866249994,626.3136173249999,939.4704259874998,1252.6272346499998,1252.6272346499998,1252.6272346499998,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_EEU,M1,,,Gwa,,,87.14911424999998,174.29822849999996,261.44734274999996,348.59645699999993,348.59645699999993,348.59645699999993,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_WEU,M1,,,Gwa,,,182.19518748749996,364.39037497499993,546.5855624624999,728.7807499499999,728.7807499499999,728.7807499499999,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_LAM,M1,,,Gwa,,,87.92245109999999,175.84490219999998,263.76735329999997,351.68980439999996,351.68980439999996,351.68980439999996,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_PAS,M1,,,Gwa,,,150.01247703749996,300.0249540749999,450.03743111249986,600.0499081499999,600.0499081499999,607.9022515499998,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_SAS,M1,,,Gwa,,,44.49661259999999,88.99322519999998,133.48983779999998,177.98645039999997,220.28202734999996,243.83905754999992,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_PAO,M1,,,Gwa,,,63.264903074999985,126.52980614999997,189.79470922499993,253.05961229999994,253.05961229999994,253.05961229999994,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_FSU,M1,,,Gwa,,,80.63523847499998,161.27047694999996,241.90571542499993,322.5409538999999,327.65687459999987,342.29078729999986,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_MEA,M1,,,Gwa,,,114.09692909999998,228.19385819999997,342.2907872999999,456.38771639999993,478.93345994999993,491.06889974999984,,,,,,,,,,,,,,
atm_distillation_ref,historical_activity,R12_CHN,M1,,,Gwa,,,116.74114625249997,233.48229250499995,350.2234387574999,466.9645850099999,551.55573891,618.2114266349998,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_CHN,M1,,,GW,,,25.942476944999992,25.942476944999992,25.942476944999992,25.942476944999992,18.798034200000007,14.812375049999991,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_RCPA,M1,,,GW,,,2.8824974383333326,2.8824974383333326,2.8824974383333326,2.8824974383333326,2.0886704666666676,1.6458194499999992,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_AFR,M1,,,GW,,,10.314462858333332,10.314462858333332,10.314462858333332,10.314462858333332,0.713849399999998,1.956476133333331,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_NAM,M1,,,GW,,,69.59040192499998,69.59040192499998,69.59040192499998,69.59040192499998,0.0,0.0,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_EEU,M1,,,GW,,,19.36646983333333,19.36646983333333,19.36646983333333,19.36646983333333,0.0,0.0,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_WEU,M1,,,GW,,,40.48781944166666,40.48781944166666,40.48781944166666,40.48781944166666,0.0,0.0,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_LAM,M1,,,GW,,,19.538322466666664,19.538322466666664,19.538322466666664,19.538322466666664,0.0,0.0,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_PAS,M1,,,GW,,,33.336106008333324,33.336106008333324,33.336106008333324,33.336106008333324,0.0,1.7449652000000015,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_SAS,M1,,,GW,,,9.888136133333331,9.888136133333331,9.888136133333331,9.888136133333331,9.399017099999998,5.234895599999993,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_PAO,M1,,,GW,,,14.058867349999996,14.058867349999996,14.058867349999996,14.058867349999996,0.0,0.0,,,,,,,,,,,,,,
atm_distillation_ref,historical_new_capacity,R12_FSU,M1,,,GW,,,17.91894188333333,17.91894188333333,17.91894188333333,17.91894188333333,1.1368712666666625,3.2519806000000018,,,,,,,,,,,,,,
