node_loc,technology,year_vtg,year_act,mode,time,value,unit
R12_AFR,loil_shipped_exp_rcpa,broadcast,broadcast,M1,year,41.0,USD/GWa
R12_AFR,loil_shipped_exp_chn,broadcast,broadcast,M1,year,46.0,USD/GWa
R12_AFR,loil_shipped_exp_eeu,broadcast,broadcast,M1,year,57.0,USD/GWa
R12_AFR,loil_shipped_exp_fsu,broadcast,broadcast,M1,year,163.0,USD/GWa
R12_AFR,loil_shipped_exp_lam,broadcast,broadcast,M1,year,51.0,USD/GWa
R12_AFR,loil_shipped_exp_mea,broadcast,broadcast,M1,year,4.0,USD/GWa
R12_AFR,loil_shipped_exp_nam,broadcast,broadcast,M1,year,44.0,USD/GWa
R12_AFR,loil_shipped_exp_pao,broadcast,broadcast,M1,year,44.0,USD/GWa
R12_AFR,loil_shipped_exp_pas,broadcast,broadcast,M1,year,29.0,USD/GWa
R12_AFR,loil_shipped_exp_sas,broadcast,broadcast,M1,year,45.0,USD/GWa
R12_AFR,loil_shipped_exp_weu,broadcast,broadcast,M1,year,60.0,USD/GWa
R12_RCPA,loil_shipped_exp_afr,broadcast,broadcast,M1,year,59.0,USD/GWa
R12_RCPA,loil_shipped_exp_chn,broadcast,broadcast,M1,year,93.0,USD/GWa
R12_RCPA,loil_shipped_exp_eeu,broadcast,broadcast,M1,year,68.0,USD/GWa
R12_RCPA,loil_shipped_exp_fsu,broadcast,broadcast,M1,year,72.0,USD/GWa
R12_RCPA,loil_shipped_exp_lam,broadcast,broadcast,M1,year,61.0,USD/GWa
R12_RCPA,loil_shipped_exp_mea,broadcast,broadcast,M1,year,56.0,USD/GWa
R12_RCPA,loil_shipped_exp_nam,broadcast,broadcast,M1,year,84.0,USD/GWa
R12_RCPA,loil_shipped_exp_pao,broadcast,broadcast,M1,year,171.0,USD/GWa
R12_RCPA,loil_shipped_exp_pas,broadcast,broadcast,M1,year,48.0,USD/GWa
R12_RCPA,loil_shipped_exp_sas,broadcast,broadcast,M1,year,61.0,USD/GWa
R12_RCPA,loil_shipped_exp_weu,broadcast,broadcast,M1,year,61.0,USD/GWa
R12_CHN,loil_shipped_exp_afr,broadcast,broadcast,M1,year,55.0,USD/GWa
R12_CHN,loil_shipped_exp_rcpa,broadcast,broadcast,M1,year,57.0,USD/GWa
R12_CHN,loil_shipped_exp_eeu,broadcast,broadcast,M1,year,80.0,USD/GWa
R12_CHN,loil_shipped_exp_fsu,broadcast,broadcast,M1,year,108.0,USD/GWa
R12_CHN,loil_shipped_exp_lam,broadcast,broadcast,M1,year,45.0,USD/GWa
R12_CHN,loil_shipped_exp_mea,broadcast,broadcast,M1,year,79.0,USD/GWa
R12_CHN,loil_shipped_exp_nam,broadcast,broadcast,M1,year,44.0,USD/GWa
R12_CHN,loil_shipped_exp_pao,broadcast,broadcast,M1,year,49.0,USD/GWa
R12_CHN,loil_shipped_exp_pas,broadcast,broadcast,M1,year,56.0,USD/GWa
R12_CHN,loil_shipped_exp_sas,broadcast,broadcast,M1,year,55.0,USD/GWa
R12_CHN,loil_shipped_exp_weu,broadcast,broadcast,M1,year,72.0,USD/GWa
R12_EEU,loil_shipped_exp_afr,broadcast,broadcast,M1,year,95.0,USD/GWa
R12_EEU,loil_shipped_exp_rcpa,broadcast,broadcast,M1,year,135.0,USD/GWa
R12_EEU,loil_shipped_exp_chn,broadcast,broadcast,M1,year,73.0,USD/GWa
R12_EEU,loil_shipped_exp_fsu,broadcast,broadcast,M1,year,68.0,USD/GWa
R12_EEU,loil_shipped_exp_lam,broadcast,broadcast,M1,year,70.0,USD/GWa
R12_EEU,loil_shipped_exp_mea,broadcast,broadcast,M1,year,61.0,USD/GWa
R12_EEU,loil_shipped_exp_nam,broadcast,broadcast,M1,year,51.0,USD/GWa
R12_EEU,loil_shipped_exp_pao,broadcast,broadcast,M1,year,49.0,USD/GWa
R12_EEU,loil_shipped_exp_pas,broadcast,broadcast,M1,year,46.0,USD/GWa
R12_EEU,loil_shipped_exp_sas,broadcast,broadcast,M1,year,68.0,USD/GWa
R12_EEU,loil_shipped_exp_weu,broadcast,broadcast,M1,year,60.0,USD/GWa
R12_FSU,loil_shipped_exp_afr,broadcast,broadcast,M1,year,65.0,USD/GWa
R12_FSU,loil_shipped_exp_rcpa,broadcast,broadcast,M1,year,54.0,USD/GWa
R12_FSU,loil_shipped_exp_chn,broadcast,broadcast,M1,year,39.0,USD/GWa
R12_FSU,loil_shipped_exp_eeu,broadcast,broadcast,M1,year,49.0,USD/GWa
R12_FSU,loil_shipped_exp_lam,broadcast,broadcast,M1,year,52.0,USD/GWa
R12_FSU,loil_shipped_exp_mea,broadcast,broadcast,M1,year,51.0,USD/GWa
R12_FSU,loil_shipped_exp_nam,broadcast,broadcast,M1,year,55.0,USD/GWa
R12_FSU,loil_shipped_exp_pao,broadcast,broadcast,M1,year,41.0,USD/GWa
R12_FSU,loil_shipped_exp_pas,broadcast,broadcast,M1,year,42.0,USD/GWa
R12_FSU,loil_shipped_exp_sas,broadcast,broadcast,M1,year,38.0,USD/GWa
R12_FSU,loil_shipped_exp_weu,broadcast,broadcast,M1,year,47.0,USD/GWa
R12_LAM,loil_shipped_exp_afr,broadcast,broadcast,M1,year,57.0,USD/GWa
R12_LAM,loil_shipped_exp_rcpa,broadcast,broadcast,M1,year,41.0,USD/GWa
R12_LAM,loil_shipped_exp_chn,broadcast,broadcast,M1,year,47.0,USD/GWa
