node,technology,year_act,mode,time,type_addon,value,unit
R12_LAM,h2_elec_alk,2035,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2035,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2035,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2035,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2035,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2035,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2035,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2035,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2040,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2045,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2050,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2055,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2060,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2070,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2080,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2090,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2100,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2110,feedstock,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2020,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2025,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2030,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2035,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2040,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2045,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2050,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2055,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2060,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2070,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2080,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAO,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_PAS,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_SAS,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_WEU,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_CHN,h2_elec_alk,2090,fuel,year,methanol_synthesis_addon,1.0,-
R12_AFR,h2_elec_alk,2100,fuel,year,methanol_synthesis_addon,1.0,-
R12_RCPA,h2_elec_alk,2100,fuel,year,methanol_synthesis_addon,1.0,-
R12_EEU,h2_elec_alk,2100,fuel,year,methanol_synthesis_addon,1.0,-
R12_FSU,h2_elec_alk,2100,fuel,year,methanol_synthesis_addon,1.0,-
R12_LAM,h2_elec_alk,2100,fuel,year,methanol_synthesis_addon,1.0,-
R12_MEA,h2_elec_alk,2100,fuel,year,methanol_synthesis_addon,1.0,-
R12_NAM,h2_elec_alk,2100,fuel,year,methanol_synthesis_addon,1.0,-
