node_loc,technology,year_vtg,year_act,value,unit
R12_AFR,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_AFR,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_AFR,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_EEU,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_EEU,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_EEU,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_FSU,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_FSU,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_FSU,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_LAM,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_LAM,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_LAM,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_MEA,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_MEA,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_MEA,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_NAM,h2_elec_alk,2010,2010,44.8,USD/kWa
R12_NAM,h2_elec_alk,2010,2015,44.8,USD/kWa
R12_NAM,h2_elec_alk,2015,2015,44.8,USD/kWa
R12_PAO,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_PAO,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_PAO,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_PAS,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_PAS,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_PAS,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_SAS,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_SAS,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_SAS,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_WEU,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_WEU,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_WEU,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_CHN,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_CHN,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_CHN,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_RCPA,h2_elec_alk,2010,2010,17.0,USD/kWa
R12_RCPA,h2_elec_alk,2010,2015,17.0,USD/kWa
R12_RCPA,h2_elec_alk,2015,2015,17.0,USD/kWa
R12_AFR,h2_elec_alk,2010,2020,35.04615384615384,USD/kWa
R12_AFR,h2_elec_alk,2015,2020,35.04615384615384,USD/kWa
R12_AFR,h2_elec_alk,2020,2020,32.800000000000004,USD/kWa
R12_AFR,h2_elec_alk,2010,2025,35.04615384615384,USD/kWa
R12_AFR,h2_elec_alk,2015,2025,35.04615384615384,USD/kWa
R12_AFR,h2_elec_alk,2020,2025,32.800000000000004,USD/kWa
R12_AFR,h2_elec_alk,2025,2025,32.800000000000004,USD/kWa
R12_AFR,h2_elec_alk,2010,2030,32.081281434295455,USD/kWa
R12_AFR,h2_elec_alk,2015,2030,32.081281434295455,USD/kWa
R12_AFR,h2_elec_alk,2020,2030,28.432158199927606,USD/kWa
R12_AFR,h2_elec_alk,2025,2030,28.432158199927606,USD/kWa
R12_AFR,h2_elec_alk,2030,2030,28.432158199927606,USD/kWa
R12_AFR,h2_elec_alk,2010,2035,29.651960274150277,USD/kWa
R12_AFR,h2_elec_alk,2015,2035,29.651960274150277,USD/kWa
R12_AFR,h2_elec_alk,2020,2035,25.252004712872527,USD/kWa
R12_AFR,h2_elec_alk,2025,2035,25.252004712872527,USD/kWa
R12_AFR,h2_elec_alk,2030,2035,25.252004712872527,USD/kWa
R12_AFR,h2_elec_alk,2035,2035,25.252004712872527,USD/kWa
R12_AFR,h2_elec_alk,2015,2040,27.64302081130548,USD/kWa
R12_AFR,h2_elec_alk,2020,2040,22.92498925673645,USD/kWa
R12_AFR,h2_elec_alk,2025,2040,22.92498925673645,USD/kWa
R12_AFR,h2_elec_alk,2030,2040,22.92498925673645,USD/kWa
