node,type_emission,type_tec,year,lvl,mrg
World,TCE,all,2025,191.1174531180089,0.0
World,TCE,all,2030,243.91968168647298,0.0
World,TCE,all,2035,311.31019246731444,0.0
World,TCE,all,2040,397.3194588643599,0.0
World,TCE,all,2045,507.09149977105983,0.0
World,TCE,all,2050,647.1915316582767,0.0
World,TCE,all,2055,825.9986192615938,0.0
World,TCE,all,2060,1054.2068084140296,0.0
World,TCE,all,2070,1717.1918057378095,0.0
World,TCE,all,2080,2797.124505512571,0.0
World,TCE,all,2090,4556.221077456938,0.0
World,TCE,all,2100,7421.604031479733,0.0
World,TCE,all,2110,12089.010928947138,0.0
