"","reg_no","region","year","consumption","pop","gdp.pcap","cons.pcap","del.t"
"1",1,"Canada (1)","1970",11085,21.71685,17450.8056114366,510.433142928187,-40
"2",1,"Canada (1)","1971",11753,22.04843,18025.7,533.053827415376,-39
"3",1,"Canada (1)","1972",12842,22.3441,18755.83,574.737850260248,-38
"4",1,"Canada (1)","1973",14153,22.61467,19822,625.832700631935,-37
"5",1,"Canada (1)","1974",15458,22.87666,20318.25,675.710527673183,-36
"6",1,"Canada (1)","1975",13178,23.14227,20451.19,569.434199842971,-35
"7",1,"Canada (1)","1976",12570,23.41609,21262.92,536.810372696723,-34
"8",1,"Canada (1)","1977",12828,23.6952,21739.13,541.375468449306,-33
"9",1,"Canada (1)","1978",13524,23.97564,22334.27,564.072533621626,-32
"10",1,"Canada (1)","1979",15525,24.25064,22921.16,640.18928984967,-31
"11",1,"Canada (1)","1980",13306,24.51628,23163.14,542.741394697727,-30
"12",1,"Canada (1)","1981",14118,24.76985,23729.14,569.967117281695,-29
"13",1,"Canada (1)","1982",9418,25.01605,22823.87,376.478300930802,-28
"14",1,"Canada (1)","1983",10771,25.26695,23211.37,426.288095713966,-27
"15",1,"Canada (1)","1984",13089,25.53886,24299.49,512.513087898207,-26
"16",1,"Canada (1)","1985",13183,25.84259,25161.78,510.126887436592,-25
"17",1,"Canada (1)","1986",12080,26.18316,25435.69,461.365243920138,-24
"18",1,"Canada (1)","1987",13013,26.55471,26146.49,490.044892224393,-23
"19",1,"Canada (1)","1988",15091,26.94366,27050.92,560.094656776399,-22
"20",1,"Canada (1)","1989",13904,27.33053,27366.56,508.735103197779,-21
"21",1,"Canada (1)","1990",11222,27.70085,27052.81,405.113922496963,-20
"22",1,"Canada (1)","1991",10688,28.05119,26156.04,381.017703705262,-19
"23",1,"Canada (1)","1992",11160,28.38487,26074.78,393.167204922904,-18
"24",1,"Canada (1)","1993",12714,28.7027,26389.06,442.954843969383,-17
"25",1,"Canada (1)","1994",15324,29.00752,27366.22,528.276805462859,-16
"26",1,"Canada (1)","1995",15047,29.30209,27851.94,513.512858639094,-15
"27",1,"Canada (1)","1996",14555,29.58475,28032.4,491.976440564818,-14
"28",1,"Canada (1)","1997",17722,29.85598,28951.6,593.582927105391,-13
"29",1,"Canada (1)","1998",18780,30.12362,29870.1,623.431048459647,-12
"30",1,"Canada (1)","1999",18488,30.39813,31237.79,608.195306750777,-11
"31",1,"Canada (1)","2000",19800,30.68682,32563.29,645.228146807,-10
"32",1,"Canada (1)","2001",16900,30.99318,32816.54,545.281252198064,-9
"33",1,"Canada (1)","2002",17700,31.31491,33429.25,565.225957858413,-8
"34",1,"Canada (1)","2003",17300,31.64643,33701.3,546.665137268248,-7
"35",1,"Canada (1)","2004",19314,31.97922,34374.57,603.954693078818,-6
"36",1,"Canada (1)","2005",18014,32.30709,35069.09,557.586585483248,-5
"37",1,"Canada (1)","2006",20132,32.62844,35681.66,617.007739260596,-4
"38",1,"Canada (1)","2007",18248,32.9453,36292.62,553.887807972609,-3
"39",1,"Canada (1)","2008",16799,33.25827,36102.59,505.107451469965,-2
"40",1,"Canada (1)","2009",10591,33.57128,34818.05,315.477991902602,-1
"41",1,"Canada (1)","2010",15656,33.88646,35171.96,462.013441356813,0
"42",1,"Canada (1)","2011",15747,34.20387,35899.38,460.386500124109,1
"43",1,"Canada (1)","2012",17305,34.52255,36724.76,501.266563449108,2
"44",2,"USA (2)","1970",127304,210.1166,20233.0173504408,605.873119972434,-40
"45",2,"USA (2)","1971",127663,211.3708,20588.72,603.976518989378,-39
"46",2,"USA (2)","1972",138410,213.279,21545.43,648.962157549501,-38
"47",2,"USA (2)","1973",149595,215.2026,22608.04,695.135653565524,-37
"48",2,"USA (2)","1974",144120,217.1463,22299.5,663.700003177581,-36
"49",2,"USA (2)","1975",116821,219.1142,22060.54,533.151206083403,-35
"50",2,"USA (2)","1976",129953,221.1212,23036.41,587.700320005499,-34
"51",2,"USA (2)","1977",133923,223.1746,23887.94,600.081729730892,-33
"52",2,"USA (2)","1978",146445,225.2625,24995.59,650.108207091726,-32
"53",2,"USA (2)","1979",140906,227.3659,25552.23,619.732334532135,-31
"54",2,"USA (2)","1980",114433,229.4748,25256.33,498.673492688522,-30
"55",2,"USA (2)","1981",128969,231.5823,25658,556.903528464827,-29
"56",2,"USA (2)","1982",84290,233.7049,24922.98,360.668518289518,-28
"57",2,"USA (2)","1983",94484,235.8841,25807.67,400.552644285901,-27
"58",2,"USA (2)","1984",111714,238.1756,27399.11,469.040489453999,-26
"59",2,"USA (2)","1985",105593,240.6182,28234.18,438.840453465282,-25
"60",2,"USA (2)","1986",95286,243.2289,28889.27,391.754433786446,-24
"61",2,"USA (2)","1987",101468,245.994,29519.71,412.481605242404,-23
"62",2,"USA (2)","1988",110698,248.8842,30379.85,444.777129283418,-22
"63",2,"USA (2)","1989",102351,251.8545,31081.96,406.389403405538,-21
"64",2,"USA (2)","1990",103052,254.8715,31284.72,404.329240421153,-20
"65",2,"USA (2)","1991",89600,257.9169,30855.28,347.398716408269,-19
"66",2,"USA (2)","1992",97372,260.9965,31508.4,373.077799893868,-18
"67",2,"USA (2)","1993",104357,264.1288,31972.56,395.098906291173,-17
"68",2,"USA (2)","1994",117471,267.343,32871.2,439.401817141275,-16
"69",2,"USA (2)","1995",112584,270.6544,33292.92,415.969590740073,-15
"70",2,"USA (2)","1996",119433,274.0731,34108.96,435.770602806332,-14
"71",2,"USA (2)","1997",123589,277.5733,35210.62,445.248156072648,-13
"72",2,"USA (2)","1998",134634,281.0898,36237.3,478.971488826702,-12
"73",2,"USA (2)","1999",125143,284.5352,37405.6,439.815530732226,-11
"74",2,"USA (2)","2000",132891,287.8484,38340.24,461.670101345014,-10
"75",2,"USA (2)","2001",114261,291.0017,38212.57,392.647190720879,-9
"76",2,"USA (2)","2002",118226,294.015,38430.96,402.108735948846,-8
"77",2,"USA (2)","2003",103881,296.9338,39013.13,349.845655833051,-7
"78",2,"USA (2)","2004",123835,299.8273,40046.78,413.021095810822,-6
"79",2,"USA (2)","2005",113325,302.7468,40880.21,374.322701346472,-5
"80",2,"USA (2)","2006",128526,305.7028,41647.99,420.427945049898,-4
"81",2,"USA (2)","2007",114050,308.6801,42071.21,369.476360802008,-3
"82",2,"USA (2)","2008",102428,311.6721,41849.97,328.640260068193,-2
"83",2,"USA (2)","2009",62393,314.665,40435.57,198.283889215515,-1
"84",2,"USA (2)","2010",86983,317.6473,41046.07,273.835162458488,0
"85",2,"USA (2)","2011",96344,320.6194,41798.14,300.493357544802,1
"86",2,"USA (2)","2012",102012,323.5832,42499.48,315.257405205215,2
"87",3,"Mexico (3)","1970",4168,50.5959,6910.35116215552,82.3782164167452,-40
"88",3,"Mexico (3)","1971",4051,53.55186,7131.387,75.6462987466729,-39
"89",3,"Mexico (3)","1972",4684,55.23661,7482.806,84.7988317892789,-38
"90",3,"Mexico (3)","1973",5174,56.95376,7827.696,90.8456263467065,-37
"91",3,"Mexico (3)","1974",6112,58.68935,8035.034,104.141552087389,-36
"92",3,"Mexico (3)","1975",6211,60.43023,8251.832,102.779684935834,-35
"93",3,"Mexico (3)","1976",5962,62.17798,8374.157,95.8860355386264,-34
"94",3,"Mexico (3)","1977",6487,63.9267,8421.252,101.475596268852,-33
