,region,year,demand_tot
0,R12_AFR,2020,20.039797280293683
1,R12_AFR,2030,52.60984886888077
2,R12_AFR,2040,103.76875006935163
3,R12_AFR,2050,170.54616780143323
4,R12_AFR,2060,236.5908328255232
5,R12_AFR,2070,284.5276902295362
6,R12_AFR,2080,307.5960349221543
7,R12_AFR,2090,308.6898767675193
8,R12_AFR,2100,294.3450700953177
9,R12_AFR,2110,270.08416105128913
10,R12_AFR,2025,37.73980512825048
11,R12_AFR,2035,81.92055270481804
12,R12_AFR,2045,145.14684407907927
13,R12_AFR,2055,215.56261753174584
14,R12_RCPA,2020,12.083312999611136
15,R12_RCPA,2030,17.386324853186682
16,R12_RCPA,2040,21.976670054237808
17,R12_RCPA,2050,26.28540566670917
18,R12_RCPA,2060,25.92509885472216
19,R12_RCPA,2070,22.767779993970336
20,R12_RCPA,2080,18.862431505407926
21,R12_RCPA,2090,15.200549540336974
22,R12_RCPA,2100,12.178492226796386
23,R12_RCPA,2110,10.608330479944874
24,R12_RCPA,2025,16.393856761408767
25,R12_RCPA,2035,19.23160256246728
26,R12_RCPA,2045,24.55441522352325
27,R12_RCPA,2055,26.574740950715842
28,R12_EEU,2020,56.54775953881597
29,R12_EEU,2030,53.700297068109265
30,R12_EEU,2040,45.3202864976465
31,R12_EEU,2050,35.19391868610258
32,R12_EEU,2060,27.668872094877997
33,R12_EEU,2070,22.333355488545145
34,R12_EEU,2080,18.249804581354486
35,R12_EEU,2090,15.053631298428126
36,R12_EEU,2100,12.477214762821024
37,R12_EEU,2110,10.89734455931019
38,R12_EEU,2025,55.73526918780052
39,R12_EEU,2035,50.175201424139516
40,R12_EEU,2045,40.04718768373967
41,R12_EEU,2055,31.070080681686775
42,R12_FSU,2020,56.5023574692174
43,R12_FSU,2030,59.36820973683082
44,R12_FSU,2040,60.325756801615256
45,R12_FSU,2050,59.897393630762075
46,R12_FSU,2060,56.54931127312622
47,R12_FSU,2070,51.20872631035551
48,R12_FSU,2080,44.87116319307713
49,R12_FSU,2090,38.62160882731177
50,R12_FSU,2100,32.91532905499992
51,R12_FSU,2110,28.920978055483946
52,R12_FSU,2025,59.37780929546167
53,R12_FSU,2035,59.83205248570103
54,R12_FSU,2045,60.42234533336089
55,R12_FSU,2055,58.60311381130512
56,R12_LAM,2020,64.95151987684079
57,R12_LAM,2030,74.62908958351866
58,R12_LAM,2040,98.57925011552885
59,R12_LAM,2050,127.3013310275739
60,R12_LAM,2060,137.80367422603172
61,R12_LAM,2070,132.8536347674674
62,R12_LAM,2080,120.53709047027714
63,R12_LAM,2090,105.77792898649011
64,R12_LAM,2100,91.17712644013234
65,R12_LAM,2110,80.66395964058046
66,R12_LAM,2025,71.79826877520125
67,R12_LAM,2035,84.90312750657488
68,R12_LAM,2045,114.95798374365566
69,R12_LAM,2055,135.18081849645972
70,R12_MEA,2020,54.26703351847662
71,R12_MEA,2030,70.81561701428859
72,R12_MEA,2040,95.23949926646412
73,R12_MEA,2050,122.18283702058979
74,R12_MEA,2060,135.75724574866743
75,R12_MEA,2070,136.34780089591482
76,R12_MEA,2080,128.66446394885122
77,R12_MEA,2090,117.10132710230107
78,R12_MEA,2100,104.22318121932275
79,R12_MEA,2110,92.78150832202832
80,R12_MEA,2025,64.74887623194417
81,R12_MEA,2035,82.54902101080239
82,R12_MEA,2045,110.32087394435814
83,R12_MEA,2055,131.15982575314237
84,R12_NAM,2020,97.76677493520947
85,R12_NAM,2030,88.92906466086464
86,R12_NAM,2040,92.13359513452372
87,R12_NAM,2050,101.7271542680276
88,R12_NAM,2060,104.46918933325234
89,R12_NAM,2070,100.3100792435685
90,R12_NAM,2080,92.20180153827305
91,R12_NAM,2090,82.53842563575694
92,R12_NAM,2100,72.65407850656278
93,R12_NAM,2110,63.582807082108886
94,R12_NAM,2025,92.83513180420982
95,R12_NAM,2035,88.45197210067698
96,R12_NAM,2045,97.3177318510888
97,R12_NAM,2055,104.1497621244959
98,R12_PAO,2020,91.29598801455309
99,R12_PAO,2030,83.79805259772282
100,R12_PAO,2040,68.60959191163855
101,R12_PAO,2050,51.4591993176451
102,R12_PAO,2060,39.44093911955029
103,R12_PAO,2070,31.561503905177787
104,R12_PAO,2080,25.92219987550347
105,R12_PAO,2090,21.445157351733034
106,R12_PAO,2100,17.704806556091565
107,R12_PAO,2110,15.426361928660132
108,R12_PAO,2025,87.9975278293591
109,R12_PAO,2035,77.13908002363122
110,R12_PAO,2045,59.58680780553306
111,R12_PAO,2055,44.77201440243589
112,R12_PAS,2020,65.20925077211507
113,R12_PAS,2030,82.86155533195263
114,R12_PAS,2040,105.15477243014848
115,R12_PAS,2050,126.54967678029809
116,R12_PAS,2060,131.40213500824387
117,R12_PAS,2070,123.87528861481006
118,R12_PAS,2080,110.46569920548389
119,R12_PAS,2090,95.53894167578963
120,R12_PAS,2100,81.12200780667933
121,R12_PAS,2110,71.53138068262786
122,R12_PAS,2025,76.80794781467456
123,R12_PAS,2035,93.5059733901477
124,R12_PAS,2045,117.84829480785388
125,R12_PAS,2055,131.03074421181702
126,R12_SAS,2020,164.2746219360498
127,R12_SAS,2030,287.34418612459353
128,R12_SAS,2040,373.07042898748176
129,R12_SAS,2050,414.5196244919743
130,R12_SAS,2060,424.68222262256995
131,R12_SAS,2070,411.0306893302938
132,R12_SAS,2080,380.40347827303304
133,R12_SAS,2090,339.8215819876058
134,R12_SAS,2100,296.06801149871785
135,R12_SAS,2110,264.4959447216906
136,R12_SAS,2025,246.45610027361792
137,R12_SAS,2035,353.56651872386675
138,R12_SAS,2045,409.0709111566413
139,R12_SAS,2055,427.82603792527703
140,R12_WEU,2020,131.95681373649288
141,R12_WEU,2030,119.36201559184967
142,R12_WEU,2040,119.54778294204897
143,R12_WEU,2050,125.09530187512884
