Exporter,Year,Value,Unit,Source
R12_AFR,2005,10.530725687,Mt,MESSAGEix
R12_AFR,2010,9.083764758000001,Mt,MESSAGEix
R12_AFR,2015,9.704413447,Mt,MESSAGEix
R12_AFR,2020,5.57334244,Mt,MESSAGEix
R12_AFR,2025,6.495466628,Mt,MESSAGEix
R12_CHN,2005,36.510904905,Mt,MESSAGEix
R12_CHN,2010,56.900622328,Mt,MESSAGEix
R12_CHN,2015,125.314186611,Mt,MESSAGEix
R12_CHN,2020,73.13928411100001,Mt,MESSAGEix
R12_CHN,2025,115.386964355,Mt,MESSAGEix
R12_EEU,2005,27.641687197,Mt,MESSAGEix
R12_EEU,2010,28.213572922,Mt,MESSAGEix
R12_EEU,2015,23.608258751,Mt,MESSAGEix
R12_EEU,2020,24.460093533,Mt,MESSAGEix
R12_EEU,2025,24.330814558,Mt,MESSAGEix
R12_FSU,2005,85.94696680999999,Mt,MESSAGEix
R12_FSU,2010,68.366380523,Mt,MESSAGEix
R12_FSU,2015,61.245168269000004,Mt,MESSAGEix
R12_FSU,2020,57.138969108,Mt,MESSAGEix
R12_FSU,2025,28.770704859,Mt,MESSAGEix
R12_LAM,2005,24.139145337,Mt,MESSAGEix
R12_LAM,2010,22.065655098,Mt,MESSAGEix
R12_LAM,2015,24.209016385,Mt,MESSAGEix
R12_LAM,2020,23.951376131,Mt,MESSAGEix
R12_LAM,2025,22.579908949,Mt,MESSAGEix
R12_MEA,2005,9.13046012,Mt,MESSAGEix
R12_MEA,2010,8.506663261,Mt,MESSAGEix
R12_MEA,2015,8.73383476,Mt,MESSAGEix
R12_MEA,2020,21.296379454,Mt,MESSAGEix
R12_MEA,2025,21.390852743,Mt,MESSAGEix
R12_NAM,2005,17.760353332999998,Mt,MESSAGEix
R12_NAM,2010,27.475196482999998,Mt,MESSAGEix
R12_NAM,2015,23.551947536,Mt,MESSAGEix
R12_NAM,2020,23.523075742,Mt,MESSAGEix
R12_NAM,2025,23.729085004,Mt,MESSAGEix
R12_PAO,2005,41.402202227000004,Mt,MESSAGEix
R12_PAO,2010,52.779082018,Mt,MESSAGEix
R12_PAO,2015,51.102071986,Mt,MESSAGEix
R12_PAO,2020,43.765511023,Mt,MESSAGEix
R12_PAO,2025,41.779390573,Mt,MESSAGEix
R12_PAS,2005,22.551224103,Mt,MESSAGEix
R12_PAS,2010,29.4205818,Mt,MESSAGEix
R12_PAS,2015,36.431101283,Mt,MESSAGEix
R12_PAS,2020,43.375603988,Mt,MESSAGEix
R12_PAS,2025,46.830253485,Mt,MESSAGEix
R12_RCPA,2005,0.9227826429999999,Mt,MESSAGEix
R12_RCPA,2010,1.824992534,Mt,MESSAGEix
R12_RCPA,2015,6.632217146,Mt,MESSAGEix
R12_RCPA,2020,9.096070223,Mt,MESSAGEix
R12_RCPA,2025,8.898108950000001,Mt,MESSAGEix
R12_SAS,2005,8.463474868,Mt,MESSAGEix
R12_SAS,2010,11.84845544,Mt,MESSAGEix
R12_SAS,2015,10.279109459,Mt,MESSAGEix
R12_SAS,2020,20.084528715,Mt,MESSAGEix
R12_SAS,2025,14.363282184000001,Mt,MESSAGEix
R12_WEU,2005,57.165182812,Mt,MESSAGEix
R12_WEU,2010,72.426677282,Mt,MESSAGEix
R12_WEU,2015,67.605126411,Mt,MESSAGEix
R12_WEU,2020,65.348600367,Mt,MESSAGEix
R12_WEU,2025,61.36259766,Mt,MESSAGEix
R12_AFR,2015,2.21,Mt,Steel Statistical Yearbook 2025
R12_CHN,2015,8.2,Mt,Steel Statistical Yearbook 2025
R12_EEU,2015,42.165,Mt,Steel Statistical Yearbook 2025
R12_FSU,2015,141.363,Mt,Steel Statistical Yearbook 2025
R12_LAM,2015,32.053,Mt,Steel Statistical Yearbook 2025
R12_MEA,2015,7.939,Mt,Steel Statistical Yearbook 2025
R12_NAM,2015,27.354,Mt,Steel Statistical Yearbook 2025
R12_PAO,2015,-0.039,Mt,Steel Statistical Yearbook 2025
R12_PAS,2015,11.65,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2015,0.774,Mt,Steel Statistical Yearbook 2025
R12_SAS,2015,-2.143,Mt,Steel Statistical Yearbook 2025
R12_WEU,2015,299.91,Mt,Steel Statistical Yearbook 2025
R12_AFR,2016,2.195,Mt,Steel Statistical Yearbook 2025
R12_CHN,2016,14.37,Mt,Steel Statistical Yearbook 2025
R12_EEU,2016,44.635,Mt,Steel Statistical Yearbook 2025
R12_FSU,2016,149.044,Mt,Steel Statistical Yearbook 2025
R12_LAM,2016,32.007,Mt,Steel Statistical Yearbook 2025
R12_MEA,2016,13.869,Mt,Steel Statistical Yearbook 2025
R12_NAM,2016,24.952,Mt,Steel Statistical Yearbook 2025
R12_PAO,2016,0.44,Mt,Steel Statistical Yearbook 2025
R12_PAS,2016,11.678,Mt,Steel Statistical Yearbook 2025
R12_RCPA,2016,1.209,Mt,Steel Statistical Yearbook 2025
R12_SAS,2016,0.0,Mt,Steel Statistical Yearbook 2025
R12_WEU,2016,299.286,Mt,Steel Statistical Yearbook 2025
R12_AFR,2017,2.575,Mt,Steel Statistical Yearbook 2025
R12_CHN,2017,-8.48,Mt,Steel Statistical Yearbook 2025
R12_EEU,2017,47.564,Mt,Steel Statistical Yearbook 2025
