YEAR,EXPORTER,IMPORTER,MESSAGETEC,LEVEL
2010,R12_AFR,R12_WEU,gas_exp_weu,0.0
2015,R12_AFR,R12_WEU,gas_exp_weu,0.0
2020,R12_AFR,R12_WEU,gas_exp_weu,0.0
2025,R12_AFR,R12_WEU,gas_exp_weu,0.0
2030,R12_AFR,R12_WEU,gas_exp_weu,0.0
2035,R12_AFR,R12_WEU,gas_exp_weu,0.0
2040,R12_AFR,R12_WEU,gas_exp_weu,0.0
2045,R12_AFR,R12_WEU,gas_exp_weu,0.0
2050,R12_AFR,R12_WEU,gas_exp_weu,0.0
2055,R12_AFR,R12_WEU,gas_exp_weu,0.0
2060,R12_AFR,R12_WEU,gas_exp_weu,0.0
2070,R12_AFR,R12_WEU,gas_exp_weu,0.0
2080,R12_AFR,R12_WEU,gas_exp_weu,0.0
2090,R12_AFR,R12_WEU,gas_exp_weu,0.0
2100,R12_AFR,R12_WEU,gas_exp_weu,0.0
2110,R12_AFR,R12_WEU,gas_exp_weu,0.0
2010,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2015,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2020,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2025,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2030,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2035,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2040,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2045,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2050,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2055,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2060,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2070,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2080,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2090,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2100,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2110,R12_AFR,R12_EEU,gas_exp_eeu,0.0
2010,R12_LAM,R12_NAM,gas_exp_nam,0.0
2015,R12_LAM,R12_NAM,gas_exp_nam,0.0
2020,R12_LAM,R12_NAM,gas_exp_nam,0.0
2025,R12_LAM,R12_NAM,gas_exp_nam,0.0
2030,R12_LAM,R12_NAM,gas_exp_nam,0.0
2035,R12_LAM,R12_NAM,gas_exp_nam,0.0
2040,R12_LAM,R12_NAM,gas_exp_nam,0.0
2045,R12_LAM,R12_NAM,gas_exp_nam,0.0
2050,R12_LAM,R12_NAM,gas_exp_nam,0.0
2055,R12_LAM,R12_NAM,gas_exp_nam,0.0
2060,R12_LAM,R12_NAM,gas_exp_nam,0.0
2070,R12_LAM,R12_NAM,gas_exp_nam,0.0
2080,R12_LAM,R12_NAM,gas_exp_nam,0.0
2090,R12_LAM,R12_NAM,gas_exp_nam,0.0
2100,R12_LAM,R12_NAM,gas_exp_nam,0.0
2110,R12_LAM,R12_NAM,gas_exp_nam,0.0
2010,R12_MEA,R12_SAS,gas_exp_sas,0.0
2015,R12_MEA,R12_SAS,gas_exp_sas,0.0
2020,R12_MEA,R12_SAS,gas_exp_sas,0.0
2025,R12_MEA,R12_SAS,gas_exp_sas,0.0
2030,R12_MEA,R12_SAS,gas_exp_sas,0.0
2035,R12_MEA,R12_SAS,gas_exp_sas,0.0
2040,R12_MEA,R12_SAS,gas_exp_sas,0.0
2045,R12_MEA,R12_SAS,gas_exp_sas,0.0
2050,R12_MEA,R12_SAS,gas_exp_sas,0.0
2055,R12_MEA,R12_SAS,gas_exp_sas,0.0
2060,R12_MEA,R12_SAS,gas_exp_sas,0.0
2030,R12_MEA,R12_SAS,gas_exp_sas,11.051262500000005
2035,R12_MEA,R12_SAS,gas_exp_sas,11.051262500000005
2040,R12_MEA,R12_SAS,gas_exp_sas,11.051262500000005
2045,R12_MEA,R12_SAS,gas_exp_sas,11.051262500000005
2050,R12_MEA,R12_SAS,gas_exp_sas,11.051262500000005
2055,R12_MEA,R12_SAS,gas_exp_sas,11.051262500000005
2060,R12_MEA,R12_SAS,gas_exp_sas,11.051262500000005
2070,R12_MEA,R12_SAS,gas_exp_sas,5.525631250000003
2035,R12_MEA,R12_SAS,gas_exp_sas,14.104522571097663
2040,R12_MEA,R12_SAS,gas_exp_sas,14.104522571097663
2045,R12_MEA,R12_SAS,gas_exp_sas,14.104522571097663
2050,R12_MEA,R12_SAS,gas_exp_sas,14.104522571097663
2055,R12_MEA,R12_SAS,gas_exp_sas,14.104522571097663
2060,R12_MEA,R12_SAS,gas_exp_sas,14.104522571097663
2070,R12_MEA,R12_SAS,gas_exp_sas,14.104522571097663
2040,R12_MEA,R12_SAS,gas_exp_sas,18.00134210535704
2045,R12_MEA,R12_SAS,gas_exp_sas,18.00134210535704
2050,R12_MEA,R12_SAS,gas_exp_sas,18.00134210535704
2055,R12_MEA,R12_SAS,gas_exp_sas,18.00134210535704
2060,R12_MEA,R12_SAS,gas_exp_sas,18.00134210535704
2070,R12_MEA,R12_SAS,gas_exp_sas,18.00134210535704
2080,R12_MEA,R12_SAS,gas_exp_sas,9.00067105267852
2045,R12_MEA,R12_SAS,gas_exp_sas,22.97478102932213
2050,R12_MEA,R12_SAS,gas_exp_sas,22.97478102932213
2055,R12_MEA,R12_SAS,gas_exp_sas,22.97478102932213
2060,R12_MEA,R12_SAS,gas_exp_sas,22.97478102932213
2070,R12_MEA,R12_SAS,gas_exp_sas,22.97478102932213
2080,R12_MEA,R12_SAS,gas_exp_sas,22.97478102932213
2070,R12_MEA,R12_SAS,gas_exp_sas,0.0
2080,R12_MEA,R12_SAS,gas_exp_sas,0.0
2090,R12_MEA,R12_SAS,gas_exp_sas,0.0
2100,R12_MEA,R12_SAS,gas_exp_sas,0.0
2110,R12_MEA,R12_SAS,gas_exp_sas,0.0
2090,R12_MEA,R12_SAS,gas_exp_sas,3.0943618798756773
2100,R12_MEA,R12_SAS,gas_exp_sas,3.0943618798756773
2010,R12_MEA,R12_WEU,gas_exp_weu,0.0
2015,R12_MEA,R12_WEU,gas_exp_weu,0.0
2020,R12_MEA,R12_WEU,gas_exp_weu,0.0
2025,R12_MEA,R12_WEU,gas_exp_weu,0.0
2030,R12_MEA,R12_WEU,gas_exp_weu,0.0
2035,R12_MEA,R12_WEU,gas_exp_weu,0.0
2040,R12_MEA,R12_WEU,gas_exp_weu,0.0
2045,R12_MEA,R12_WEU,gas_exp_weu,0.0
2050,R12_MEA,R12_WEU,gas_exp_weu,0.0
2055,R12_MEA,R12_WEU,gas_exp_weu,0.0
2060,R12_MEA,R12_WEU,gas_exp_weu,0.0
2030,R12_MEA,R12_WEU,gas_exp_weu,48.187981663749966
2035,R12_MEA,R12_WEU,gas_exp_weu,48.187981663749966
2040,R12_MEA,R12_WEU,gas_exp_weu,48.187981663749966
2045,R12_MEA,R12_WEU,gas_exp_weu,48.187981663749966
2050,R12_MEA,R12_WEU,gas_exp_weu,37.28694162800926
2055,R12_MEA,R12_WEU,gas_exp_weu,19.80316214942878
2060,R12_MEA,R12_WEU,gas_exp_weu,6.2745468734495145
2070,R12_MEA,R12_WEU,gas_exp_weu,0.0
2080,R12_MEA,R12_WEU,gas_exp_weu,0.0
2090,R12_MEA,R12_WEU,gas_exp_weu,0.0
2100,R12_MEA,R12_WEU,gas_exp_weu,0.0
2110,R12_MEA,R12_WEU,gas_exp_weu,0.0
2010,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2015,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2020,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2025,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2030,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2035,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2040,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2045,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2050,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2055,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2060,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2030,R12_MEA,R12_EEU,gas_exp_eeu,24.284260252625003
2035,R12_MEA,R12_EEU,gas_exp_eeu,24.284260252625003
2040,R12_MEA,R12_EEU,gas_exp_eeu,24.284260252625003
2045,R12_MEA,R12_EEU,gas_exp_eeu,24.284260252625003
2050,R12_MEA,R12_EEU,gas_exp_eeu,24.284260252625003
2055,R12_MEA,R12_EEU,gas_exp_eeu,24.284260252625003
2060,R12_MEA,R12_EEU,gas_exp_eeu,24.284260252625003
2070,R12_MEA,R12_EEU,gas_exp_eeu,12.142130126312502
2070,R12_MEA,R12_EEU,gas_exp_eeu,0.0
2040,R12_MEA,R12_EEU,gas_exp_eeu,9.110779589414625
2045,R12_MEA,R12_EEU,gas_exp_eeu,9.110779589414625
