index,IMPORTER,technology,YEAR,LEVEL
4839,R12_AFR,gas_imp,2000,0.0
4840,R12_AFR,gas_imp,2005,0.0
4841,R12_AFR,gas_imp,2010,0.0
4842,R12_AFR,gas_imp,2015,0.0
4843,R12_AFR,gas_imp,2020,0.0
4844,R12_AFR,gas_imp,2025,0.0
4845,R12_AFR,gas_imp,2030,0.0
4846,R12_AFR,gas_imp,2035,0.0
4847,R12_AFR,gas_imp,2040,0.0
4848,R12_AFR,gas_imp,2045,0.0
4849,R12_AFR,gas_imp,2050,0.0
4850,R12_AFR,gas_imp,2055,0.0
4851,R12_AFR,gas_imp,2060,0.0
4852,R12_AFR,gas_imp,2070,0.0
4853,R12_AFR,gas_imp,2080,0.0
4854,R12_AFR,gas_imp,2090,0.0
4855,R12_AFR,gas_imp,2100,0.0
4856,R12_AFR,gas_imp,2110,0.0
36125,R12_EEU,gas_imp,1990,0.0
36126,R12_EEU,gas_imp,1995,0.0
36127,R12_EEU,gas_imp,2000,0.0
36128,R12_EEU,gas_imp,2005,0.0
36129,R12_EEU,gas_imp,2010,0.0
36130,R12_EEU,gas_imp,2015,0.0
36131,R12_EEU,gas_imp,2020,0.0
36132,R12_EEU,gas_imp,2025,0.0
36133,R12_EEU,gas_imp,2030,54.06445150895179
36134,R12_EEU,gas_imp,2035,52.171562349269145
36135,R12_EEU,gas_imp,2040,59.47694585327808
36136,R12_EEU,gas_imp,2045,59.968831970127425
36137,R12_EEU,gas_imp,2050,63.75945652185919
36138,R12_EEU,gas_imp,2055,56.88717791762305
36139,R12_EEU,gas_imp,2060,57.72002136551116
36140,R12_EEU,gas_imp,2070,73.76800221638163
36141,R12_EEU,gas_imp,2080,97.02436746865644
36142,R12_EEU,gas_imp,2090,104.61219876042976
36143,R12_EEU,gas_imp,2100,109.9712867426265
36144,R12_EEU,gas_imp,2110,114.72490773095613
137115,R12_NAM,gas_imp,1995,0.0
137116,R12_NAM,gas_imp,2000,0.0
137117,R12_NAM,gas_imp,2005,0.0
137118,R12_NAM,gas_imp,2010,0.0
137119,R12_NAM,gas_imp,2015,0.0
137120,R12_NAM,gas_imp,2020,0.0
137121,R12_NAM,gas_imp,2025,0.0
137122,R12_NAM,gas_imp,2030,0.0
137123,R12_NAM,gas_imp,2035,0.0
137124,R12_NAM,gas_imp,2040,0.0
137125,R12_NAM,gas_imp,2045,0.0
137126,R12_NAM,gas_imp,2050,0.0
137127,R12_NAM,gas_imp,2055,0.0
137128,R12_NAM,gas_imp,2060,0.0
137129,R12_NAM,gas_imp,2070,0.0
137130,R12_NAM,gas_imp,2080,0.0
137131,R12_NAM,gas_imp,2090,0.0
137132,R12_NAM,gas_imp,2100,0.0
137133,R12_NAM,gas_imp,2110,0.0
168883,R12_SAS,gas_imp,1995,0.0
168884,R12_SAS,gas_imp,2000,0.0
168885,R12_SAS,gas_imp,2005,0.0
168886,R12_SAS,gas_imp,2010,0.0
168887,R12_SAS,gas_imp,2015,0.0
168888,R12_SAS,gas_imp,2020,0.0
168889,R12_SAS,gas_imp,2025,0.0
168890,R12_SAS,gas_imp,2030,133.204964605698
168891,R12_SAS,gas_imp,2035,172.76985598471745
168892,R12_SAS,gas_imp,2040,223.2657973740752
168893,R12_SAS,gas_imp,2045,287.7128363503931
168894,R12_SAS,gas_imp,2050,369.96540395358653
168895,R12_SAS,gas_imp,2055,385.38470204019654
168896,R12_SAS,gas_imp,2060,395.5739063970585
168897,R12_SAS,gas_imp,2070,588.065821414228
168898,R12_SAS,gas_imp,2080,952.6026023824815
168899,R12_SAS,gas_imp,2090,1344.562548900913
168900,R12_SAS,gas_imp,2100,1365.8898996954417
168901,R12_SAS,gas_imp,2110,1360.4312846360292
200699,R12_WEU,gas_imp,1990,0.0
200700,R12_WEU,gas_imp,1995,0.0
200701,R12_WEU,gas_imp,2000,0.0
200702,R12_WEU,gas_imp,2005,0.0
200703,R12_WEU,gas_imp,2010,0.0
200704,R12_WEU,gas_imp,2015,0.0
200705,R12_WEU,gas_imp,2020,0.0
200706,R12_WEU,gas_imp,2025,0.0
200707,R12_WEU,gas_imp,2030,152.0316186775355
200708,R12_WEU,gas_imp,2035,149.56906769794347
200709,R12_WEU,gas_imp,2040,106.68493092431567
200710,R12_WEU,gas_imp,2045,78.58253166171914
200711,R12_WEU,gas_imp,2050,51.75690252032848
200712,R12_WEU,gas_imp,2055,30.999742054275895
200713,R12_WEU,gas_imp,2060,14.938246969015786
200714,R12_WEU,gas_imp,2070,0.0
200715,R12_WEU,gas_imp,2080,0.0
200716,R12_WEU,gas_imp,2090,0.0
200717,R12_WEU,gas_imp,2100,0.0
200718,R12_WEU,gas_imp,2110,0.0
264866,R12_PAO,gas_imp,2010,0.0
264867,R12_PAO,gas_imp,2015,0.0
264868,R12_PAO,gas_imp,2020,0.0
264869,R12_PAO,gas_imp,2025,0.0
264870,R12_PAO,gas_imp,2030,0.0
264871,R12_PAO,gas_imp,2035,0.0
264872,R12_PAO,gas_imp,2040,0.0
264873,R12_PAO,gas_imp,2045,0.0
264874,R12_PAO,gas_imp,2050,0.0
264875,R12_PAO,gas_imp,2055,0.0
264876,R12_PAO,gas_imp,2060,0.0
264877,R12_PAO,gas_imp,2070,0.0
264878,R12_PAO,gas_imp,2080,0.0
264879,R12_PAO,gas_imp,2090,0.0
264880,R12_PAO,gas_imp,2100,0.0
264881,R12_PAO,gas_imp,2110,0.0
328254,R12_CHN,gas_imp,2000,0.0
328255,R12_CHN,gas_imp,2005,0.0
328256,R12_CHN,gas_imp,2010,0.0
328257,R12_CHN,gas_imp,2015,0.0
328258,R12_CHN,gas_imp,2020,0.0
328259,R12_CHN,gas_imp,2025,0.0
328260,R12_CHN,gas_imp,2030,173.89970310547278
328261,R12_CHN,gas_imp,2035,179.0083614097261
328262,R12_CHN,gas_imp,2040,237.81416358610252
328263,R12_CHN,gas_imp,2045,310.92055782499
328264,R12_CHN,gas_imp,2050,402.71325348819323
328265,R12_CHN,gas_imp,2055,507.2262793459978
328266,R12_CHN,gas_imp,2060,655.1763679487382
328267,R12_CHN,gas_imp,2070,852.5844133856356
328268,R12_CHN,gas_imp,2080,1134.921843787166
328269,R12_CHN,gas_imp,2090,1216.7231094658027
328270,R12_CHN,gas_imp,2100,944.2848414257616
328271,R12_CHN,gas_imp,2110,549.3276932939935
359823,R12_RCPA,gas_imp,2000,0.0
359824,R12_RCPA,gas_imp,2005,0.0
359825,R12_RCPA,gas_imp,2010,0.0
359826,R12_RCPA,gas_imp,2015,0.0
359827,R12_RCPA,gas_imp,2020,0.0
359828,R12_RCPA,gas_imp,2025,0.0
359829,R12_RCPA,gas_imp,2030,2.8753695049999988
359830,R12_RCPA,gas_imp,2035,1.52502935404911
359831,R12_RCPA,gas_imp,2040,0.0
359832,R12_RCPA,gas_imp,2045,0.0
359833,R12_RCPA,gas_imp,2050,0.0
359834,R12_RCPA,gas_imp,2055,2.8753695049999988
359835,R12_RCPA,gas_imp,2060,6.90822398063975
359836,R12_RCPA,gas_imp,2070,20.49774616061556
359837,R12_RCPA,gas_imp,2080,47.230393161871625
359838,R12_RCPA,gas_imp,2090,31.6057122516714
359839,R12_RCPA,gas_imp,2100,69.08144373461859
359840,R12_RCPA,gas_imp,2110,61.16844329966334
