index,IMPORTER,technology,YEAR,LEVEL
31157,R12_AFR,gas_imp,2010,0.0
31158,R12_AFR,gas_imp,2015,0.0
31159,R12_AFR,gas_imp,2020,0.0
31160,R12_AFR,gas_imp,2025,0.0
31161,R12_AFR,gas_imp,2030,0.0
31162,R12_AFR,gas_imp,2035,0.0
31163,R12_AFR,gas_imp,2040,0.0
31164,R12_AFR,gas_imp,2045,0.0
31165,R12_AFR,gas_imp,2050,0.0
31166,R12_AFR,gas_imp,2055,0.0
31167,R12_AFR,gas_imp,2060,0.0
31168,R12_AFR,gas_imp,2070,0.0
31169,R12_AFR,gas_imp,2080,0.0
31170,R12_AFR,gas_imp,2090,0.0
31171,R12_AFR,gas_imp,2100,0.0
31172,R12_AFR,gas_imp,2110,0.0
62745,R12_EEU,gas_imp,2010,0.0
62746,R12_EEU,gas_imp,2015,0.0
62747,R12_EEU,gas_imp,2020,0.0
62748,R12_EEU,gas_imp,2025,0.0
62749,R12_EEU,gas_imp,2030,50.9756654748125
62750,R12_EEU,gas_imp,2035,50.9756654748125
62751,R12_EEU,gas_imp,2040,60.08644506422713
62752,R12_EEU,gas_imp,2045,60.08644506422713
62753,R12_EEU,gas_imp,2050,63.14248156116656
62754,R12_EEU,gas_imp,2055,58.3985718241204
62755,R12_EEU,gas_imp,2060,63.14248156116656
62756,R12_EEU,gas_imp,2070,73.39787413177268
62757,R12_EEU,gas_imp,2080,91.14220628190184
62758,R12_EEU,gas_imp,2090,100.91250620594117
62759,R12_EEU,gas_imp,2100,99.38448795747144
62760,R12_EEU,gas_imp,2110,106.691572399498
164038,R12_NAM,gas_imp,2010,0.0
164039,R12_NAM,gas_imp,2015,0.0
164040,R12_NAM,gas_imp,2020,0.0
164041,R12_NAM,gas_imp,2025,0.0
164042,R12_NAM,gas_imp,2030,0.0
164043,R12_NAM,gas_imp,2035,0.0
164044,R12_NAM,gas_imp,2040,0.0
164045,R12_NAM,gas_imp,2045,0.0
164046,R12_NAM,gas_imp,2050,0.0
164047,R12_NAM,gas_imp,2055,0.0
164048,R12_NAM,gas_imp,2060,0.0
164049,R12_NAM,gas_imp,2070,0.0
164050,R12_NAM,gas_imp,2080,0.0
164051,R12_NAM,gas_imp,2090,0.0
164052,R12_NAM,gas_imp,2100,0.0
164053,R12_NAM,gas_imp,2110,0.0
195605,R12_SAS,gas_imp,2010,0.0
195606,R12_SAS,gas_imp,2015,0.0
195607,R12_SAS,gas_imp,2020,0.0
195608,R12_SAS,gas_imp,2025,0.0
195609,R12_SAS,gas_imp,2030,102.91871558800001
195610,R12_SAS,gas_imp,2035,153.45578414114578
195611,R12_SAS,gas_imp,2040,217.95531295832427
195612,R12_SAS,gas_imp,2045,300.2748723776266
195613,R12_SAS,gas_imp,2050,376.0155188674068
195614,R12_SAS,gas_imp,2055,472.6819095141436
195615,R12_SAS,gas_imp,2060,596.0554416099963
195616,R12_SAS,gas_imp,2070,948.9516581919236
195617,R12_SAS,gas_imp,2080,1504.1522553712157
195618,R12_SAS,gas_imp,2090,2080.963236768384
195619,R12_SAS,gas_imp,2100,2173.2959041248373
195620,R12_SAS,gas_imp,2110,2479.0548407930282
