node_loc,technology,year_vtg,year_act,value,unit,mode,time
R12_AFR,gas_exp_eeu,broadcast,broadcast,,USD/GWa,M1,year
R12_AFR,gas_exp_weu,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_exp_afr,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_exp_sas,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_exp_rcpa,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_exp_chn,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_exp_eeu,broadcast,broadcast,,USD/GWa,M1,year
R12_MEA,gas_exp_weu,broadcast,broadcast,,USD/GWa,M1,year
R12_LAM,gas_exp_nam,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_exp_sas,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_exp_rcpa,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_exp_chn,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_exp_pao,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_exp_eeu,broadcast,broadcast,,USD/GWa,M1,year
R12_FSU,gas_exp_weu,broadcast,broadcast,,USD/GWa,M1,year
R12_EEU,gas_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_WEU,gas_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_AFR,gas_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_SAS,gas_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_RCPA,gas_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_CHN,gas_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_NAM,gas_imp,broadcast,broadcast,,USD/GWa,M1,year
R12_PAO,gas_imp,broadcast,broadcast,,USD/GWa,M1,year
