node_loc,technology,node_rel,year_rel,year_act,mode,commodity,value,unit,relation
R12_AFR,gas_piped_exp_mea,R12_AFR,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_afr
R12_AFR,gas_piped_exp_weu,R12_AFR,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_afr
R12_CHN,gas_piped_exp_fsu,R12_CHN,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_chn
R12_EEU,gas_piped_exp_fsu,R12_EEU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_eeu
R12_EEU,gas_piped_exp_weu,R12_EEU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_eeu
R12_FSU,gas_piped_exp_chn,R12_FSU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_fsu
R12_FSU,gas_piped_exp_eeu,R12_FSU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_fsu
R12_FSU,gas_piped_exp_mea,R12_FSU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_fsu
R12_FSU,gas_piped_exp_pao,R12_FSU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_fsu
R12_FSU,gas_piped_exp_pas,R12_FSU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_fsu
R12_FSU,gas_piped_exp_sas,R12_FSU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_fsu
R12_FSU,gas_piped_exp_weu,R12_FSU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_fsu
R12_LAM,gas_piped_exp_nam,R12_LAM,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_lam
R12_MEA,gas_piped_exp_afr,R12_MEA,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_mea
R12_MEA,gas_piped_exp_eeu,R12_MEA,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_mea
R12_MEA,gas_piped_exp_fsu,R12_MEA,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_mea
R12_MEA,gas_piped_exp_sas,R12_MEA,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_mea
R12_MEA,gas_piped_exp_weu,R12_MEA,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_mea
R12_NAM,gas_piped_exp_lam,R12_NAM,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_nam
R12_PAO,gas_piped_exp_fsu,R12_PAO,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_pao
R12_PAS,gas_piped_exp_chn,R12_PAS,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_pas
R12_PAS,gas_piped_exp_fsu,R12_PAS,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_pas
R12_PAS,gas_piped_exp_pao,R12_PAS,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_pas
R12_SAS,gas_piped_exp_fsu,R12_SAS,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_sas
R12_SAS,gas_piped_exp_mea,R12_SAS,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_sas
R12_SAS,gas_piped_exp_pas,R12_SAS,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_sas
R12_WEU,gas_piped_exp_afr,R12_WEU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_weu
R12_WEU,gas_piped_exp_eeu,R12_WEU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_weu
R12_WEU,gas_piped_exp_fsu,R12_WEU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_weu
R12_WEU,gas_piped_exp_mea,R12_WEU,broadcast,broadcast,M1,gas,1,???,gas_piped_exp_from_weu
