# METADATA: Residential/Commercial shares of the calibrated buildings component in aggregate rc_spec/rc_therm
# Sources: WP - RC demands/Output/ssp_baseline/rc_calibrated_GWa_SSP1.csv, _staging/rc_demands/SSP_SSP1_v6.5_CID__baseline__rc_{spec,therm}.csv
# Formula: frac_resid_X = resid_X_GWa / rc_aggregate_GWa; frac_comm_X = comm_X_GWa / rc_aggregate_GWa
# Scope: cooling = resid_cool_electr + comm_cool_electr; heating = resid_heat_* + comm_heat_* (excludes cooking and hotwater)
# Years: from first nonzero buildings component to 2100
# Generated: 2026-05-04
node,year,frac_resid_cool,frac_comm_cool,frac_resid_heat,frac_comm_heat
R12_AFR,2020,0.007782808780424327,0.0,0.04769824667558288,1.6659159291645623e-05
R12_AFR,2025,0.025671881723488763,0.0,0.04534517763951836,0.0
R12_AFR,2030,0.09549866666496022,0.008659664326623325,0.04809427541920306,0.0001342180834683191
R12_AFR,2040,0.2298555132664042,0.027662325186322903,0.040254438834007186,0.0003119536790286862
R12_AFR,2050,0.31212424959633966,0.04878232298079764,0.02796250536410729,0.00041896104376801854
R12_AFR,2060,0.3093926402558951,0.11691995612003933,0.023499778089225525,0.0005900316432444747
R12_AFR,2070,0.2452082614920298,0.2510756016698857,0.01751339183649581,0.0006990067094659676
R12_AFR,2080,0.19500356144502873,0.34544201451201106,0.013813704472529435,0.0007284811543037793
R12_AFR,2090,0.1617324808366807,0.3829367780890528,0.011843706489286527,0.000717577323608562
R12_AFR,2100,0.1375701797731506,0.36150071706329673,0.009894969973132554,0.0006438283306614951
R12_CHN,2020,0.13612578085205387,0.20890321220167937,0.33087941877040045,0.09652961916155509
R12_CHN,2025,0.16559151333414737,0.15789552339973453,0.30973679752787536,0.06508733569462649
R12_CHN,2030,0.16118562975280765,0.17258087065461594,0.25669595218820374,0.06616363474352656
R12_CHN,2040,0.13260677962972883,0.14195548524608761,0.21736163055050273,0.06219316025235882
R12_CHN,2050,0.12362004150028075,0.13584876779610708,0.19308362526015424,0.05910190779460748
R12_CHN,2060,0.11157011972130344,0.12607516139097766,0.17740158816123114,0.05646032447221394
R12_CHN,2070,0.1008117057715567,0.1101592563449212,0.16234680753293332,0.05285886152004959
R12_CHN,2080,0.09536854838944733,0.09310622316921933,0.1516864501895752,0.04989158540065487
R12_CHN,2090,0.09483317641914428,0.0803460725340711,0.14514852244876641,0.04790630189479941
R12_CHN,2100,0.0941489207355058,0.07000737685655127,0.13712791270872207,0.04659473966636829
R12_EEU,2020,0.004076015347422038,0.08702922309801421,0.6582212415044134,0.17642532573003197
R12_EEU,2025,0.004180308934649179,0.10269209502788149,0.6182486854754695,0.1659113696200354
R12_EEU,2030,0.005137069803664345,0.12662860598492412,0.5531212591940066,0.16239872461827498
R12_EEU,2040,0.006013972501948006,0.12238742597151923,0.5287140744400889,0.14584399479148769
R12_EEU,2050,0.0065497910195226215,0.10255002363995416,0.5315565199656966,0.12108159968637847
R12_EEU,2060,0.006927662474141093,0.09238886568439274,0.5497130098722588,0.09953921556843351
R12_EEU,2070,0.006785835919075902,0.07480966301946637,0.5643958659179478,0.07938794197004652
R12_EEU,2080,0.00646363803765697,0.057432090684249586,0.5811851272596932,0.06102544751258784
R12_EEU,2090,0.006012663928151659,0.040993771497927683,0.6000525913443153,0.04163577677069973
R12_EEU,2100,0.00560694164834299,0.025967013287645533,0.6174834640430887,0.021580189190082633
R12_FSU,2020,0.004644685677480172,0.027102281387776813,0.601402103259504,0.17708529760786787
R12_FSU,2025,0.006765393110542478,0.036954261380407194,0.583603530031895,0.17731610897975203
R12_FSU,2030,0.011222234225765019,0.05493358810538511,0.5356982703414227,0.17277791194348732
R12_FSU,2040,0.01783074605014267,0.0888124921867898,0.4501094126184969,0.17800171746358662
R12_FSU,2050,0.02044575847509311,0.10293199271269379,0.3964754430403239,0.17542828913083472
R12_FSU,2060,0.022334290092692995,0.1106577006152766,0.39266204719333836,0.18284475192590047
R12_FSU,2070,0.02250716400792684,0.10400907102102457,0.4118333652584656,0.19075389458312844
R12_FSU,2080,0.02121603130617032,0.08983253758777082,0.4230202587772681,0.1873840355184868
R12_FSU,2090,0.01913324712608193,0.07394123580876691,0.45784003814804525,0.19373321139267127
R12_FSU,2100,0.016595617025853118,0.058763619268457065,0.4556050183012061,0.18522839994450216
R12_LAM,2020,0.12119926560732798,0.14176863545974258,0.17764782423350106,0.03282131251072512
