node,year,theta
R12_AFR,2025,0.5885426141291012
R12_AFR,2030,0.5885426141291012
R12_AFR,2040,1.1111762970838652
R12_AFR,2050,1.1557228128577726
R12_AFR,2060,0.7008207459872968
R12_AFR,2070,0.4085793076223124
R12_AFR,2080,0.3633533026841644
R12_AFR,2090,0.393017905399649
R12_AFR,2100,0.4462381313898255
R12_CHN,2025,0.6907054607333731
R12_CHN,2030,0.6907054607333731
R12_CHN,2040,0.7097861462797114
R12_CHN,2050,0.7618153427262765
R12_CHN,2060,0.8030602695269817
R12_CHN,2070,0.8459910831944079
R12_CHN,2080,0.8933798706448821
R12_CHN,2090,0.9401740937921584
R12_CHN,2100,0.9781140993679224
R12_EEU,2025,1.001342721681185
R12_EEU,2030,1.001342721681185
R12_EEU,2040,0.7845337602400287
R12_EEU,2050,0.6582468222189902
R12_EEU,2060,0.6310251226034835
R12_EEU,2070,0.609266414362098
R12_EEU,2080,0.6082556057424582
R12_EEU,2090,0.6217664785572297
R12_EEU,2100,0.6340230832859299
R12_FSU,2025,0.5610038051957138
R12_FSU,2030,0.5610038051957138
R12_FSU,2040,0.6908738279634102
R12_FSU,2050,0.7820112864547346
R12_FSU,2060,0.8219058585048841
R12_FSU,2070,0.8481003458030826
R12_FSU,2080,0.8965691677714553
R12_FSU,2090,0.9657774535682104
R12_FSU,2100,1.042371959510255
R12_LAM,2025,0.3638431261820814
R12_LAM,2030,0.3638431261820814
R12_LAM,2040,0.3266710235116146
R12_LAM,2050,0.3611232645969316
R12_LAM,2060,0.3942737851008935
R12_LAM,2070,0.4217691642334005
R12_LAM,2080,0.4479329714304258
R12_LAM,2090,0.4755087676391311
R12_LAM,2100,0.5054889663661345
R12_MEA,2025,1.318181319387573
R12_MEA,2030,1.318181319387573
R12_MEA,2040,1.2281869543279935
R12_MEA,2050,1.1956242037568123
R12_MEA,2060,1.2112412861100246
R12_MEA,2070,1.1931297538601546
R12_MEA,2080,1.182215304410325
R12_MEA,2090,1.223789572903856
R12_MEA,2100,1.2833340965733535
R12_NAM,2025,1.3959043872252324
R12_NAM,2030,1.3959043872252324
R12_NAM,2040,1.520059689216969
R12_NAM,2050,1.6293932135047815
R12_NAM,2060,1.713603883207082
R12_NAM,2070,1.7965202380069587
R12_NAM,2080,1.876431775598772
R12_NAM,2090,1.9571803505752
R12_NAM,2100,2.0385171339010664
R12_PAO,2025,1.138589908280423
R12_PAO,2030,1.138589908280423
R12_PAO,2040,1.261078656690198
R12_PAO,2050,1.333973190679726
R12_PAO,2060,1.3992283338265208
R12_PAO,2070,1.4719337176153802
R12_PAO,2080,1.5538852364032043
R12_PAO,2090,1.656845828098335
R12_PAO,2100,1.7690647511944873
R12_PAS,2025,0.9871208623720298
R12_PAS,2030,0.9871208623720298
R12_PAS,2040,0.6424649009834235
R12_PAS,2050,0.5167931891926684
R12_PAS,2060,0.4916105251254848
R12_PAS,2070,0.5003803374824152
R12_PAS,2080,0.510299026543653
R12_PAS,2090,0.5187338886430408
R12_PAS,2100,0.5392406594540562
R12_RCPA,2025,4.543806758866288
R12_RCPA,2030,4.543806758866288
R12_RCPA,2040,2.8061069637056644
R12_RCPA,2050,1.464799136066122
R12_RCPA,2060,0.9780175185253596
R12_RCPA,2070,0.8506478217262768
R12_RCPA,2080,0.8574077153500721
R12_RCPA,2090,0.912896413513671
R12_RCPA,2100,0.985454116078098
R12_SAS,2025,1.6250152661302948
R12_SAS,2030,1.6250152661302948
R12_SAS,2040,1.3061487560509797
R12_SAS,2050,0.7541835094407973
R12_SAS,2060,0.5390168600988807
R12_SAS,2070,0.4616818128062698
R12_SAS,2080,0.4351014438313413
R12_SAS,2090,0.4412628344766311
R12_SAS,2100,0.464299273047426
R12_WEU,2025,0.9657864329937444
R12_WEU,2030,0.9657864329937444
R12_WEU,2040,0.7887029185562613
R12_WEU,2050,0.7292482648519286
R12_WEU,2060,0.6982907419221355
R12_WEU,2070,0.6791194124911539
R12_WEU,2080,0.6739738795777259
R12_WEU,2090,0.6785062712635163
R12_WEU,2100,0.6889004689495697
