node,year,theta
R12_AFR,2025,0.9265768232634072
R12_AFR,2030,0.9265768232634072
R12_AFR,2040,1.086393593043432
R12_AFR,2050,1.2141523527963136
R12_AFR,2060,1.321192739507855
R12_AFR,2070,1.3712322638086076
R12_AFR,2080,1.40957928740281
R12_AFR,2090,1.4448739479687849
R12_AFR,2100,1.4816650400886937
R12_CHN,2025,1.0482744170131424
R12_CHN,2030,1.0482744170131424
R12_CHN,2040,1.126389521638075
R12_CHN,2050,1.1839322514400052
R12_CHN,2060,1.2233458718579695
R12_CHN,2070,1.27765260983464
R12_CHN,2080,1.353834146283746
R12_CHN,2090,1.435157739833154
R12_CHN,2100,1.487936431348334
R12_EEU,2025,0.9870604533256614
R12_EEU,2030,0.9870604533256614
R12_EEU,2040,1.035460813864251
R12_EEU,2050,1.0695270575284015
R12_EEU,2060,1.0939814554678415
R12_EEU,2070,1.137866195836989
R12_EEU,2080,1.210918431914408
R12_EEU,2090,1.279321932335723
R12_EEU,2100,1.3248071012394909
R12_FSU,2025,1.3140955549520814
R12_FSU,2030,1.3140955549520814
R12_FSU,2040,1.284303455599353
R12_FSU,2050,1.2381776502142974
R12_FSU,2060,1.1836762799436074
R12_FSU,2070,1.1509748076950002
R12_FSU,2080,1.1514348303707156
R12_FSU,2090,1.1607058016007492
R12_FSU,2100,1.1620284896904367
R12_LAM,2025,1.2429040599552248
R12_LAM,2030,1.2429040599552248
R12_LAM,2040,1.254973219381763
R12_LAM,2050,1.31663417613921
R12_LAM,2060,1.3797236587324544
R12_LAM,2070,1.3993149988060625
R12_LAM,2080,1.411695685971431
R12_LAM,2090,1.4238780690678512
R12_LAM,2100,1.4431298605446188
R12_MEA,2025,2.8226521435206022
R12_MEA,2030,2.8226521435206022
R12_MEA,2040,2.8830565127661694
R12_MEA,2050,3.078203077519756
R12_MEA,2060,3.331557105720502
R12_MEA,2070,3.409681617142471
R12_MEA,2080,3.4931268285092623
R12_MEA,2090,3.560291085994657
R12_MEA,2100,3.557822947393966
R12_NAM,2025,1.219155539300243
R12_NAM,2030,1.219155539300243
R12_NAM,2040,1.4442373567473004
R12_NAM,2050,1.7123316114258258
R12_NAM,2060,2.0031810354550807
R12_NAM,2070,2.383672951439232
R12_NAM,2080,2.802413331869088
R12_NAM,2090,3.237548390229768
R12_NAM,2100,3.648689541975171
R12_PAO,2025,0.8271750926953623
R12_PAO,2030,0.8271750926953623
R12_PAO,2040,0.892464235306831
R12_PAO,2050,0.9598963571709036
R12_PAO,2060,1.0293744226462214
R12_PAO,2070,1.10321053101331
R12_PAO,2080,1.1801971803875535
R12_PAO,2090,1.271448999465398
R12_PAO,2100,1.3678337277877586
R12_PAS,2025,1.7962850134530917
R12_PAS,2030,1.7962850134530917
R12_PAS,2040,2.085979132031802
R12_PAS,2050,2.364297713749189
R12_PAS,2060,2.633509583778763
R12_PAS,2070,2.8728854555947083
R12_PAS,2080,3.07120860565159
R12_PAS,2090,3.2148431806370183
R12_PAS,2100,3.3269921259791126
R12_RCPA,2025,3.330824728453281
R12_RCPA,2030,3.330824728453281
R12_RCPA,2040,3.2008187452197183
R12_RCPA,2050,3.1123576251466227
R12_RCPA,2060,3.12423750183622
R12_RCPA,2070,3.196221367217878
R12_RCPA,2080,3.366014663479002
R12_RCPA,2090,3.5576483693552032
R12_RCPA,2100,3.725587814941609
R12_SAS,2025,2.038108660066334
R12_SAS,2030,2.038108660066334
R12_SAS,2040,2.182743592180583
R12_SAS,2050,2.334338325131729
R12_SAS,2060,2.5625799837705108
R12_SAS,2070,2.8218932874869096
R12_SAS,2080,3.0863954425558835
R12_SAS,2090,3.321715833137868
R12_SAS,2100,3.556111223667474
R12_WEU,2025,0.7638489194440673
R12_WEU,2030,0.7638489194440673
R12_WEU,2040,0.8307879624350774
R12_WEU,2050,0.8873326007593754
R12_WEU,2060,0.947645900062381
R12_WEU,2070,1.0121777570896904
R12_WEU,2080,1.098389012428185
R12_WEU,2090,1.1930168071352747
R12_WEU,2100,1.278866801410727
