# METADATA: theta(node, year) = calibrated_demand_GWa / raw_RIME_demand_GWa at GWL = 1.1
# Calibrated component: rc_sector_fractions_SSP1.csv * SSP_SSP1_v6.5_CID__baseline rc_{spec,therm}
# Raw component: gamma * EI(GWL=1.1) * F  via correction_coefficients_*_SSP2_*.csv (SSP-agnostic by design)
# Generated: 2026-05-04
node,year,theta
R12_AFR,2020,0.2985075898538407
R12_AFR,2025,0.515220090780219
R12_AFR,2030,1.0836847921524508
R12_AFR,2040,1.8700147451754003
R12_AFR,2050,1.9570315594864827
R12_AFR,2060,0.9912046381445052
R12_AFR,2070,0.4438652265289363
R12_AFR,2080,0.2928984835219728
R12_AFR,2090,0.22125303595457854
R12_AFR,2100,0.18234414238350485
R12_CHN,2020,0.7170639073940714
R12_CHN,2025,0.6235717353152394
R12_CHN,2030,0.7232770107664734
R12_CHN,2040,0.6909141145994383
R12_CHN,2050,0.6483085870480305
R12_CHN,2060,0.5938701193226709
R12_CHN,2070,0.5389599486287507
R12_CHN,2080,0.4961857387091272
R12_CHN,2090,0.4484273038785126
R12_CHN,2100,0.3926298300377985
R12_EEU,2020,1.440164605440043
R12_EEU,2025,1.142475736725919
R12_EEU,2030,1.0596364897796264
R12_EEU,2040,0.7661144199097139
R12_EEU,2050,0.5776631051573093
R12_EEU,2060,0.47779014309732787
R12_EEU,2070,0.38480675638255946
R12_EEU,2080,0.30787050920652775
R12_EEU,2090,0.23715025483560537
R12_EEU,2100,0.16565712141192684
R12_FSU,2020,0.7682967934486973
R12_FSU,2025,0.6050829801434604
R12_FSU,2030,0.6050855859688554
R12_FSU,2040,0.6892420000187395
R12_FSU,2050,0.6963322202628854
R12_FSU,2060,0.6303291876310009
R12_FSU,2070,0.5511738820617179
R12_FSU,2080,0.48329577641886373
R12_FSU,2090,0.4290158798436144
R12_FSU,2100,0.380974295178323
R12_LAM,2020,0.8356021597482246
R12_LAM,2025,0.513323120588515
R12_LAM,2030,0.394885522084859
R12_LAM,2040,0.336608783571871
R12_LAM,2050,0.34162431493697726
R12_LAM,2060,0.3257656866951677
R12_LAM,2070,0.299581703139359
R12_LAM,2080,0.2723700760436458
R12_LAM,2090,0.24691529251145897
R12_LAM,2100,0.22079271514648618
R12_MEA,2020,1.5873478082268797
R12_MEA,2025,1.4651280597762661
R12_MEA,2030,1.4234392087684535
R12_MEA,2040,1.3792912417888785
R12_MEA,2050,1.3234675620881657
R12_MEA,2060,1.2502082395998302
R12_MEA,2070,1.0130232097480938
R12_MEA,2080,0.8389030581274884
R12_MEA,2090,0.7226306578182503
R12_MEA,2100,0.6413931574986633
R12_NAM,2020,1.1753254940409679
R12_NAM,2025,1.2853769695284232
R12_NAM,2030,1.3320026689334143
R12_NAM,2040,1.2916773999117162
R12_NAM,2050,1.2257324163895398
R12_NAM,2060,1.1358695532256722
R12_NAM,2070,1.0472405311647823
R12_NAM,2080,0.9646375136687593
R12_NAM,2090,0.8776397303902048
R12_NAM,2100,0.7857933518073321
R12_PAO,2020,0.8417898819761639
R12_PAO,2025,0.9944826218139713
R12_PAO,2030,1.090690353332619
R12_PAO,2040,1.0552690589079106
R12_PAO,2050,0.9403943304288938
R12_PAO,2060,0.8182809220640572
R12_PAO,2070,0.7130246361215431
R12_PAO,2080,0.6211740039827657
R12_PAO,2090,0.5352262942680531
R12_PAO,2100,0.44060003845692414
R12_PAS,2020,1.9296835733327122
R12_PAS,2025,1.3916007332378313
R12_PAS,2030,1.1887462876492345
R12_PAS,2040,0.7686934684068484
R12_PAS,2050,0.5658552878640482
R12_PAS,2060,0.4776009197745639
R12_PAS,2070,0.41384121037019506
R12_PAS,2080,0.3555907045436476
R12_PAS,2090,0.30333306019995754
R12_PAS,2100,0.26336572584215695
R12_RCPA,2020,4.031195615567666
R12_RCPA,2025,4.888981562330895
R12_RCPA,2030,5.246501378123246
R12_RCPA,2040,3.2088320803743313
R12_RCPA,2050,1.536992703830442
R12_RCPA,2060,0.8843895420910908
R12_RCPA,2070,0.6424927442861599
R12_RCPA,2080,0.5218187123119246
R12_RCPA,2090,0.4519624311256967
R12_RCPA,2100,0.4105847021313141
R12_SAS,2020,1.5328015617120245
R12_SAS,2025,1.6298883273825007
R12_SAS,2030,2.0242179939688425
R12_SAS,2040,1.7442514328290861
R12_SAS,2050,0.96007967270153
R12_SAS,2060,0.584878428629219
R12_SAS,2070,0.40798699818240786
R12_SAS,2080,0.31039690292381117
R12_SAS,2090,0.25545977561161765
R12_SAS,2100,0.21974373366712022
R12_WEU,2020,1.2127781989828572
R12_WEU,2025,1.0704486396993365
R12_WEU,2030,0.9762518117432396
R12_WEU,2040,0.7262363442674207
R12_WEU,2050,0.6085113352526985
R12_WEU,2060,0.5237152676470669
R12_WEU,2070,0.45065065269464266
R12_WEU,2080,0.3848754421968504
R12_WEU,2090,0.3218100931494755
R12_WEU,2100,0.2547975888417345
