node_loc,technology,year_vtg,year_act,mode,node_origin,commodity,level,time,time_origin,value,unit
R12_AFR,eth_shipped_exp_rcpa,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_chn,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_eeu,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_fsu,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_lam,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_mea,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_nam,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_pao,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_pas,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_sas,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_AFR,eth_shipped_exp_weu,broadcast,broadcast,M1,R12_AFR,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_afr,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_chn,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_eeu,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_fsu,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_lam,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_mea,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_nam,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_pao,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_pas,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_sas,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_RCPA,eth_shipped_exp_weu,broadcast,broadcast,M1,R12_RCPA,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_afr,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_rcpa,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_eeu,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_fsu,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_lam,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_mea,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_nam,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_pao,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_pas,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_sas,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_CHN,eth_shipped_exp_weu,broadcast,broadcast,M1,R12_CHN,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_afr,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_rcpa,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_chn,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_fsu,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_lam,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_mea,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_nam,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_pao,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_pas,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_sas,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_EEU,eth_shipped_exp_weu,broadcast,broadcast,M1,R12_EEU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_afr,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_rcpa,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_chn,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_eeu,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_lam,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_mea,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_nam,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_pao,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_pas,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_sas,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_FSU,eth_shipped_exp_weu,broadcast,broadcast,M1,R12_FSU,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_afr,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_rcpa,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_chn,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_eeu,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_fsu,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_mea,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_nam,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_pao,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_pas,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_sas,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_LAM,eth_shipped_exp_weu,broadcast,broadcast,M1,R12_LAM,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_afr,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_rcpa,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_chn,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_eeu,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_fsu,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_lam,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_nam,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_pao,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_pas,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_sas,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_MEA,eth_shipped_exp_weu,broadcast,broadcast,M1,R12_MEA,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_afr,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_rcpa,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_chn,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_eeu,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_fsu,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_lam,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_mea,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_pao,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_pas,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_sas,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_NAM,eth_shipped_exp_weu,broadcast,broadcast,M1,R12_NAM,ethanol,primary,year,year,1.0,GWa
R12_PAO,eth_shipped_exp_afr,broadcast,broadcast,M1,R12_PAO,ethanol,primary,year,year,1.0,GWa
