node,commodity,level,year,time,value,unit
R12_MEA,i_spec,useful,2050,year,77.2038,GWa
R12_MEA,i_spec,useful,2055,year,87.7021,GWa
R12_MEA,i_spec,useful,2060,year,98.7986,GWa
R12_MEA,i_spec,useful,2065,year,110.3835,GWa
R12_MEA,i_spec,useful,2070,year,121.8401,GWa
R12_MEA,i_spec,useful,2075,year,133.0717,GWa
R12_MEA,i_spec,useful,2080,year,144.0505,GWa
R12_MEA,i_spec,useful,2085,year,154.8008,GWa
R12_MEA,i_spec,useful,2090,year,165.4253,GWa
R12_MEA,i_spec,useful,2095,year,175.9444,GWa
R12_MEA,i_spec,useful,2100,year,186.1707,GWa
R12_MEA,i_spec,useful,2110,year,211.8603,GWa
R12_NAM,i_spec,useful,2020,year,76.2817,GWa
R12_NAM,i_spec,useful,2025,year,60.9849,GWa
R12_NAM,i_spec,useful,2030,year,54.2856,GWa
R12_NAM,i_spec,useful,2035,year,49.4126,GWa
R12_NAM,i_spec,useful,2040,year,46.0367,GWa
R12_NAM,i_spec,useful,2045,year,44.2037,GWa
R12_NAM,i_spec,useful,2050,year,43.9052,GWa
R12_NAM,i_spec,useful,2055,year,44.5103,GWa
R12_NAM,i_spec,useful,2060,year,45.901,GWa
R12_NAM,i_spec,useful,2065,year,48.062,GWa
R12_NAM,i_spec,useful,2070,year,51.1576,GWa
R12_NAM,i_spec,useful,2075,year,55.2328,GWa
R12_NAM,i_spec,useful,2080,year,60.2884,GWa
R12_NAM,i_spec,useful,2085,year,66.3454,GWa
R12_NAM,i_spec,useful,2090,year,73.48,GWa
R12_NAM,i_spec,useful,2095,year,81.8618,GWa
R12_NAM,i_spec,useful,2100,year,91.5484,GWa
R12_NAM,i_spec,useful,2110,year,119.2246,GWa
R12_PAO,i_spec,useful,2020,year,30.8002,GWa
R12_PAO,i_spec,useful,2025,year,25.8313,GWa
R12_PAO,i_spec,useful,2030,year,22.8803,GWa
R12_PAO,i_spec,useful,2035,year,20.1757,GWa
R12_PAO,i_spec,useful,2040,year,18.0182,GWa
R12_PAO,i_spec,useful,2045,year,16.4365,GWa
R12_PAO,i_spec,useful,2050,year,15.504,GWa
R12_PAO,i_spec,useful,2055,year,15.0859,GWa
