tec,incmd,inlvl,outcmd,outlvl,recovery_rate_low,recovery_rate_mid,recovery_rate_high,cooling_water_withdrawal_low,cooling_water_withdrawal_mid,cooling_water_withdrawal_high,cooling_water_return_low,cooling_water_return_mid,cooling_water_return_high,electricity_input_low,electricity_input_mid,electricity_input_high,heat_input_low,heat_input_mid,heat_input_high,thermal_pollution_low,thermal_pollution_mid,thermal_pollution_high,inv_cost_low,inv_cost_mid,inv_cost_high,fix_cost_low,fix_cost_mid,fix_cost_high,var_cost_low,var_cost_mid,var_cost_high,capacity_factor_low,capacity_factor_mid,capacity_factor_high,lifetime_low,lifetime_mid,lifetime_high
membrane,salinewater_basin,water_avail_basin,freshwater_basin,water_supply_basin,0.4,0.35,0.3,2.4,5.2,7.1,2.3,5.1,7,0.171,0.342,0.456,0.456,1.026,1.368,0.04275,0.0855,0.114,4383.561644,5205.479452,6027.39726,369.8630137,424.6575342,369.8630137,0,0,0,0.9,0.85,0.8,50,30,25
distillation,salinewater_basin,water_avail_basin,freshwater_basin,water_supply_basin,0.45,0.4,0.35,0,0,0,0,0,0,0.342,0.456,0.571,0,0,0,0,0,0,3561.643836,4246.575342,4931.506849,3561.643836,4520.547945,4931.506849,0,0,0,0.9,0.85,0.8,50,30,25
