BCU_name,rcp,year,cap_km3_year
0|EEU,2p6,2020,0.000743781
0|EEU,2p6,2025,0.001843263
0|EEU,2p6,2030,0.003449864
0|EEU,2p6,2035,0.006786471
0|EEU,2p6,2040,0.010723302
0|EEU,2p6,2045,0.013431898
0|EEU,2p6,2050,0.016201631
0|EEU,2p6,2055,0.018378866
0|EEU,2p6,2060,0.018417519
0|EEU,2p6,2065,0.02416843
0|EEU,2p6,2070,0.03266812
0|EEU,2p6,2075,0.041830276
0|EEU,2p6,2080,0.055591577
0|WEU,2p6,2020,0.06313723
0|WEU,2p6,2025,0.070061432
0|WEU,2p6,2030,0.077977301
0|WEU,2p6,2035,0.093340097
0|WEU,2p6,2040,0.11019042
0|WEU,2p6,2045,0.129189863
0|WEU,2p6,2050,0.157159104
0|WEU,2p6,2055,0.197529804
0|WEU,2p6,2060,0.249177502
0|WEU,2p6,2065,0.328523664
0|WEU,2p6,2070,0.430097155
0|WEU,2p6,2075,0.54921065
0|WEU,2p6,2080,0.714840897
1|AFR,2p6,2020,0.005846593
1|AFR,2p6,2025,0.006143833
1|AFR,2p6,2030,0.006595187
1|AFR,2p6,2035,0.007652067
1|AFR,2p6,2040,0.009063992
1|AFR,2p6,2045,0.011661124
1|AFR,2p6,2050,0.015337915
1|AFR,2p6,2055,0.021098424
1|AFR,2p6,2060,0.030163299
1|AFR,2p6,2065,0.042104697
1|AFR,2p6,2070,0.064584401
1|AFR,2p6,2075,0.093995946
1|AFR,2p6,2080,0.134844879
10|FSU,2p6,2020,0.11095146
10|FSU,2p6,2025,0.12478048
10|FSU,2p6,2030,0.145781549
10|FSU,2p6,2035,0.180459995
10|FSU,2p6,2040,0.205624672
10|FSU,2p6,2045,0.221660023
10|FSU,2p6,2050,0.227885775
10|FSU,2p6,2055,0.228517028
10|FSU,2p6,2060,0.234202135
10|FSU,2p6,2065,0.259309093
10|FSU,2p6,2070,0.276328349
10|FSU,2p6,2075,0.294714823
10|FSU,2p6,2080,0.316731252
10|SAS,2p6,2020,0.036524449
10|SAS,2p6,2025,0.036607804
10|SAS,2p6,2030,0.036735222
10|SAS,2p6,2035,0.036947498
10|SAS,2p6,2040,0.037288961
10|SAS,2p6,2045,0.037761956
10|SAS,2p6,2050,0.038437445
10|SAS,2p6,2055,0.039450013
10|SAS,2p6,2060,0.040746858
10|SAS,2p6,2065,0.042878023
10|SAS,2p6,2070,0.045736689
10|SAS,2p6,2075,0.049741192
10|SAS,2p6,2080,0.05554273
100|LAM,2p6,2020,0.056515909
100|LAM,2p6,2025,0.067896796
100|LAM,2p6,2030,0.08645945
100|LAM,2p6,2035,0.12639029
100|LAM,2p6,2040,0.172883104
100|LAM,2p6,2045,0.235229064
100|LAM,2p6,2050,0.319082017
100|LAM,2p6,2055,0.42830149
100|LAM,2p6,2060,0.574826213
100|LAM,2p6,2065,0.772624836
100|LAM,2p6,2070,1.035555203
100|LAM,2p6,2075,1.384907968
