exporter,importer,export_technology,import_technology,"INCLUDE? (No=0, Yes=1)"
R12_AFR,R12_RCPA,foil_piped_exp_rcpa,foil_piped_imp,0
R12_AFR,R12_CHN,foil_piped_exp_chn,foil_piped_imp,0
R12_AFR,R12_EEU,foil_piped_exp_eeu,foil_piped_imp,0
R12_AFR,R12_FSU,foil_piped_exp_fsu,foil_piped_imp,0
R12_AFR,R12_LAM,foil_piped_exp_lam,foil_piped_imp,0
R12_AFR,R12_MEA,foil_piped_exp_mea,foil_piped_imp,1
R12_AFR,R12_NAM,foil_piped_exp_nam,foil_piped_imp,0
R12_AFR,R12_PAO,foil_piped_exp_pao,foil_piped_imp,0
R12_AFR,R12_PAS,foil_piped_exp_pas,foil_piped_imp,0
R12_AFR,R12_SAS,foil_piped_exp_sas,foil_piped_imp,0
R12_AFR,R12_WEU,foil_piped_exp_weu,foil_piped_imp,1
R12_RCPA,R12_AFR,foil_piped_exp_afr,foil_piped_imp,0
R12_RCPA,R12_CHN,foil_piped_exp_chn,foil_piped_imp,0
R12_RCPA,R12_EEU,foil_piped_exp_eeu,foil_piped_imp,0
R12_RCPA,R12_FSU,foil_piped_exp_fsu,foil_piped_imp,0
R12_RCPA,R12_LAM,foil_piped_exp_lam,foil_piped_imp,0
R12_RCPA,R12_MEA,foil_piped_exp_mea,foil_piped_imp,0
R12_RCPA,R12_NAM,foil_piped_exp_nam,foil_piped_imp,0
R12_RCPA,R12_PAO,foil_piped_exp_pao,foil_piped_imp,0
R12_RCPA,R12_PAS,foil_piped_exp_pas,foil_piped_imp,0
R12_RCPA,R12_SAS,foil_piped_exp_sas,foil_piped_imp,0
R12_RCPA,R12_WEU,foil_piped_exp_weu,foil_piped_imp,0
R12_CHN,R12_AFR,foil_piped_exp_afr,foil_piped_imp,0
R12_CHN,R12_RCPA,foil_piped_exp_rcpa,foil_piped_imp,0
R12_CHN,R12_EEU,foil_piped_exp_eeu,foil_piped_imp,0
R12_CHN,R12_FSU,foil_piped_exp_fsu,foil_piped_imp,1
R12_CHN,R12_LAM,foil_piped_exp_lam,foil_piped_imp,0
R12_CHN,R12_MEA,foil_piped_exp_mea,foil_piped_imp,0
R12_CHN,R12_NAM,foil_piped_exp_nam,foil_piped_imp,0
