node_loc,technology,year_vtg,value,unit
R12_AFR,loil_piped_exp_mea,broadcast,,USD/GWa
R12_AFR,loil_piped_exp_weu,broadcast,,USD/GWa
R12_CHN,loil_piped_exp_fsu,broadcast,,USD/GWa
R12_EEU,loil_piped_exp_fsu,broadcast,,USD/GWa
R12_EEU,loil_piped_exp_weu,broadcast,,USD/GWa
R12_FSU,loil_piped_exp_rcpa,broadcast,,USD/GWa
R12_FSU,loil_piped_exp_chn,broadcast,,USD/GWa
R12_FSU,loil_piped_exp_eeu,broadcast,,USD/GWa
R12_FSU,loil_piped_exp_mea,broadcast,,USD/GWa
R12_FSU,loil_piped_exp_pao,broadcast,,USD/GWa
R12_FSU,loil_piped_exp_pas,broadcast,,USD/GWa
R12_FSU,loil_piped_exp_sas,broadcast,,USD/GWa
R12_FSU,loil_piped_exp_weu,broadcast,,USD/GWa
R12_LAM,loil_piped_exp_nam,broadcast,,USD/GWa
R12_MEA,loil_piped_exp_afr,broadcast,,USD/GWa
R12_MEA,loil_piped_exp_eeu,broadcast,,USD/GWa
R12_MEA,loil_piped_exp_fsu,broadcast,,USD/GWa
R12_MEA,loil_piped_exp_sas,broadcast,,USD/GWa
R12_MEA,loil_piped_exp_weu,broadcast,,USD/GWa
R12_NAM,loil_piped_exp_lam,broadcast,,USD/GWa
R12_PAO,loil_piped_exp_fsu,broadcast,,USD/GWa
R12_PAS,loil_piped_exp_rcpa,broadcast,,USD/GWa
R12_PAS,loil_piped_exp_chn,broadcast,,USD/GWa
R12_PAS,loil_piped_exp_fsu,broadcast,,USD/GWa
R12_PAS,loil_piped_exp_pao,broadcast,,USD/GWa
R12_SAS,loil_piped_exp_fsu,broadcast,,USD/GWa
R12_SAS,loil_piped_exp_mea,broadcast,,USD/GWa
R12_SAS,loil_piped_exp_pas,broadcast,,USD/GWa
R12_WEU,loil_piped_exp_afr,broadcast,,USD/GWa
R12_WEU,loil_piped_exp_eeu,broadcast,,USD/GWa
R12_WEU,loil_piped_exp_fsu,broadcast,,USD/GWa
R12_WEU,loil_piped_exp_mea,broadcast,,USD/GWa
R12_MEA,loil_piped_imp,broadcast,,USD/GWa
R12_WEU,loil_piped_imp,broadcast,,USD/GWa
R12_FSU,loil_piped_imp,broadcast,,USD/GWa
R12_RCPA,loil_piped_imp,broadcast,,USD/GWa
R12_CHN,loil_piped_imp,broadcast,,USD/GWa
R12_EEU,loil_piped_imp,broadcast,,USD/GWa
R12_PAO,loil_piped_imp,broadcast,,USD/GWa
R12_PAS,loil_piped_imp,broadcast,,USD/GWa
R12_SAS,loil_piped_imp,broadcast,,USD/GWa
R12_NAM,loil_piped_imp,broadcast,,USD/GWa
R12_AFR,loil_piped_imp,broadcast,,USD/GWa
R12_LAM,loil_piped_imp,broadcast,,USD/GWa
