node_loc,technology,year_act,time,value,unit
R12_AFR,loil_piped_exp_mea,broadcast,year,,GWa
R12_AFR,loil_piped_exp_weu,broadcast,year,,GWa
R12_CHN,loil_piped_exp_fsu,broadcast,year,,GWa
R12_EEU,loil_piped_exp_fsu,broadcast,year,,GWa
R12_EEU,loil_piped_exp_weu,broadcast,year,,GWa
R12_FSU,loil_piped_exp_rcpa,broadcast,year,,GWa
R12_FSU,loil_piped_exp_chn,broadcast,year,,GWa
R12_FSU,loil_piped_exp_eeu,broadcast,year,,GWa
R12_FSU,loil_piped_exp_mea,broadcast,year,,GWa
R12_FSU,loil_piped_exp_pao,broadcast,year,,GWa
R12_FSU,loil_piped_exp_pas,broadcast,year,,GWa
R12_FSU,loil_piped_exp_sas,broadcast,year,,GWa
R12_FSU,loil_piped_exp_weu,broadcast,year,,GWa
R12_LAM,loil_piped_exp_nam,broadcast,year,,GWa
R12_MEA,loil_piped_exp_afr,broadcast,year,,GWa
R12_MEA,loil_piped_exp_eeu,broadcast,year,,GWa
R12_MEA,loil_piped_exp_fsu,broadcast,year,,GWa
R12_MEA,loil_piped_exp_sas,broadcast,year,,GWa
R12_MEA,loil_piped_exp_weu,broadcast,year,,GWa
R12_NAM,loil_piped_exp_lam,broadcast,year,,GWa
R12_PAO,loil_piped_exp_fsu,broadcast,year,,GWa
R12_PAS,loil_piped_exp_rcpa,broadcast,year,,GWa
R12_PAS,loil_piped_exp_chn,broadcast,year,,GWa
R12_PAS,loil_piped_exp_fsu,broadcast,year,,GWa
R12_PAS,loil_piped_exp_pao,broadcast,year,,GWa
R12_SAS,loil_piped_exp_fsu,broadcast,year,,GWa
R12_SAS,loil_piped_exp_mea,broadcast,year,,GWa
R12_SAS,loil_piped_exp_pas,broadcast,year,,GWa
R12_WEU,loil_piped_exp_afr,broadcast,year,,GWa
R12_WEU,loil_piped_exp_eeu,broadcast,year,,GWa
R12_WEU,loil_piped_exp_fsu,broadcast,year,,GWa
R12_WEU,loil_piped_exp_mea,broadcast,year,,GWa
R12_MEA,loil_piped_imp,broadcast,year,,GWa
R12_WEU,loil_piped_imp,broadcast,year,,GWa
R12_FSU,loil_piped_imp,broadcast,year,,GWa
R12_RCPA,loil_piped_imp,broadcast,year,,GWa
R12_CHN,loil_piped_imp,broadcast,year,,GWa
R12_EEU,loil_piped_imp,broadcast,year,,GWa
R12_PAO,loil_piped_imp,broadcast,year,,GWa
R12_PAS,loil_piped_imp,broadcast,year,,GWa
R12_SAS,loil_piped_imp,broadcast,year,,GWa
R12_NAM,loil_piped_imp,broadcast,year,,GWa
R12_AFR,loil_piped_imp,broadcast,year,,GWa
R12_LAM,loil_piped_imp,broadcast,year,,GWa
