"avgLF","xval","code","msg_reg","commodity","x.interval"
0.627722032863743,8576.9897,"ensemble_6p0_2030-2070","AFR","hydro_c1",8576.9897
0.618864833329827,16582.1802,"ensemble_6p0_2030-2070","AFR","hydro_c1",8005.1905
0.608234951800393,18297.5781,"ensemble_6p0_2030-2070","AFR","hydro_c1",1715.3979
0.564325879504274,24015.5713,"ensemble_6p0_2030-2070","AFR","hydro_c1",5717.9932
0.557868135392272,28018.1665,"ensemble_6p0_2030-2070","AFR","hydro_c2",4002.5952
0.550047508711726,32592.561,"ensemble_6p0_2030-2070","AFR","hydro_c2",4574.3945
0.538645470749692,35451.5576,"ensemble_6p0_2030-2070","AFR","hydro_c2",2858.9966
0.522435623640588,36023.3569,"ensemble_6p0_2030-2070","AFR","hydro_c2",571.799299999999
0.604355915373546,36595.1562,"ensemble_6p0_2030-2070","AFR","hydro_c3",571.799299999999
0.580483567680084,37166.9555,"ensemble_6p0_2030-2070","AFR","hydro_c3",571.799299999999
0.555985932098301,41169.5507,"ensemble_6p0_2030-2070","AFR","hydro_c3",4002.5952
0.534930484051004,42884.9487,"ensemble_6p0_2030-2070","AFR","hydro_c3",1715.398
0.580908080957905,44028.5473,"ensemble_6p0_2030-2070","AFR","hydro_c4",1143.5986
0.562204729795266,46315.7446,"ensemble_6p0_2030-2070","AFR","hydro_c4",2287.1973
0.548250938032473,46887.5439,"ensemble_6p0_2030-2070","AFR","hydro_c4",571.799299999999
0.536541671703395,48602.9418,"ensemble_6p0_2030-2070","AFR","hydro_c4",1715.3979
0.562136633400174,49174.7411,"ensemble_6p0_2030-2070","AFR","hydro_c5",571.799299999999
0.551112045114918,51461.9384,"ensemble_6p0_2030-2070","AFR","hydro_c5",2287.1973
0.543530362703137,52605.537,"ensemble_6p0_2030-2070","AFR","hydro_c5",1143.5986
0.529055969745641,53749.1357,"ensemble_6p0_2030-2070","AFR","hydro_c5",1143.5987
0.553494624541107,54320.935,"ensemble_6p0_2030-2070","AFR","hydro_c6",571.799299999999
0.546478510809239,54892.7343,"ensemble_6p0_2030-2070","AFR","hydro_c6",571.799299999999
0.549755973493718,55464.5336,"ensemble_6p0_2030-2070","AFR","hydro_c7",571.799300000006
