"code","msg_reg","xval","avgIC"
"GFDL-ESM2M_6p0_2071-2100","RCPA",4013.3813,5978.42858220109
"GFDL-ESM2M_6p0_2071-2100","RCPA",4482.4778,8471.30421804377
"GFDL-ESM2M_6p0_2071-2100","RCPA",4795.2089,11224.0756280523
"GFDL-ESM2M_6p0_2071-2100","RCPA",5107.9399,15241.1155043544
"GFDL-ESM2M_6p0_2071-2100","RCPA",5212.1835,33190.7654162896
"GFDL-ESM2M_hist_historical","RCPA",0,1614.42692030932
"GFDL-ESM2M_hist_historical","RCPA",1501.8816,1614.42692030932
"GFDL-ESM2M_hist_historical","RCPA",2951.9743,2765.92315170786
"GFDL-ESM2M_hist_historical","RCPA",3573.4425,4949.01269068584
"GFDL-ESM2M_hist_historical","RCPA",4039.5437,6974.67832884406
"GFDL-ESM2M_hist_historical","RCPA",4402.0669,8819.8298933592
"GFDL-ESM2M_hist_historical","RCPA",4919.9571,12415.178895691
"GFDL-ESM2M_hist_historical","RCPA",5075.3242,16508.7131746901
"GFDL-ESM2M_hist_historical","RCPA",5178.9022,23907.1877813471
"HadGEM2-ES_2p6_2030-2070","RCPA",0,2184.87305596979
"HadGEM2-ES_2p6_2030-2070","RCPA",1821.8206,2184.87305596979
"HadGEM2-ES_2p6_2030-2070","RCPA",2550.5489,4038.07308864137
"HadGEM2-ES_2p6_2030-2070","RCPA",3117.3375,6774.43843537826
"HadGEM2-ES_2p6_2030-2070","RCPA",3360.2469,9391.31022718772
"HadGEM2-ES_2p6_2030-2070","RCPA",3724.6111,12602.1361631071
"HadGEM2-ES_2p6_2030-2070","RCPA",3886.5507,16949.3210510122
"HadGEM2-ES_2p6_2030-2070","RCPA",3967.5205,22944.0886271067
"HadGEM2-ES_2p6_2030-2070","RCPA",4048.4903,32158.0592017829
"HadGEM2-ES_2p6_2071-2100","RCPA",0,1597.18807631055
"HadGEM2-ES_2p6_2071-2100","RCPA",1071.3437,1597.18807631055
"HadGEM2-ES_2p6_2071-2100","RCPA",2608.4889,2766.74782868397
"HadGEM2-ES_2p6_2071-2100","RCPA",3120.8707,4746.51441438456
"HadGEM2-ES_2p6_2071-2100","RCPA",3726.4127,7136.20068831909
"HadGEM2-ES_2p6_2071-2100","RCPA",4238.7945,10831.8577616642
"HadGEM2-ES_2p6_2071-2100","RCPA",4425.1151,14607.4635181676
"HadGEM2-ES_2p6_2071-2100","RCPA",4564.8556,19129.0325036138
"HadGEM2-ES_2p6_2071-2100","RCPA",4658.0159,30499.4580738509
"HadGEM2-ES_6p0_2030-2070","RCPA",0,2085.53069805247
