node_loc,technology,year_vtg,year_act,time,value,unit
R12_WEU,h2_elec_soe,2045,2050,year,0.95,%
R12_WEU,h2_elec_soe,2045,2055,year,0.95,%
R12_WEU,h2_elec_soe,2045,2060,year,0.95,%
R12_WEU,h2_elec_soe,2045,2070,year,0.95,%
R12_WEU,h2_elec_soe,2050,2050,year,0.95,%
R12_WEU,h2_elec_soe,2050,2055,year,0.95,%
R12_WEU,h2_elec_soe,2050,2060,year,0.95,%
R12_WEU,h2_elec_soe,2050,2070,year,0.95,%
R12_WEU,h2_elec_soe,2050,2080,year,0.95,%
R12_WEU,h2_elec_soe,2055,2055,year,0.95,%
