"","50|MEA","30|MEA","50|SAS","30|SAS","30|FSU","10|FSU","10|SAS","67|SAS","148|CPA","13|AFR","57|AFR","38|AFR","6|AFR","161|AFR","0|EEU","14|MEA","93|LAM","139|LAM","100|LAM","137|LAM","76|LAM","84|LAM","75|LAM","111|LAM","155|LAM","31|FSU","22|PAO","21|PAO","19|PAO","20|PAO","18|PAO","91|PAO","149|PAO","48|WEU","39|WEU","39|EEU","48|EEU","96|AFR","158|AFR","95|AFR","8|AFR","7|AFR","53|SAS","65|SAS","24|SAS","24|PAS","28|LAM","106|EEU","106|FSU","42|FSU","51|FSU","32|LAM","9|LAM","152|LAM","101|LAM","99|LAM","125|LAM","113|LAM","46|LAM","29|LAM","73|PAS","53|CPA","107|AFR","80|AFR","78|AFR","109|NAM","52|NAM","81|NAM","103|NAM","36|NAM","126|NAM","90|NAM","63|NAM","142|NAM","17|NAM","153|NAM","47|WEU","119|WEU","67|CPA","54|CPA","77|CPA","118|CPA","105|CPA","159|CPA","70|CPA","88|CPA","62|CPA","61|CPA","60|CPA","162|CPA","11|CPA","35|CPA","98|CPA","123|CPA","37|LAM","83|LAM","108|LAM","82|AFR","33|LAM","85|WEU","41|WEU","121|AFR","5|AFR","145|WEU","4|MEA","3|MEA","3|AFR","87|MEA","95|MEA","78|MEA","134|LAM","116|LAM","96|MEA","5|MEA","85|MEA","120|MEA","40|MEA","4|WEU","45|WEU","86|WEU","130|AFR","127|WEU","51|WEU","127|FSU","140|PAS","49|WEU","68|WEU","128|WEU","25|FSU","26|FSU","129|AFR","0|WEU","144|PAS","114|PAS","72|PAS","143|PAS","110|PAS","69|PAS","124|SAS","66|SAS","12|SAS","70|PAS","70|SAS","31|MEA","151|MEA","34|MEA","115|MEA","64|WEU","150|WEU","71|PAO","154|FSU","146|FSU","105|FSU","77|FSU","54|FSU","1|AFR","148|FSU","59|CPA","156|CPA","98|PAS","141|SAS","39|FSU","43|FSU","27|LAM","97|LAM","122|LAM","59|PAS","88|PAS","160|CPA","2|AFR","135|AFR","4|AFR","92|AFR","94|PAO","115|SAS","15|SAS","117|PAS","112|PAS","133|PAS","28|NAM","132|FSU","157|FSU","44|FSU","23|FSU","74|FSU","160|FSU","131|FSU","79|FSU","11|FSU","123|FSU","71|FSU","26|WEU","151|WEU","31|WEU","147|PAS","104|NAM","27|NAM","55|NAM","97|NAM","33|NAM","122|NAM","56|NAM","58|NAM","136|AFR"
"2010",59.572,125.169,49.541,7.355,204.303,935.385,33.448,1456.142,265.761,29.346,116.988,218.44,50.448,144.95,445.683,410.881,65.995,19.558,82.152,38.915,46.203,45.111,430.147,74.726,206.692,592.5,37.011,20.476,9.62,12.303,153.608,90.143,9.104,1260.005,291.874,1567.242,117.401,774.733,61.871,339.074,95.766,173.735,10902.951,8760.665,336.991,47.843,909.442,869.531,77.63,556.756,83.915,991.806,666.502,103.5,39.203,76.712,119.515,54.714,57.772,546.973,586.379,56.102,202.519,231.462,149.702,18.008,97.312,36.203,12.161,204.466,175.871,2977.492,31.48,958.686,159.191,701.453,335.476,1170.587,4.014,311.369,50.849,3.013,12.72,7866.493,175.835,979.797,2291.169,5283.699,180.857,1562.927,1589.38,2350.792,992.501,40.873,226.92,321.583,180.259,193.462,847.273,228.199,113.614,150.704,32.323,105.03,259.524,487.375,23.015,273.332,0.692,31.609,0.394,118.938,2417.488,212.36,263.612,367.439,221.796,10.994,548.669,243.028,60.775,118.027,39.104,26.513,9.716,1074.043,182.101,1.329,262.538,80.433,86.902,307.233,1305.405,578.45,2360.828,473.951,47.688,91.589,1621.366,1521.795,8.022,182.554,16.06,304.442,656.912,652.953,301.959,4.211,376.347,3996.213,96.388,719.49,497.283,19.366,2.282,277.937,0.83,908.398,2313.468,968.666,248.095,53.445,155.609,73.573,13.766,168.87,550.765,617.778,8.441,31.014,445.376,36.304,5.598,45.38,6.338,18.814,2142.4,2.89,0.94,5.188,26.684,885.308,380.619,95.441,2.601,126.183,0.036,44.149,101.708,9.978,0.682,734.347,252.818,63.482,706.107,21.682,207.614,74.826,132.107,5.641,50.866,465.079,1300.749,11.542
"2020",66.565,127.241,75.828,12.467,228.965,1063.724,53.346,1811.746,370.457,80.019,215.441,503.764,70.076,270.399,396.044,491.084,77.703,25.213,82.372,43.167,47.81,37.565,400.451,66.431,173.858,538.061,38.755,20.434,11.237,13.942,137.688,91.599,9.791,1208.325,276.424,1393.002,107.546,1477.291,164.804,916.265,218.509,413.52,12797.756,11060.018,384.363,82.394,724.542,781.012,71.873,531.617,82.346,991.015,729.806,106.136,41.011,64.307,116.729,54.902,47.281,477.497,735.411,71.525,232.263,234.511,359.429,17.389,79.14,33.926,12.111,189.995,173.216,2785.508,31.991,846.655,170.531,514.988,300.236,1057.074,4.974,444.68,69.793,3.784,17.827,9317.803,241.38,1208.519,2924.095,6251.77,243.106,1755.136,2200.291,2363.512,1416.031,56.703,285.283,348.105,174.283,255.066,824.963,217.935,127.213,359.82,61.742,95.749,270.797,579.581,34.854,267.336,0.954,46.503,0.536,126.399,2750.568,258.09,334.39,406.317,268.066,7.158,487.298,229.849,136.362,105.169,35.013,25.471,13.279,962.926,171.18,1.073,194.034,75.884,115.99,258.946,1661.556,604.144,2507.91,595.924,61.433,155.362,2109.495,1885.374,10.486,355.096,19.612,279.852,745.257,669.764,276.699,2.058,343.246,3430.618,100.218,766.514,484.459,20.564,2.184,558.453,1.021,1014.139,2501.959,862.882,360.536,44.764,148.834,83.141,15.372,149.156,567.81,678.954,8.082,57.533,511.904,46.105,6.658,43.944,8.845,25.103,2431.514,11.631,3.794,0.753,21.233,809.341,363.613,93.571,2.598,122.608,0.019,40.372,98.961,9.665,0.688,847.785,274.539,77.67,617.473,21.768,178.512,69.931,124.255,5.21,45.259,432.364,1172.047,14.346
"2030",74.949,127.461,114.793,20.358,240.675,1209.709,73.559,2156.182,400.138,94.242,252.016,834.918,78.879,440.69,354.208,520.941,75.188,26.884,73.625,27.589,39.385,31.548,372.342,54.465,156.587,478.401,34.612,19.363,11.667,14.916,120.444,90.843,10.487,1063.334,241.035,1239.195,96.193,2277.805,263.65,1504.789,314.837,630.153,13726.262,12981.182,453.249,102.729,688.879,683.263,60.198,482.794,75.082,1009.784,744.371,109.25,42.905,58.504,114.134,56.32,40.688,423.64,851.882,74.555,239.221,221.865,519.019,16.025,65.418,32.627,11.851,174.203,161.13,2533.483,31.209,721.908,157.973,389.535,260.19,919.79,5.399,495.594,73.072,3.681,18.863,8269.099,249.304,1331.046,2883.38,6145.071,258.757,1472.833,2439.408,2062.709,1628.647,62.014,277.063,331.6,156.937,440.357,802.9,219.766,120.428,572.905,97.585,84.276,296.78,652.7,49.484,230.449,1.037,64.44,0.566,124.077,3057.995,297.065,408.637,522.134,313.664,6.39,430.313,207.901,214.64,94.5,30.414,24.191,15.39,823.671,157.242,0.99,132.993,66.627,150.916,229.531,1914.964,602.502,2432.348,693.027,72.329,200.763,2596.525,2148.499,12.863,434.626,22.635,231.727,781.033,706.878,261.956,1.563,303.888,2876.419,103.714,762.753,467.62,21.689,1.983,856.861,1.202,1077.177,2626.58,731.403,435.036,38.935,133.406,95.688,17.415,160.764,590.03,695.319,6.618,78.634,536.389,60.054,8.076,40.874,12.154,33.413,2756.126,19.196,6.272,0.441,20.471,713.825,341.588,88.418,2.642,113.272,0.02,33.787,90.452,8.31,0.725,871.562,256.523,86.703,519.554,19.358,151.567,64.198,114.587,4.974,42.15,400.433,984.667,14.438
"2040",82.596,123.116,168.507,28.844,235.51,1291.193,101.985,2396.838,408.807,101.009,305.589,1633.302,82.223,658.11,319.626,530.779,67.013,26.172,59.191,23.462,34.368,24.298,348.209,41.724,136.193,426.184,31.951,17.798,11.972,11.669,102.232,86.586,11.486,938.204,213.276,1088.41,79.377,3171.98,361.054,2232.815,388.833,834.128,13556.021,14325.386,489.057,115.629,638.619,588.282,49.864,428.974,68.078,1029.969,739.591,111.002,42.437,53.544,111.24,53.376,33.677,362.186,910.035,74.162,236.963,208.378,688.343,14.378,54.172,30.841,10.901,157.786,149.776,2233.095,28.362,577.574,147.981,297.561,229.47,795.781,5.558,497.951,70.235,2.875,18.685,6762.586,238.77,1355.089,2643.134,5503.003,255.186,1169.377,2501.674,1690.621,1610.184,62.887,259.974,311.353,146.559,652.062,763.538,196.36,112.521,800.265,148.745,74.425,291.828,703.536,67.482,192.318,1.289,61.535,0.576,113.201,3278.015,339.768,460.695,640.016,350.839,5.778,375.209,182.947,311.731,85.774,25.924,22.251,17.16,730.813,146.794,0.917,94.203,57.326,195.988,209.203,2042.992,562.65,2205.083,729.888,79.177,243.01,2998.615,2288.344,14.857,462.881,23.816,204.371,813.991,701.015,247.012,1.287,272.901,2354.63,104.339,681.477,434.963,22.912,1.717,1179.813,1.337,1054.188,2479.804,580.435,482.469,32.395,114.696,86.735,7.605,174.01,584.898,662.401,4.462,107.08,538.336,68.9,9.316,38.182,16.148,40.896,3009.632,28.187,5.044,0.29,20.125,607.598,283.655,81,2.664,100.183,0.019,30.062,81.249,7.662,0.785,849.992,233.785,91.175,439.978,18.222,131.912,57.602,105.601,4.659,39.43,371.355,800.084,14.8
"2050",88.024,94.749,229.522,40.419,223.878,1239.634,137.199,2581.339,393.656,116.356,356.852,2549.61,89.994,903.128,286.639,519.809,62.93,14.351,45.483,14.78,31.864,18.184,327.738,30.819,125.046,380.992,32.499,18.316,12.933,11.44,80.262,77.528,11.402,810.093,189.087,949.073,65.852,4082.751,471.103,2980.825,501.744,994.92,12661.284,14820.314,507.939,121.552,582.676,503.858,41.305,370.485,57.175,1019.979,712.66,111.314,29.794,50.553,100.677,51.467,28.821,319.936,914.643,72.053,231.06,203.182,929.658,13.014,46.944,29.416,10.384,142.129,144.229,1940.44,24.244,452.241,131.27,227.658,200.201,678.061,5.61,469.403,64.487,2.584,17.544,5397.315,218.307,1319.868,2304.803,4687.852,226.864,952.119,2475.898,1332.174,1533.607,44.859,245.3,276.846,143.416,861.453,720.773,193.584,109.016,983.362,209.176,67,277.797,729.015,87.842,162.377,1.351,55.269,0.596,103.614,3418.988,375.95,460.087,734.293,379.002,5.339,324.266,166.23,423.838,79.255,22.482,20.733,18.66,663.033,137.094,0.867,76.522,48.469,236.775,192.248,2049.753,522.696,1919.004,739.273,81.555,277.913,3252.876,2362.065,16.404,462.276,19.048,158.823,838.026,719.364,245.528,1.242,240.497,1918.863,103.218,619.979,398.794,23.314,1.512,1537.76,1.397,971.504,2213.681,442.999,499.77,26.089,97.691,84,3.688,178.804,553.369,585.231,3.258,139.873,516.767,82.293,10.188,35.48,20.54,49.779,3212.213,36.091,2.896,0.204,18.89,500.326,221.85,73.459,2.519,90.411,0.019,27.422,74.026,6.17,0.794,742.448,236.722,94.01,358.609,16.677,115.482,52.494,97.086,4.395,36.685,323.542,637.103,15.038
"2060",91.008,69.44,297.501,56.043,208.806,1144.994,165.35,2535.177,355.569,136.672,385.474,3369.89,99.113,1139.174,259.913,496.487,60.392,11.364,32.959,13.692,30.588,14.054,293.649,14.968,109.348,339.065,30.352,16.193,13.179,10.833,65.301,68.757,10.335,695.277,154.932,822.79,55.619,4881.594,557.408,3773.452,610.383,1116.854,11774.932,14484.333,507.67,121.646,521.099,428.11,33.688,319.629,53.406,992.598,665.21,108.728,27.788,46.012,94.105,47.564,24.038,286.746,876.345,69.15,224.065,196.178,1156.669,11.821,40.553,27.657,9.531,126.285,134.196,1656.087,18.84,344.643,114.161,166.5,173.088,575.326,5.424,423.188,58.197,2.219,15.888,4242.739,196.348,1205.129,1955.727,3928.318,196.576,763.344,2198.782,995.232,1344.111,39.327,227.878,235.35,129.136,1033.896,606.344,167.251,104.976,1146.189,278.964,60.511,257.03,722.742,110.181,146.842,1.441,70.118,0.633,95.698,3509.863,388.957,435.813,800.424,395.785,4.642,278.323,148.6,536.975,74.214,19.731,19.741,19.345,610.148,128.705,0.839,64.531,40.337,277.749,174.557,1956.571,477.482,1638.175,713.856,83.719,299.568,3424.001,2376.688,15.947,443.505,16.949,128.729,860.051,688.029,229.355,1.165,205.507,1558.615,99.573,546.47,361.598,22.896,1.344,1871.178,1.391,847.531,1902.129,325.599,494.077,20.555,87.048,85.351,2.386,169.883,512.113,475.928,2.733,164.778,487.431,93.209,10.685,33.087,24.861,58.895,3287.971,42.449,1.521,0.15,17.915,412.032,171.252,68.671,2.244,79.774,0.018,25.26,66.623,5.499,0.731,643.378,230.92,93.734,298.504,15.028,99.698,47.137,89.148,4.113,33.675,289.643,507.241,15.03
"2070",92.597,62.767,352.742,73.004,192.416,1064.853,191.497,2361.431,315.05,145.006,414.583,4062.947,107.835,1358.537,233.562,455.63,55.516,9.604,23.499,11.063,26.606,11.511,262.311,7.541,97.818,310.243,28.07,14.363,13.068,10.282,54.306,56.003,9.298,606.806,132.781,705.215,47.196,5503.999,643.805,4456.7,705.762,1183.344,10728.21,13557.979,510.363,116.644,460.986,371.683,28.838,268.534,49.743,915.823,612.415,105.838,20.59,41.72,83.807,44.262,20.137,248.635,809.608,65.141,213.403,187.421,1392.602,9.158,33.783,26.34,8.868,112.587,124.514,1392.417,16.374,261.491,92.751,122.646,146.875,479.647,5.141,377.056,51.73,1.889,14.225,3327.347,174.317,1073.238,1674.413,3243.476,160.952,627.787,1952.575,750.247,1092.989,35.058,204.683,207.08,118.046,1148.414,534.415,141.112,95.043,1215.589,347.376,53.958,234.462,709.524,123.749,127.717,1.568,19.004,0.655,83.426,3489.375,389.222,409.296,847.871,398.107,4.069,238.544,128.969,625.215,69.049,17.16,18.23,19.425,562.038,118.534,0.822,58.405,33.909,308.443,154.655,1777.729,423.461,1398.586,673.874,82.943,311.925,3378.911,2271.2,16.793,415.389,15.934,111.818,868.582,599.288,220.188,1.231,174.193,1252.137,97.048,458.645,332.589,22.189,1.169,2145.867,1.355,720.011,1627.617,233.226,471.791,16.429,77.046,85.395,1.872,158.645,461.542,385.79,2.429,175.906,452.34,103.098,10.825,31.287,28.99,65.47,3285.767,40.667,1.447,0.108,16.356,330.37,129.849,62.386,1.598,71.672,0.018,20.708,57.349,4.872,0.657,558.326,202.595,92.202,272.521,13.634,85.518,42.994,81.717,3.815,29.619,247.361,396.777,14.746
"2080",92.647,40.531,406.511,83.318,146.472,980.586,217.609,2165.31,277.376,148.023,425.554,4558.238,116.226,1521.801,208.385,425.517,38.902,8.451,16.154,9.365,22.662,7.611,242.746,5.576,88.089,279.15,25.829,11.708,12.493,10.093,44.407,44.548,7.047,513.955,111.958,606.549,38.525,5871.25,709.476,4988.087,774.618,1205.086,9509.669,12315.204,487.203,113.273,407.959,316.337,24.294,226.537,42.7,832.522,566.061,97.584,18.141,33.902,76.972,40.778,17.811,206.613,721.607,60.056,204.515,178.595,1614.947,8.232,28.942,24.414,8.359,100.052,114.502,1162.049,14.256,194.575,74.579,91.169,126.816,396.112,4.609,332.716,45.516,1.567,12.498,2533.774,153.421,946.194,1399.853,2690.412,93.382,510.38,1679.712,607.423,952.566,30.726,180.774,178.594,108.905,1203.713,470.668,131.645,87.518,1286.44,416.206,47.517,211.097,704.711,126.553,92.15,1.742,20.411,0.647,69.664,3394.076,385.664,393.189,861.525,395.909,3.24,201.732,111.006,716.484,64.159,14.712,16.782,18.496,487.531,105.162,0.788,51.205,28.541,341.458,139.748,1583.349,374.478,1183.92,632.803,83.211,309.293,3238.109,2041.576,18.808,382.155,14.404,79.494,861.295,549.974,205.594,1.133,146.707,1006.918,90.299,394.995,294.615,22.118,1.068,2282.338,1.294,626.308,1335.532,163.412,435.202,12.956,67.047,84.449,1.297,150.49,399.107,313.372,2.124,173.329,409.198,111.26,9.457,28.867,33.174,73.807,3213.35,42.611,1.469,0.079,15.189,257.639,97.601,56.734,1.582,66.423,0.018,19.689,52.613,4.52,0.599,479.99,169.341,72.941,240.738,11.761,73.35,38.714,72.758,3.528,25.668,202.364,303.951,14.133
"2090",86.87,29.954,439.496,99.639,131.619,884.187,236.783,1966.968,248.254,144.868,390.89,4816.661,120.498,1591.727,184.904,388.201,32.407,7.343,10.493,8.189,17.034,5.196,216.688,4.355,75.38,252.84,21.415,10.744,12.013,9.702,35.312,35.756,4.288,424.998,93.382,524.713,30.366,5949.226,733.555,5405.963,807.237,1203.45,8332.052,10797.48,446.022,106.843,362.661,265.429,19.435,185.478,37.542,767.888,515.617,91.956,16.573,30.574,71.564,37.15,14.059,180.177,638.955,54.61,191.498,169.457,1751.962,7.324,24.962,22.158,7.199,89.652,102.96,956.867,11.611,144.778,57.598,66.707,111.142,325.069,4.039,296.949,39.84,1.368,11.127,1988.325,134.952,821.345,1183.241,2208.403,68.162,419.921,1425.841,472.848,793.927,26.701,155.977,142.683,99.389,1202.89,399.903,121.762,74.914,1310.396,480.307,41.504,191.895,667.561,130.278,81.557,1.576,21.33,0.608,59.561,3167.281,358.886,373.432,847.089,389.273,2.199,169.252,95.828,792.024,59.324,12.459,15.283,18.021,439.843,94.074,0.761,46.381,24.493,370.846,123.592,1404.594,317.867,1003.198,586.833,80.691,296.681,2932.802,1806.51,21.024,353.125,13.554,62.631,832.104,487.886,175.085,1.082,122.84,804.193,81.653,339.133,259.403,21.501,0.987,2427.008,1.224,515.457,1089.626,113.705,402.759,10.848,56.434,83.361,1.145,136.623,346.666,247.681,1.963,177.206,367.77,118.315,8.682,26.563,37.631,84.327,3093.4,44.279,0.968,0.062,13.994,196.018,75.317,52.443,1.476,60.66,0.018,18.111,47.491,4.118,0.545,399.132,141.353,63.352,209.017,10.051,60.411,33.352,64.524,3.265,22.462,170.552,228.832,13.12
"2100",97.364,42.7480000000001,518.465,123.887,143.246,824.430000000001,269.938,1840.193,193.493,170.008,501.91,6142.118,134.001,2016.626,154.509,333.059,40.888,4.32400000000001,0,3.176,14.66,3.88200000000001,168.297,0,63.228,223.777,21.224,8.87299999999999,12.735,8.629,21.321,17.7410000000001,6.18700000000001,341.393000000001,66.3280000000002,352.490000000001,21.927,7371.214,902.995999999999,6506.444,991.899,1382.814,7588.04400000001,10778.917,518.442,101.638,280.647,202.402,14.288,115.249,38.7540000000001,685.498000000001,454.03,97.168,0,28.844,52.913,34.356,8.434,134.302,609.397,53.114,181.417,161.15,2100.401,1.169,13.473,22.389,6.879,71.493,95.468,601.407000000002,8.97600000000001,12.0350000000004,28.521,0,68.2360000000002,192.61,4.292,238.66,32.329,0.899000000000001,9.23600000000001,581.171000000004,108.224,677.565000000001,830.471000000001,1188.95,54.0800000000002,221.116,1213.954,15.2920000000012,339.623000000001,22.251,135.098,122.27,84.776,1491.968,318.628,62.6950000000002,65.244,1423.789,552.612,34.299,166.758,669.870000000001,164.453,70.342,1.949,0,0.720999999999999,46.6100000000001,3427.911,390.017,329.745,990.212,405.073,2.35,119.207,70.0760000000001,889.934999999999,53.554,9.447,13.697,19.665,417.708000000001,88.0210000000001,0.771,40.027,14.625,400.525,94.9490000000003,1241.203,261.398,679.819000000001,553.928,80.615,348.996,3243.641,1954.736,19.331,331.041,12.889,61.0850000000001,894.175,333.065,192.687,1.429,80.2510000000003,332.703000000001,89.473,195.17,245.562,20.068,0.644000000000001,2969.934,1.247,337.451000000001,804.081,0,404.933,4.051,47.0400000000002,85.527,0.330000000000002,124.931,309.829,115.376,1.517,209.29,347.067,132.765,11.245,25.887,41.377,85.195,3279.155,35.321,1.225,0,11.679,85.3840000000004,5.64000000000007,43.531,0,47.366,0.018,7.05200000000002,29.527,2.991,0.435000000000001,303.170000000001,117.62,87.606,194.572,9.45200000000001,42.978,30.565,59.4240000000001,2.921,17.451,120.515,65.3850000000003,13.894
